Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
9/15/23 23:33,1,1,17 Oliver Chartock,11 Nina Finley,0,0,0,0,0,0,0,1,0,1,0,18.075312,-0.28408766,18.073078,0.89807695,0.6115057,0.4096154,0.61434656
9/15/23 23:33,1,1,11 Nina Finley,17 Oliver Chartock,0,0,0,0,0,0,0,0,0,0,0,9.088597,1.4914751,-8.965384,0.4096154,0.61434656,0.65192306,0.5994318
9/15/23 23:33,1,1,17 Oliver Chartock,56 Leila Denniston,0,0,0,0,0,0,0,0,0,0,0,12.832029,10.582384,-7.2576933,0.65192306,0.5994318,0.84807694,0.49360797
9/15/23 23:34,1,1,56 Leila Denniston,00 Genny De Jesus,0,0,0,0,0,0,0,1,0,0,0,11.370795,1.7045468,11.242309,0.84807694,0.49360797,0.54423076,0.4765625
9/15/23 23:34,1,1,00 Genny De Jesus,17 Oliver Chartock,0,0,0,0,0,0,0,0,1,0,0,7.157082,-3.196025,6.4038463,0.54423076,0.4765625,0.37115383,0.50852275
9/15/23 23:35,1,1,17 Oliver Chartock,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,1,19.218231,15.269888,11.66923,0.37115383,0.50852275,0.05576923,0.35582387
9/15/23 23:35,1,1,08 Mike Drost,17 Oliver Chartock,0,0,0,0,0,0,0,0,1,1,1,6.229451,-5.255681,-3.344231,0.05576923,0.35582387,0.14615385,0.4083807
9/15/23 23:35,1,1,17 Oliver Chartock,08 Mike Drost,0,0,0,0,0,0,0,1,0,1,0,13.5864105,1.3494313,-13.51923,0.14615385,0.4083807,0.51153845,0.39488637
9/15/23 23:35,1,1,08 Mike Drost,29 Oscar Kohut,0,0,0,0,0,0,0,0,0,0,1,17.023134,10.15625,-13.66154,0.51153845,0.39488637,0.88076925,0.29332387
9/15/23 23:35,1,1,29 Oscar Kohut,17 Oliver Chartock,0,0,0,0,0,0,0,0,1,1,0,8.65272,-8.522725,1.494232,0.88076925,0.29332387,0.8403846,0.37855113
9/15/23 23:36,1,1,17 Oliver Chartock,29 Oscar Kohut,0,0,0,0,0,0,0,0,0,0,0,9.9221945,2.4857938,9.605768,0.8403846,0.37855113,0.58076924,0.3536932
9/15/23 23:36,1,1,29 Oscar Kohut,17 Oliver Chartock,0,0,0,0,0,0,0,0,1,0,0,5.278183,-3.764203,-3.6999986,0.58076924,0.3536932,0.6807692,0.39133522
9/15/23 23:36,1,1,17 Oliver Chartock,56 Leila Denniston,0,0,0,0,0,0,0,0,0,0,1,11.148237,8.522725,-7.1865396,0.6807692,0.39133522,0.875,0.30610797
9/15/23 23:36,1,1,56 Leila Denniston,08 Mike Drost,1,1,0,0,0,0,0,0,0,1,1,9.321365,9.232956,-1.2807697,0.875,0.30610797,0.9096154,0.2137784
9/15/23 23:37,1,2,,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39615384,0.75852275,0.39615384,0.75852275
9/15/23 23:38,1,2,11 Nina Finley,17 Oliver Chartock,0,0,0,0,0,0,0,0,1,0,0,7.1197186,-7.102275,0.49807662,0.37115383,0.7613636,0.3576923,0.8323864
9/15/23 23:38,1,2,17 Oliver Chartock,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,10.77243,5.752844,-9.107692,0.3576923,0.8323864,0.60384613,0.77485794
9/15/23 23:38,1,2,11 Nina Finley,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,0,0,8.2543335,5.539769,6.11923,0.60384613,0.77485794,0.43846154,0.71946025
9/15/23 23:38,1,2,00 Genny De Jesus,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,0,10.968692,5.8948874,9.25,0.43846154,0.71946025,0.18846154,0.6605114
9/15/23 23:38,1,2,08 Mike Drost,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,0,0,8.420876,1.9886374,-8.182693,0.18846154,0.6605114,0.4096154,0.640625
9/15/23 23:38,1,2,00 Genny De Jesus,17 Oliver Chartock,0,0,0,0,0,0,0,0,0,0,0,18.210075,9.303975,-15.653847,0.4096154,0.640625,0.8326923,0.54758525
9/15/23 23:38,1,2,17 Oliver Chartock,29 Oscar Kohut,0,0,0,0,0,1,0,0,0,0,0,10.229503,10.227275,-0.21346015,0.8326923,0.54758525,0.8384615,0.4453125
9/15/23 23:40,1,2,29 Oscar Kohut,56 Leila Denniston,0,0,0,1,1,0,1,0,0,0,0,39.91288,39.84375,2.348077,0.8384615,0.4453125,0.775,0.046875
9/15/23 23:41,2,1,07 Luisa Neves,52 Connor Russell,0,0,0,0,0,0,0,0,0,0,0,7.5558214,4.3323874,-6.190384,0.62884617,0.78196025,0.79615384,0.7386364
9/15/23 23:42,2,1,52 Connor Russell,03 Abby Cheng,1,1,0,0,0,0,0,0,0,0,1,8.4726305,7.954544,-2.9173079,0.79615384,0.7386364,0.875,0.65909094
9/26/23 13:46,3,1,17 Oliver Chartock,12 Matt LeMar,0,0,0,0,0,0,0,0,0,0,0,9.711785,1.8465936,-9.534615,0.2673077,0.74502844,0.525,0.7265625
9/26/23 13:46,3,1,12 Matt LeMar,17 Oliver Chartock,0,0,0,0,0,0,0,0,1,0,0,4.137359,-4.048294,-0.8538472,0.525,0.7265625,0.5480769,0.76704544
9/26/23 13:46,3,1,17 Oliver Chartock,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,1,22.033798,16.761362,-14.301923,0.5480769,0.76704544,0.9346154,0.5994318
9/26/23 13:47,3,1,08 Mike Drost,17 Oliver Chartock,0,0,0,0,0,0,0,0,1,1,1,9.208507,-9.161931,0.9249991,0.9346154,0.5994318,0.9096154,0.6910511
9/26/23 13:47,3,1,17 Oliver Chartock,08 Mike Drost,0,0,0,0,0,1,0,0,0,1,1,15.725931,15.625,-1.7788463,0.9096154,0.6910511,0.9576923,0.5348011
9/26/23 13:47,3,1,08 Mike Drost,56 Leila Denniston,0,0,0,1,1,0,1,0,0,1,0,45.22447,42.684658,14.942307,0.9576923,0.5348011,0.5538462,0.10795455
9/26/23 13:49,4,1,,80 Hannah Garfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7153846,0.3203125,0.7153846,0.3203125
9/26/23 13:49,4,1,16 Elias Levey-Swain,80 Hannah Garfield,1,1,0,0,0,0,0,1,0,0,0,14.516079,0.14204681,14.515384,0.7307692,0.3096591,0.33846155,0.30823863
9/26/23 13:50,4,2,16 Elias Levey-Swain,45 Colton Doering,1,1,0,0,0,0,0,0,1,1,0,8.003729,-6.321025,-4.9096155,0.14038461,0.7599432,0.27307692,0.82315344
9/26/23 13:51,4,3,45 Colton Doering,74 Sam Harris,1,1,0,0,0,0,0,0,0,0,0,11.99544,11.71875,-2.5615394,0.72884613,0.82173294,0.7980769,0.70454544
9/26/23 13:53,5,1,12 Matt LeMar,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,0,8.0716915,-0.7102251,-8.040384,0.48653847,0.6875,0.70384616,0.69460225
9/26/23 13:53,5,1,08 Mike Drost,12 Matt LeMar,0,0,0,0,0,0,0,0,0,0,0,10.678983,-0.3551185,10.673077,0.70384616,0.69460225,0.41538462,0.69815344
9/26/23 13:53,5,1,12 Matt LeMar,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,1,21.218252,12.784094,-16.934614,0.41538462,0.69815344,0.8730769,0.5703125
9/26/23 13:53,5,1,08 Mike Drost,11 Nina Finley,0,0,0,0,0,0,1,0,0,1,0,39.416546,38.210224,9.676923,0.8730769,0.5703125,0.61153847,0.18821023
9/26/23 13:54,5,1,11 Nina Finley,00 Genny De Jesus,0,0,0,0,0,0,0,0,1,0,0,6.2149887,-5.326703,3.2019243,0.61153847,0.18821023,0.525,0.24147727
9/26/23 13:54,5,1,00 Genny De Jesus,11 Nina Finley,1,1,0,1,0,0,0,0,0,0,0,17.715445,13.139203,11.882691,0.525,0.24147727,0.20384616,0.11008523
9/26/23 13:55,5,2,11 Nina Finley,36 Matt Wiener,0,0,0,0,0,0,0,0,0,1,1,11.315013,11.292619,0.71153855,0.06923077,0.68821025,0.05,0.57528406
9/26/23 13:56,5,2,36 Matt Wiener,24 Jolie Krebs,1,1,0,0,0,0,0,1,0,1,0,16.344303,1.2784064,-16.29423,0.05,0.57528406,0.4903846,0.5625
9/26/23 14:00,6,1,17 Oliver Chartock,12 Matt LeMar,0,0,0,0,0,0,0,0,0,0,0,17.859774,13.991481,11.099999,0.72884613,0.94034094,0.42884615,0.8004261
9/26/23 14:00,6,1,12 Matt LeMar,17 Oliver Chartock,0,0,0,0,0,0,0,0,0,0,0,10.37842,2.9119313,-9.961538,0.42884615,0.8004261,0.6980769,0.7713068
9/26/23 14:00,6,1,17 Oliver Chartock,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,10.965975,-0.42613745,10.957691,0.6980769,0.7713068,0.4019231,0.7755682
9/26/23 14:00,6,1,11 Nina Finley,17 Oliver Chartock,0,0,0,0,0,0,0,0,0,0,0,6.276023,0.42613745,6.261539,0.4019231,0.7755682,0.2326923,0.7713068
9/26/23 14:00,6,1,17 Oliver Chartock,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,7.047453,-0.21306872,-7.0442314,0.2326923,0.7713068,0.42307693,0.7734375
9/26/23 14:00,6,1,11 Nina Finley,17 Oliver Chartock,0,0,0,0,0,0,0,0,0,0,0,8.717716,4.829544,-7.2576914,0.42307693,0.7734375,0.61923075,0.72514206
9/26/23 14:01,6,1,17 Oliver Chartock,56 Leila Denniston,0,0,0,0,0,0,1,0,0,0,0,39.421722,39.417614,0.56923074,0.61923075,0.72514206,0.60384613,0.3309659
9/26/23 14:02,6,1,56 Leila Denniston,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,5.358446,-0.9943187,-5.2653847,0.60384613,0.3309659,0.74615383,0.3409091
9/26/23 14:02,6,1,11 Nina Finley,12 Matt LeMar,0,0,0,0,0,0,0,1,0,0,0,17.939768,0.5681813,17.930769,0.74615383,0.3409091,0.26153848,0.33522728
9/26/23 14:02,6,1,12 Matt LeMar,11 Nina Finley,0,0,0,0,0,0,0,0,1,0,0,8.135784,-7.954544,-1.7076921,0.26153848,0.33522728,0.30769232,0.41477272
9/26/23 14:02,6,1,11 Nina Finley,12 Matt LeMar,0,0,0,0,0,0,0,0,0,0,0,10.370392,4.545453,-9.321153,0.30769232,0.41477272,0.5596154,0.3693182
9/26/23 14:03,6,1,12 Matt LeMar,29 Oscar Kohut,0,0,0,0,0,1,0,0,0,0,0,16.358297,8.664772,13.875,0.5596154,0.3693182,0.18461539,0.28267047
