Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
00 Genny De Jesus,12,"1,3,5,6,8,10,11,13,16,17,20,21",12,0,7,0,10,7,9,9,1,0,0,1,2,1,1,0,0,0,83.18,33.24,10.40,4.15,112.27,41.05,12.47,4.56
46 Ben Levy,12,"2,7,9,11,14,15,17,18,22,23,24,25",3,9,3,3,9,5,9,5,4,1,1,1,0,0,0,2,0,0,106.92,46.31,11.88,5.15,31.21,10.80,6.24,2.16
52 Connor Russell,12,"2,7,9,11,12,14,15,17,19,22,23,24",3,9,3,2,14,8,10,10,4,0,1,4,3,3,0,0,0,0,53.11,8.31,7.59,1.19,177.43,125.14,17.74,12.51
08 Mike Drost,11,"1,3,4,5,6,8,10,11,16,20,21",10,1,5,0,13,7,11,12,1,2,0,2,2,2,0,1,0,0,197.84,129.76,21.98,14.42,186.05,125.24,15.50,10.44
11 Nina Finley,11,"1,3,5,6,8,10,13,16,20,21,25",10,1,5,0,24,10,24,18,6,2,0,0,2,2,0,1,0,0,252.61,88.95,12.03,4.24,211.94,63.07,11.77,3.50
74 Sam Harris,10,"4,7,9,12,14,15,18,19,24,25",0,10,0,2,2,2,1,1,1,1,0,1,1,0,1,0,0,0,47.42,46.80,47.42,46.80,9.02,5.89,9.02,5.89
56 Leila Denniston,10,"1,3,5,6,8,13,16,17,20,21",10,0,6,0,11,7,9,11,0,0,0,2,1,1,0,0,0,0,61.91,9.45,8.84,1.35,230.48,205.68,20.95,18.70
66 Janine Hlavaty,10,"2,4,9,11,14,15,18,22,23,25",2,8,2,2,2,2,2,2,0,0,0,0,1,1,0,0,0,0,7.09,-3.69,7.09,-3.69,24.82,23.44,12.41,11.72
07 Luisa Neves,10,"2,7,11,12,15,17,19,22,23,24",3,7,3,2,4,4,4,3,1,0,0,0,0,0,0,0,0,0,31.73,18.11,7.93,4.53,26.84,1.42,8.95,0.47
24 Jolie Krebs,9,"1,5,8,10,13,16,17,20,21",9,0,4,0,7,4,7,6,1,0,0,0,2,2,0,1,0,0,35.88,7.24,7.18,1.45,72.99,25.00,12.16,4.17
06 Ryan Drost,8,"9,11,14,15,17,19,22,23",3,5,3,1,4,3,4,4,0,1,1,0,1,1,0,1,0,0,37.79,31.68,12.60,10.56,52.63,29.76,13.16,7.44
17 Oliver Chartock,8,"1,3,6,10,13,16,20,21",8,0,4,0,28,8,28,20,8,0,3,0,1,1,0,0,0,0,365.94,213.28,13.55,7.90,173.85,-11.01,8.69,-0.55
03 Abby Cheng,8,"2,4,9,12,18,22,23,25",1,7,1,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,21.84,20.88,10.92,10.44,30.03,24.15,15.01,12.07
36 Matt Wiener,6,"3,5,8,10,13,21",6,0,3,0,4,3,4,3,1,0,0,0,2,2,0,1,0,0,20.39,5.97,10.20,2.98,28.68,14.35,9.56,4.78
42 Daniel Thornton,6,"2,7,14,19,22,23",1,5,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,15.06,15.06,15.06,15.06,10.07,9.02,10.07,9.02
12 Matt LeMar,6,"3,5,6,8,15,20",5,1,3,0,8,4,8,6,2,0,1,0,1,1,0,0,0,0,79.61,19.89,11.37,2.84,76.22,14.84,12.70,2.47
27 Griffin Kao,5,"2,7,12,18,25",0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29 Oscar Kohut,5,"1,6,10,13,16",5,0,3,0,7,4,7,7,0,2,0,0,0,0,0,0,0,0,130.85,70.31,18.69,10.04,92.99,62.57,13.28,8.94
16 Elias Levey-Swain,5,"4,12,18,19,25",0,5,0,1,3,2,3,1,2,0,0,0,2,2,0,0,0,0,17.50,12.07,17.50,12.07,6.82,-3.76,6.82,-3.76
10 Tricia Smit,4,"7,12,19,24",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80 Hannah Garfield,4,"4,9,14,24",0,4,0,1,2,2,2,1,1,0,0,0,1,1,0,1,0,0,0.00,0.00,0.00,0.00,4.72,-3.76,4.72,-3.76
45 Colton Doering,3,"4,18,24",0,3,0,2,2,2,2,1,1,1,0,0,1,1,0,0,0,0,9.02,5.89,9.02,5.89,16.64,16.62,16.64,16.62
