Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal,wind_direction
9/15/23 23:32,1,0,0,1,1,2,22,1,1,0,1,0,17 Oliver Chartock,29 Oscar Kohut,56 Leila Denniston,d
9/15/23 23:40,2,1,0,0,0,1,2,1,1,0,0,1,,,,u
9/15/23 23:43,3,1,1,1,1,1,6,0,0,0,0,0,17 Oliver Chartock,08 Mike Drost,56 Leila Denniston,d
9/26/23 13:47,4,2,1,0,0,3,3,3,3,0,1,2,,,,u
9/26/23 13:52,5,2,2,1,0,2,8,2,2,0,0,1,,,,d
9/26/23 13:59,6,2,3,1,1,1,13,0,0,0,0,0,12 Matt LeMar,29 Oscar Kohut,08 Mike Drost,u
9/26/23 14:03,7,3,3,0,0,0,0,0,0,0,0,0,,,,d
9/26/23 14:04,8,3,4,1,1,4,11,3,3,0,1,2,,11 Nina Finley,08 Mike Drost,u
9/26/23 14:09,9,4,4,0,0,1,2,1,1,0,0,1,,,,d
9/26/23 14:11,10,4,5,1,0,2,11,2,2,0,1,0,,,,u
9/26/23 14:15,11,4,6,1,1,2,7,1,1,0,1,0,06 Ryan Drost,08 Mike Drost,52 Connor Russell,d
9/26/23 14:19,12,5,6,0,0,0,0,0,0,0,0,0,,,,u
9/26/23 14:20,13,5,7,1,1,1,7,0,0,0,0,0,17 Oliver Chartock,11 Nina Finley,00 Genny De Jesus,d
9/26/23 14:22,14,6,7,0,0,2,2,2,1,1,0,2,,,,u
9/26/23 14:28,15,6,8,0,0,0,0,0,0,0,0,0,,,,u
9/26/23 14:31,16,6,9,1,0,1,11,1,0,1,0,0,,,,d
9/26/23 14:36,17,6,10,1,1,2,8,1,1,0,1,0,46 Ben Levy,06 Ryan Drost,52 Connor Russell,u
9/26/23 14:41,18,7,10,0,1,1,4,0,0,0,0,1,03 Abby Cheng,45 Colton Doering,74 Sam Harris,d
9/26/23 14:43,19,8,10,0,0,0,0,0,0,0,0,0,,,,u
9/26/23 14:44,20,8,11,1,0,1,2,1,1,0,0,0,,,,d
9/26/23 14:47,21,8,12,1,0,3,12,3,3,0,0,2,,,,u
9/26/23 14:54,22,8,13,1,1,1,6,1,1,0,1,0,,,,d
9/26/23 14:56,23,9,13,0,1,1,8,0,0,0,1,0,52 Connor Russell,46 Ben Levy,52 Connor Russell,u
9/26/23 15:01,24,10,13,0,1,1,1,0,0,0,0,1,,74 Sam Harris,52 Connor Russell,d
9/26/23 15:04,25,11,13,0,0,1,1,1,0,1,0,1,,,,u
9/26/23 15:06,26,11,14,1,0,0,0,0,0,0,0,0,,,,
