Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
11 Nina Finley,12,"1,2,7,9,12,14,15,17,19,21,23,26",12,0,10,0,29,10,29,26,3,0,5,0,0,0,0,0,0,0,327.34,162.50,11.29,5.60,286.57,57.39,11.02,2.21
00 Genny De Jesus,12,"1,2,7,9,12,14,15,17,19,21,23,26",12,0,10,0,20,11,16,20,0,2,0,4,0,0,0,0,0,0,177.29,30.82,11.08,1.93,336.44,236.79,16.82,11.84
17 Oliver Chartock,11,"1,2,7,12,14,15,17,19,21,23,26",11,0,9,0,30,10,30,27,3,4,2,0,0,0,0,0,0,0,484.79,268.32,16.16,8.94,269.49,61.01,9.98,2.26
08 Mike Drost,10,"1,2,7,9,12,14,17,21,23,26",10,0,8,0,13,9,13,13,0,0,1,0,1,1,0,0,0,0,135.29,13.21,11.27,1.10,206.62,112.57,15.89,8.66
24 Jolie Krebs,10,"1,7,9,12,15,17,19,21,23,26",10,0,9,0,22,9,19,19,3,0,1,3,1,1,0,0,0,0,188.96,32.46,10.50,1.80,241.12,113.99,12.69,6.00
12 Matt LeMar,9,"1,2,9,14,15,17,19,23,26",9,0,7,0,26,8,25,24,2,0,1,1,0,0,0,0,0,0,291.30,57.32,11.65,2.29,265.06,6.25,11.04,0.26
04 Nola Kim Mayer,9,"3,5,8,11,13,18,20,24,25",0,9,0,3,5,3,4,5,0,1,0,1,0,0,0,0,0,0,57.49,16.12,14.37,4.03,89.86,78.27,17.97,15.65
26 Cara Sieber,9,"4,5,8,10,13,16,18,20,25",0,9,0,3,4,2,4,1,3,1,0,0,2,1,1,0,0,0,51.22,20.10,17.07,6.70,12.32,0.43,12.32,0.43
07 Luisa Neves,8,"3,5,8,11,13,16,20,24",0,8,0,3,4,2,3,2,2,0,0,1,1,0,1,0,0,0,56.65,41.26,18.88,13.75,13.91,13.42,6.96,6.71
46 Ben Levy,7,"3,4,6,10,18,22,24",0,7,0,4,10,5,10,9,1,0,1,0,1,1,0,0,0,0,127.03,60.65,14.11,6.74,108.43,-20.17,12.05,-2.24
56 Leila Denniston,7,"1,2,9,12,14,17,21",7,0,5,0,4,3,3,4,0,0,0,1,0,0,0,0,0,0,30.30,26.70,10.10,8.90,60.26,53.05,15.06,13.26
16 Elias Levey-Swain,7,"5,8,11,13,18,22,25",0,7,0,1,2,2,2,1,1,0,0,0,2,1,1,0,0,0,15.83,12.64,15.83,12.64,20.16,-3.91,20.16,-3.91
06 Ryan Drost,7,"3,5,8,11,13,20,25",0,7,0,2,3,1,3,3,0,1,0,0,1,1,0,1,0,0,13.84,-0.85,6.92,-0.43,44.78,35.72,14.93,11.91
10 Tricia Smit,7,"4,6,8,10,16,22,24",0,7,0,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,17.50,-2.70,17.50,-2.70,12.92,12.78,12.92,12.78
36 Matt Wiener,7,"2,7,9,15,19,21,26",7,0,7,0,6,5,5,6,0,1,0,1,0,0,0,0,0,0,91.98,53.27,18.40,10.65,110.87,76.49,18.48,12.75
29 Oscar Kohut,6,"7,12,14,15,19,23",6,0,5,0,10,4,10,9,1,3,0,0,0,0,0,0,0,0,149.86,98.30,14.99,9.83,100.68,25.36,11.19,2.82
19 Eliot Bemis,6,"4,6,10,16,20,25",0,6,0,2,4,3,4,4,0,0,0,0,2,2,0,0,0,0,15.56,-12.43,7.78,-6.21,38.46,25.50,9.62,6.37
42 Daniel Thornton,6,"4,8,11,13,18,22",0,6,0,1,3,1,2,3,0,0,1,1,0,0,0,0,0,0,22.47,12.57,11.24,6.29,35.86,21.95,11.95,7.32
30 Josue Alorro,6,"3,6,10,16,20,24",0,6,0,3,19,4,18,13,6,1,1,1,1,1,0,2,0,0,232.70,125.92,15.51,8.39,182.83,-2.98,14.06,-0.23
74 Sam Harris,6,"4,6,10,16,20,25",0,6,0,2,5,3,5,4,1,1,0,0,0,0,0,2,0,0,38.78,1.28,9.69,0.32,65.66,50.85,16.41,12.71
03 Abby Cheng,6,"3,5,13,18,22,24",0,6,0,3,4,3,4,4,0,0,2,0,0,0,0,0,0,0,61.85,38.00,15.46,9.50,67.95,57.39,16.99,14.35
99 Toby Paperno,5,"3,6,11,18,22",0,5,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.43,-10.65,12.43,-10.65,12.31,6.25,12.31,6.25
80 Hannah Garfield,5,"4,6,11,22,25",0,5,0,1,5,2,5,4,1,0,0,0,0,0,0,0,0,0,52.39,16.76,10.48,3.35,57.18,11.65,14.29,2.91
27 Griffin Kao,4,"5,10,16,24",0,4,0,3,3,2,2,3,0,0,0,1,0,0,0,2,0,0,37.79,13.49,18.90,6.75,50.90,45.03,16.97,15.01
