Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2023-08-09 14:59:09,1,1,1,0,0.52692306,0.64701706,11 Nina Finley,5,,,,24 Jolie Krebs,,
2023-08-09 15:02:33,2,1,1,1,0.46153846,0.93821025,17 Oliver Chartock,8,17 Oliver Chartock,36 Matt Wiener,00 Genny De Jesus,,,
2023-08-09 15:06:22,3,1,0,0,0.17692308,0.82883525,30 Josue Alorro,4,,,,,07 Luisa Neves,
2023-08-09 15:08:35,3,2,0,0,0.85192305,0.6988636,07 Luisa Neves,7,,,,06 Ryan Drost,,
2023-08-09 15:11:24,3,3,0,1,0.99615383,0.45667613,46 Ben Levy,6,30 Josue Alorro,06 Ryan Drost,07 Luisa Neves,,,
2023-08-09 15:14:03,4,1,0,1,0.04423077,0.37926137,80 Hannah Garfield,7,42 Daniel Thornton,74 Sam Harris,42 Daniel Thornton,,,
2023-08-09 15:17:14,5,1,0,1,0.65384614,0.5880682,26 Cara Sieber,5,03 Abby Cheng,04 Nola Kim Mayer,27 Griffin Kao,,,
2023-08-09 15:19:58,6,1,0,0,0.0,0.8160511,30 Josue Alorro,10,,,,46 Ben Levy,,
2023-08-09 15:25:16,7,1,1,1,0.7653846,0.81960225,24 Jolie Krebs,20,08 Mike Drost,17 Oliver Chartock,00 Genny De Jesus,,,
2023-08-09 15:31:46,9,1,1,1,0.4096154,0.76491475,24 Jolie Krebs,10,11 Nina Finley,00 Genny De Jesus,24 Jolie Krebs,,,
2023-08-09 15:35:10,10,1,0,0,0.425,0.4794034,30 Josue Alorro,3,,,,19 Eliot Bemis,,
2023-08-09 15:36:17,10,2,0,0,0.86153847,0.421875,26 Cara Sieber,5,,,,19 Eliot Bemis,,
2023-08-09 15:38:52,10,3,0,0,0.059615385,0.50639206,30 Josue Alorro,1,,,,,26 Cara Sieber,
2023-08-09 15:40:33,10,4,0,0,0.3673077,0.8046875,26 Cara Sieber,1,,,,26 Cara Sieber,,
2023-08-09 15:42:24,10,5,0,1,0.86538464,0.41335228,30 Josue Alorro,7,46 Ben Levy,26 Cara Sieber,30 Josue Alorro,,,
2023-08-09 15:46:07,12,1,1,1,0.009615385,0.69602275,24 Jolie Krebs,10,11 Nina Finley,29 Oscar Kohut,24 Jolie Krebs,,,
2023-08-09 15:49:53,14,1,1,0,0.27307692,0.7926136,11 Nina Finley,6,,,,08 Mike Drost,,
2023-08-09 15:53:04,15,1,1,1,0.7,0.88778406,12 Matt LeMar,11,11 Nina Finley,17 Oliver Chartock,36 Matt Wiener,,,
2023-08-09 15:57:21,17,1,1,1,0.49615383,0.64204544,17 Oliver Chartock,36,24 Jolie Krebs,17 Oliver Chartock,00 Genny De Jesus,,,
2023-08-09 16:05:48,19,1,1,1,0.5,0.87215906,11 Nina Finley,14,11 Nina Finley,29 Oscar Kohut,12 Matt LeMar,,,
2023-08-09 16:11:47,21,1,1,1,0.9269231,0.69602275,17 Oliver Chartock,10,11 Nina Finley,17 Oliver Chartock,56 Leila Denniston,,,
2023-08-09 16:14:54,22,1,0,0,0.14807692,0.2833807,16 Elias Levey-Swain,1,,,,16 Elias Levey-Swain,,
2023-08-09 16:16:49,23,1,1,1,0.60384613,0.7734375,29 Oscar Kohut,11,12 Matt LeMar,29 Oscar Kohut,00 Genny De Jesus,,,
2023-08-09 16:21:12,24,1,0,0,0.58076924,0.72514206,07 Luisa Neves,2,,,,30 Josue Alorro,,
2023-08-09 16:22:11,24,2,0,1,0.6942308,0.82315344,30 Josue Alorro,8,03 Abby Cheng,30 Josue Alorro,04 Nola Kim Mayer,,,
2023-08-09 16:24:50,25,1,0,0,0.6769231,0.69602275,74 Sam Harris,1,,,,,16 Elias Levey-Swain,
2023-08-09 16:25:56,26,1,1,1,0.78846157,0.7691761,12 Matt LeMar,9,17 Oliver Chartock,00 Genny De Jesus,24 Jolie Krebs,,,
