Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
12 Matt LeMar,7,"2,4,5,8,9,10,12",6,1,4,0,14,5,14,11,3,1,2,0,1,1,0,0,0,0,208.50,121.27,16.04,9.33,125.51,1.14,11.41,0.10
42 Daniel Thornton,7,"2,4,5,8,9,10,12",6,1,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,19.11,19.11,19.11,19.11,15.66,9.30,15.66,9.30
00 Genny De Jesus,6,"2,4,5,9,10,12",6,0,4,0,8,4,7,8,0,3,0,1,0,0,0,0,0,0,75.13,37.71,10.73,5.39,145.15,101.17,18.14,12.65
27 Griffin Kao,6,"1,3,6,7,11,13",0,6,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.69,4.83,9.69,4.83,12.75,12.57,12.75,12.57
46 Ben Levy,6,"2,6,7,10,11,13",2,4,2,3,3,3,3,2,1,0,1,0,0,0,0,0,0,0,39.25,30.54,13.08,10.18,20.41,3.55,10.20,1.78
36 Matt Wiener,6,"2,4,5,9,10,12",6,0,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12.38,1.28,12.38,1.28,14.59,14.56,14.59,14.56
11 Nina Finley,6,"2,4,5,9,10,12",6,0,4,0,10,5,9,7,3,0,0,1,1,1,0,0,0,0,89.32,36.58,11.16,4.57,87.21,22.51,12.46,3.22
19 Eliot Bemis,6,"1,3,6,7,11,13",0,6,0,3,3,2,3,3,0,0,0,0,0,0,0,0,0,0,31.83,10.94,10.61,3.65,38.57,27.56,12.86,9.19
33 Emily Barrett,5,"2,4,5,9,10",5,0,3,0,7,2,5,7,0,0,0,2,0,0,0,0,0,0,61.79,3.48,12.36,0.70,83.09,55.40,11.87,7.91
07 Luisa Neves,4,"1,6,8,13",0,4,0,2,8,2,8,6,2,1,1,0,0,0,0,0,0,0,102.47,82.60,12.81,10.32,59.13,15.20,9.86,2.53
26 Cara Sieber,4,"1,6,8,13",0,4,0,2,4,3,4,3,1,1,1,0,0,0,0,0,0,0,40.92,25.57,10.23,6.39,32.33,24.57,10.78,8.19
24 Jolie Krebs,4,"4,5,9,12",4,0,2,0,4,3,4,3,1,0,0,0,1,1,0,0,0,0,37.66,-9.45,12.55,-3.15,33.46,17.40,11.15,5.80
16 Elias Levey-Swain,4,"1,3,7,11",0,4,0,1,4,2,4,3,1,0,1,0,2,2,0,0,0,0,26.90,18.39,13.45,9.20,38.51,6.39,12.84,2.13
04 Nola Kim Mayer,3,"1,6,11",0,3,0,1,3,1,2,3,0,0,0,1,0,0,0,0,0,0,22.16,-6.18,11.08,-3.09,38.52,31.96,12.84,10.65
44 Sal Pepe,3,"3,6,8",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80 Hannah Garfield,3,"3,7,11",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03 Abby Cheng,3,"1,7,13",0,3,0,2,4,2,2,4,0,0,0,2,0,0,0,0,0,0,22.39,4.47,11.19,2.24,53.60,50.21,13.40,12.55
74 Sam Harris,3,"3,7,11",0,3,0,1,2,1,2,2,0,1,0,0,0,0,0,0,0,0,30.17,28.76,15.09,14.38,31.14,16.41,15.57,8.20
88 Nikki Hair,3,"3,8,13",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66 Janine Hlavaty,2,"8,12",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
