Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal,wind_direction
7/26/23 16:22,1,0,0,0,0,1,2,1,1,0,0,1,,,,
7/26/23 16:27,2,0,1,1,1,1,11,0,0,0,0,0,46 Ben Levy,00 Genny De Jesus,33 Emily Barrett,
7/26/23 16:29,3,1,1,0,0,0,0,0,0,0,0,0,,,,
7/26/23 16:31,4,1,2,1,0,1,1,1,1,0,0,0,,,,
7/26/23 16:33,5,1,3,1,1,2,8,1,1,0,0,1,,12 Matt LeMar,00 Genny De Jesus,
7/26/23 16:36,6,2,3,0,1,1,12,0,0,0,0,1,07 Luisa Neves,26 Cara Sieber,04 Nola Kim Mayer,
7/26/23 16:40,7,3,3,0,1,2,8,1,1,0,0,2,16 Elias Levey-Swain,74 Sam Harris,03 Abby Cheng,
7/26/23 16:45,8,4,3,0,0,0,0,0,0,0,0,0,,,,
7/26/23 16:48,9,4,4,1,0,1,5,1,1,0,0,0,,,,
7/26/23 16:50,10,4,5,1,1,1,11,0,0,0,0,0,12 Matt LeMar,00 Genny De Jesus,33 Emily Barrett,
7/26/23 16:54,11,5,5,0,0,0,0,0,0,0,0,0,,,,
7/26/23 16:56,12,5,6,1,1,1,6,0,0,0,0,0,12 Matt LeMar,00 Genny De Jesus,11 Nina Finley,
7/26/23 16:58,13,6,6,0,1,1,6,0,0,0,0,1,26 Cara Sieber,07 Luisa Neves,03 Abby Cheng,
7/26/23 17:02,14,7,6,0,0,0,0,0,0,0,0,0,,,,
