Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2023-07-19 10:11:00,1,07 Luisa Neves,0,0,0,0,0.78846157,0.78267044
2023-07-19 10:31:54,2,44 Sal Pepe,0,0,0,0,0.5192308,0.79971594
2023-07-19 10:35:34,2,46 Ben Levy,0,0,0,0,0.48653847,0.41264203
2023-07-19 10:44:44,5,27 Griffin Kao,1,0,0,0,0.3423077,0.86008525
2023-07-19 10:46:17,5,16 Elias Levey-Swain,0,0,0,0,0.99615383,0.75284094
2023-07-26 15:43:59,10,74 Sam Harris,0,0,0,0,0.6596154,0.6427557
2023-07-26 15:44:57,10,27 Griffin Kao,0,0,0,0,0.15192308,0.515625
2023-07-26 15:46:37,10,80 Hannah Garfield,0,0,0,0,0.21923077,0.55752844
2023-07-26 15:47:58,10,27 Griffin Kao,0,0,0,0,0.6076923,0.53764206
2023-07-26 16:08:41,16,46 Ben Levy,0,0,0,0,0.18076923,0.65625
2023-07-26 16:10:33,16,74 Sam Harris,0,0,0,0,0.66346157,0.32457387
2023-07-26 16:13:22,17,42 Daniel Thornton,1,0,0,0,0.4076923,0.83309656
