Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
7/19/23 10:09,1,1,07 Luisa Neves,88 Nikki Hair,0,0,0,0,0,0,0,0,0,0,0,13.835507,9.375,-10.175,0.45961538,0.8203125,0.7346154,0.7265625
7/19/23 10:09,1,1,88 Nikki Hair,46 Ben Levy,1,1,0,0,0,0,0,0,0,0,0,16.743624,16.40625,-3.3442302,0.7346154,0.7265625,0.825,0.5625
7/19/23 10:11,1,2,,07 Luisa Neves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78846157,0.78267044,0.78846157,0.78267044
7/19/23 10:11,1,2,07 Luisa Neves,16 Elias Levey-Swain,0,0,0,0,0,0,0,0,0,0,0,8.664769,8.664769,0,0.78846157,0.78267044,0.78846157,0.69602275
7/19/23 10:11,1,2,16 Elias Levey-Swain,27 Griffin Kao,0,0,0,0,0,1,0,0,0,0,0,18.086842,17.96875,-2.0634606,0.78846157,0.69602275,0.8442308,0.51633525
7/19/23 10:11,1,2,27 Griffin Kao,03 Abby Cheng,0,0,0,1,1,0,1,0,0,0,0,38.05341,36.15057,11.882691,0.8442308,0.51633525,0.52307695,0.15482955
7/19/23 10:31,2,1,,44 Sal Pepe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5192308,0.79971594,0.5192308,0.79971594
7/19/23 10:32,2,1,44 Sal Pepe,46 Ben Levy,0,0,0,0,0,0,0,1,0,0,1,14.009252,2.7698874,13.732693,0.5192308,0.79971594,0.14807692,0.77201706
7/19/23 10:32,2,1,46 Ben Levy,74 Sam Harris,0,0,0,0,0,0,1,0,0,1,0,47.173786,47.017048,-3.842308,0.14807692,0.77201706,0.25192308,0.3018466
7/19/23 10:32,2,1,74 Sam Harris,80 Hannah Garfield,0,0,0,0,0,0,0,0,1,0,0,9.663283,-9.659091,0.28461593,0.25192308,0.3018466,0.24423076,0.3984375
7/19/23 10:33,2,1,80 Hannah Garfield,46 Ben Levy,0,0,0,0,0,0,0,0,1,0,0,6.3869987,-5.681819,-2.9173083,0.24423076,0.3984375,0.32307693,0.4552557
7/19/23 10:33,2,1,46 Ben Levy,80 Hannah Garfield,0,0,0,0,0,0,0,0,0,0,0,8.380516,4.1903405,-7.2576923,0.32307693,0.4552557,0.5192308,0.41335228
7/19/23 10:33,2,1,80 Hannah Garfield,26 Cara Sieber,0,0,0,0,0,0,0,1,0,0,0,13.277298,6.463069,-11.598077,0.5192308,0.41335228,0.8326923,0.3487216
7/19/23 10:33,2,1,26 Cara Sieber,46 Ben Levy,0,0,0,0,0,0,0,1,0,0,0,12.682239,-1.4914781,12.594232,0.8326923,0.3487216,0.4923077,0.36363637
7/19/23 10:34,2,1,46 Ben Levy,44 Sal Pepe,0,0,0,0,0,0,0,1,0,0,1,14.723376,7.3863654,12.736539,0.4923077,0.36363637,0.14807692,0.28977272
7/19/23 10:34,2,1,44 Sal Pepe,46 Ben Levy,0,0,0,0,0,0,0,1,0,1,0,18.501102,1.6335219,-18.428846,0.14807692,0.28977272,0.64615387,0.2734375
