Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
19 Eliot Bemis,9,"1,2,5,6,8,10,13,16,17",1,8,1,7,8,4,7,8,0,2,1,1,0,0,0,0,0,0,107.37,22.59,15.34,3.23,120.68,103.84,15.09,12.98
46 Ben Levy,8,"1,2,4,6,8,9,12,16",2,6,2,5,11,4,11,9,2,0,1,0,1,1,0,2,0,0,180.90,104.62,18.09,10.46,116.54,-41.69,12.95,-4.63
12 Matt LeMar,8,"4,7,9,11,12,13,15,17",5,3,5,2,11,6,11,7,4,1,2,0,1,1,0,0,0,0,117.19,58.45,11.72,5.85,82.36,30.26,11.77,4.32
42 Daniel Thornton,8,"4,7,9,11,12,13,15,17",5,3,5,2,6,6,6,5,1,0,1,0,0,0,0,1,0,0,85.33,67.61,14.22,11.27,75.28,61.22,15.06,12.24
44 Sal Pepe,7,"2,3,5,8,12,14,16",0,7,0,4,5,3,5,3,2,0,0,0,0,0,0,1,0,0,74.69,31.11,14.94,6.22,44.98,29.90,14.99,9.97
27 Griffin Kao,7,"1,3,5,6,10,14,16",0,7,0,4,4,4,4,3,1,1,0,0,0,0,0,3,0,0,64.62,46.80,16.16,11.70,44.47,42.97,14.82,14.32
16 Elias Levey-Swain,7,"1,3,5,8,10,14,17",0,7,0,4,10,5,10,8,2,0,3,0,3,2,1,1,0,0,158.34,137.57,19.79,17.20,82.77,12.43,10.35,1.55
33 Emily Barrett,6,"4,7,9,11,13,15",5,1,5,1,6,5,6,6,0,0,2,0,0,0,0,0,0,0,87.68,41.12,14.61,6.85,78.08,61.65,13.01,10.27
24 Jolie Krebs,6,"6,7,9,11,13,15",4,2,4,2,8,6,7,7,1,1,1,1,0,0,0,0,0,0,71.00,39.56,10.14,5.65,81.57,37.22,11.65,5.32
36 Matt Wiener,6,"4,7,9,11,13,15",5,1,5,1,6,4,5,6,0,2,0,1,0,0,0,0,0,0,88.68,57.74,17.74,11.55,93.64,56.18,15.61,9.36
07 Luisa Neves,6,"1,3,6,10,14,16",0,6,0,3,12,4,11,7,5,0,0,1,3,3,0,1,0,0,100.19,53.05,12.52,6.63,64.92,32.32,9.27,4.62
00 Genny De Jesus,5,"4,7,9,11,15",4,1,4,1,8,5,4,8,0,1,1,4,0,0,0,0,0,0,53.82,21.52,13.46,5.38,114.11,82.60,14.26,10.32
88 Nikki Hair,5,"1,3,6,12,17",0,5,0,3,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,13.84,9.38,13.84,9.38
11 Nina Finley,5,"4,7,11,13,15",4,1,4,1,9,4,9,7,2,1,0,0,0,0,0,0,0,0,96.88,46.88,10.76,5.21,91.59,22.09,13.08,3.16
03 Abby Cheng,5,"1,3,6,12,17",0,5,0,3,6,3,3,6,0,0,0,3,0,0,0,0,0,0,53.93,-6.75,17.98,-2.25,110.35,98.93,18.39,16.49
80 Hannah Garfield,5,"2,5,10,14,17",0,5,0,3,6,2,6,5,1,0,0,0,1,1,0,1,0,0,48.69,19.96,9.74,3.99,63.34,-4.83,12.67,-0.97
26 Cara Sieber,5,"2,5,8,12,16",0,5,0,4,11,4,11,10,1,3,0,0,0,0,0,0,0,0,138.31,81.53,12.57,7.41,167.98,61.08,16.80,6.11
74 Sam Harris,4,"2,8,10,16",0,4,0,3,10,4,9,8,2,0,1,1,2,1,1,2,0,0,84.10,18.68,12.01,2.67,143.77,122.94,17.97,15.37
04 Nola Kim Mayer,4,"2,5,8,14",0,4,0,3,4,2,3,4,0,1,0,1,0,0,0,0,0,0,42.59,40.48,21.29,20.24,74.26,59.30,18.56,14.83
66 Janine Hlavaty,3,"3,10,14",0,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,10.21,-4.76,10.21,-4.76,0.00,0.00,0.00,0.00
