Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal,wind_direction
7/19/23 10:05,1,0,0,0,1,2,5,1,1,0,1,1,16 Elias Levey-Swain,27 Griffin Kao,03 Abby Cheng,
7/19/23 10:11,2,1,0,0,1,2,14,1,1,0,2,0,46 Ben Levy,26 Cara Sieber,74 Sam Harris,
7/19/23 10:36,3,2,0,0,0,0,0,0,0,0,0,0,,,,
7/19/23 10:37,4,2,1,1,1,1,15,0,0,0,0,0,12 Matt LeMar,11 Nina Finley,00 Genny De Jesus,
7/19/23 10:42,5,3,1,0,1,2,4,1,1,0,2,0,16 Elias Levey-Swain,26 Cara Sieber,04 Nola Kim Mayer,
7/19/23 10:47,6,4,1,0,1,1,3,0,0,0,0,1,24 Jolie Krebs,19 Eliot Bemis,03 Abby Cheng,
7/19/23 10:50,7,5,1,0,1,1,2,0,0,0,0,1,12 Matt LeMar,24 Jolie Krebs,00 Genny De Jesus,
7/19/23 10:52,8,6,1,0,1,2,16,1,0,1,0,2,74 Sam Harris,04 Nola Kim Mayer,19 Eliot Bemis,
7/19/23 11:03,9,7,1,1,1,1,5,0,0,0,0,0,42 Daniel Thornton,36 Matt Wiener,00 Genny De Jesus,
7/26/23 15:42,10,8,1,0,0,5,13,5,4,1,4,1,,,,
7/26/23 15:54,11,8,2,1,1,1,5,0,0,0,0,0,33 Emily Barrett,00 Genny De Jesus,24 Jolie Krebs,
7/26/23 15:57,12,9,2,0,0,1,1,1,1,0,0,1,,,,
7/26/23 15:59,13,9,3,1,1,1,9,0,0,0,0,0,33 Emily Barrett,12 Matt LeMar,36 Matt Wiener,
7/26/23 16:02,14,10,3,0,0,0,0,0,0,0,0,0,,,,
7/26/23 16:03,15,10,4,1,1,1,9,0,0,0,0,0,00 Genny De Jesus,36 Matt Wiener,00 Genny De Jesus,
7/26/23 16:07,16,11,4,0,1,2,12,1,1,0,2,0,19 Eliot Bemis,26 Cara Sieber,07 Luisa Neves,
7/26/23 16:11,17,12,4,0,1,2,17,1,1,0,1,1,16 Elias Levey-Swain,19 Eliot Bemis,03 Abby Cheng,
7/26/23 16:18,18,13,4,0,0,0,0,0,0,0,0,0,,,,
