Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
27 Griffin Kao,3,"1,2,4",0,3,0,3,6,3,4,6,0,0,1,2,0,0,0,0,0,0,41.83,-4.33,10.46,-1.08,93.54,51.35,15.59,8.56
80 Hannah Garfield,2,"2,4",0,2,0,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,11.74,6.53,11.74,6.53,12.34,0.85,12.34,0.85
44 Sal Pepe,2,"2,4",0,2,0,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,12.86,2.49,6.43,1.24,51.43,36.93,25.72,18.47
07 Luisa Neves,2,"2,4",0,2,0,2,9,2,9,7,2,0,0,0,0,0,0,2,0,0,127.25,22.16,14.14,2.46,69.11,17.26,9.87,2.47
12 Matt LeMar,2,"2,3",0,2,0,2,7,2,7,7,0,0,1,0,1,1,0,0,0,0,72.22,42.83,12.04,7.14,79.71,22.30,11.39,3.19
46 Ben Levy,2,"1,3",0,2,0,2,3,2,3,1,2,0,0,0,0,0,0,0,0,0,41.74,31.18,13.91,10.39,12.61,-0.64,12.61,-0.64
19 Eliot Bemis,2,"2,4",0,2,0,2,4,1,4,4,0,1,0,0,0,0,0,0,0,0,32.42,30.11,10.81,10.04,47.93,19.89,11.98,4.97
26 Cara Sieber,2,"1,4",0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88 Nikki Hair,2,"1,4",0,2,0,2,3,2,3,2,1,0,1,0,0,0,0,0,0,0,65.96,51.78,21.99,17.26,38.05,34.80,19.03,17.40
00 Genny De Jesus,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36 Matt Wiener,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74 Sam Harris,1,1,0,1,0,1,3,1,3,3,0,0,1,0,1,1,0,0,0,0,24.05,8.38,12.03,4.19,56.20,49.43,18.73,16.48
03 Abby Cheng,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,34.56,31.75,34.56,31.75,12.73,11.72,12.73,11.72
42 Daniel Thornton,1,3,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,34.81,34.80,34.81,34.80,11.83,11.79,11.83,11.79
16 Elias Levey-Swain,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,37.78,37.64,37.78,37.64,13.20,5.89,13.20,5.89
04 Nola Kim Mayer,1,2,0,1,0,1,5,1,4,4,1,0,0,1,0,0,0,1,0,0,44.02,37.14,11.00,9.29,55.65,42.97,13.91,10.74
66 Janine Hlavaty,1,3,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,34.81,34.80,34.81,34.80
24 Jolie Krebs,1,3,0,1,0,1,2,1,2,0,2,0,0,0,1,1,0,0,0,0,7.92,6.89,7.92,6.89,0.00,0.00,0.00,0.00
