Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
9/26/23 21:50,1,1,52 Connor Russell,03 Abby Cheng,0,0,0,0,0,0,0,0,0,1,1,15.624998,15.624998,0,1,0.37357953,1,0.21732955
9/26/23 21:50,1,1,03 Abby Cheng,46 Ben Levy,0,0,0,0,0,1,0,0,1,1,0,11.79456,-6.534092,9.819231,1,0.21732955,0.7346154,0.28267047
9/26/23 21:50,1,1,46 Ben Levy,74 Sam Harris,0,0,0,1,1,0,0,0,0,0,1,15.6976385,14.133523,-6.8307686,0.7346154,0.28267047,0.91923076,0.14133523
9/26/23 21:51,2,1,,16 Elias Levey-Swain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2673077,0.66264206,0.2673077,0.66264206
9/26/23 21:51,2,1,16 Elias Levey-Swain,06 Ryan Drost,0,0,0,0,0,0,0,1,0,0,0,20.01515,1.9176126,-19.923077,0.2673077,0.66264206,0.8057692,0.64346594
9/26/23 21:52,2,1,06 Ryan Drost,16 Elias Levey-Swain,1,1,0,1,0,0,1,0,0,0,0,58.15238,57.670456,7.4711537,0.8057692,0.64346594,0.60384613,0.06676137
9/26/23 21:53,2,2,80 Hannah Garfield,16 Elias Levey-Swain,0,0,0,0,0,0,0,0,1,0,0,10.0253315,-9.943184,1.2807697,0.39423078,0.27982953,0.3596154,0.37926137
9/26/23 21:54,2,2,16 Elias Levey-Swain,80 Hannah Garfield,0,0,0,0,0,0,0,0,1,0,0,9.428764,-1.4204532,-9.321154,0.3596154,0.37926137,0.61153847,0.3934659
9/26/23 21:54,2,2,80 Hannah Garfield,16 Elias Levey-Swain,1,1,0,0,0,0,0,0,0,0,0,7.7062845,3.125,-7.0442314,0.61153847,0.3934659,0.8019231,0.3622159
9/26/23 21:56,2,3,16 Elias Levey-Swain,80 Hannah Garfield,0,0,0,0,0,0,0,1,0,0,0,16.039469,2.34375,-15.867307,0.29807693,0.8203125,0.72692305,0.796875
9/26/23 21:57,2,3,80 Hannah Garfield,06 Ryan Drost,0,0,0,0,0,0,0,0,0,0,1,19.46209,17.755682,-7.9692326,0.72692305,0.796875,0.9423077,0.6193182
9/26/23 21:57,2,3,06 Ryan Drost,80 Hannah Garfield,0,0,0,0,0,0,0,0,0,1,0,20.299831,8.664775,18.357693,0.9423077,0.6193182,0.44615385,0.53267044
9/26/23 21:58,2,3,80 Hannah Garfield,10 Tricia Smit,0,0,0,0,0,0,0,0,0,0,1,17.784014,11.718747,13.376924,0.44615385,0.53267044,0.08461539,0.41548297
9/26/23 21:58,2,3,10 Tricia Smit,07 Luisa Neves,0,0,0,0,0,0,0,0,1,1,0,9.837489,-9.517047,-2.4903846,0.08461539,0.41548297,0.15192308,0.51065344
9/26/23 21:58,2,3,07 Luisa Neves,16 Elias Levey-Swain,0,0,0,0,0,0,0,0,1,0,1,4.7451215,-1.9176126,4.3403845,0.15192308,0.51065344,0.034615386,0.52982956
9/26/23 21:58,2,3,16 Elias Levey-Swain,06 Ryan Drost,0,0,0,0,0,0,0,1,0,1,0,20.62196,-3.3380687,-20.35,0.034615386,0.52982956,0.5846154,0.56321025
9/26/23 21:59,2,3,06 Ryan Drost,07 Luisa Neves,0,0,0,0,0,0,0,0,0,0,0,8.202394,0.5681813,-8.182691,0.5846154,0.56321025,0.8057692,0.55752844
9/26/23 21:59,2,3,07 Luisa Neves,06 Ryan Drost,0,0,0,0,0,0,0,0,0,0,1,6.9888253,3.6221623,-5.976924,0.8057692,0.55752844,0.9673077,0.5213068
9/26/23 22:00,2,3,06 Ryan Drost,16 Elias Levey-Swain,0,0,0,0,0,0,0,1,0,1,0,15.256904,-3.4090936,14.871153,0.9673077,0.5213068,0.5653846,0.55539775
9/26/23 22:00,2,3,16 Elias Levey-Swain,80 Hannah Garfield,0,0,0,0,0,0,0,0,0,0,0,10.815618,-0.071018934,10.815385,0.5653846,0.55539775,0.27307692,0.55610794
9/26/23 22:00,2,3,80 Hannah Garfield,16 Elias Levey-Swain,0,0,0,0,0,0,0,0,1,0,0,9.976428,-7.5284123,-6.5461535,0.27307692,0.55610794,0.45,0.63139206
9/26/23 22:01,2,3,16 Elias Levey-Swain,45 Colton Doering,1,1,0,1,0,0,1,0,0,0,0,63.007446,62.99716,-1.1384615,0.45,0.63139206,0.48076922,0.001420455
9/26/23 22:03,3,1,17 Oliver Chartock,11 Nina Finley,0,0,0,0,0,0,0,1,0,0,0,12.961189,3.835225,12.38077,0.75384617,0.8025568,0.41923076,0.76420456
9/26/23 22:03,3,1,11 Nina Finley,29 Oscar Kohut,0,0,0,0,0,0,0,0,0,0,0,11.829611,8.806819,-7.8980784,0.41923076,0.76420456,0.63269234,0.6761364
9/26/23 22:03,3,1,29 Oscar Kohut,56 Leila Denniston,0,0,0,0,0,0,0,0,0,0,0,11.74877,9.659094,-6.6884604,0.63269234,0.6761364,0.81346154,0.57954544
9/26/23 22:07,3,1,56 Leila Denniston,08 Mike Drost,1,1,0,0,0,0,0,0,0,0,1,11.735028,11.576703,-1.9211545,0.81346154,0.57954544,0.86538464,0.4637784
9/26/23 22:07,3,2,11 Nina Finley,24 Jolie Krebs,1,0,1,0,0,0,0,0,0,1,1,15.219008,15.198869,-0.7826931,0.875,0.73508525,0.89615387,0.58309656
9/26/23 22:08,3,3,,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4903846,0.9119318,0.4903846,0.9119318
9/26/23 22:08,3,3,11 Nina Finley,56 Leila Denniston,0,0,0,0,0,0,0,0,0,0,1,15.903752,10.15625,-12.2384615,0.6076923,0.8181818,0.93846154,0.7166193
9/26/23 22:09,3,3,56 Leila Denniston,06 Ryan Drost,0,0,0,0,0,0,0,0,0,1,1,8.34231,8.025569,-2.276923,0.93846154,0.7166193,1,0.6363636
9/26/23 22:09,3,3,06 Ryan Drost,11 Nina Finley,0,0,0,0,0,0,0,1,0,1,0,14.191203,-1.7045438,14.088463,1,0.6363636,0.61923075,0.65340906
9/26/23 22:09,3,3,11 Nina Finley,06 Ryan Drost,0,0,0,0,0,0,0,1,0,0,1,13.729829,4.758519,-12.878847,0.61923075,0.65340906,0.9673077,0.6058239
9/26/23 22:09,3,3,06 Ryan Drost,11 Nina Finley,0,0,0,0,0,1,0,0,0,1,1,13.210994,13.210228,-0.14230824,0.9673077,0.6058239,0.97115386,0.4737216
9/26/23 22:10,3,3,11 Nina Finley,56 Leila Denniston,0,0,0,1,1,0,1,0,0,1,0,37.514263,36.71875,7.684616,0.97115386,0.4737216,0.76346153,0.10653409
9/26/23 22:15,5,1,12 Matt LeMar,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,13.929063,9.588069,-10.1038475,0.24615385,0.9083807,0.5192308,0.8125
9/26/23 22:15,5,1,11 Nina Finley,29 Oscar Kohut,0,0,0,0,0,0,0,0,0,0,0,12.134998,7.03125,-9.890385,0.5192308,0.8125,0.7865385,0.7421875
9/26/23 22:15,5,1,29 Oscar Kohut,11 Nina Finley,0,0,0,0,0,0,0,1,0,0,0,16.565023,-2.9829562,16.294231,0.7865385,0.7421875,0.34615386,0.77201706
9/26/23 22:15,5,1,11 Nina Finley,29 Oscar Kohut,0,0,0,0,0,0,0,0,0,0,0,8.929541,8.7358,-1.8499993,0.34615386,0.77201706,0.39615384,0.68465906
9/26/23 22:15,5,1,29 Oscar Kohut,11 Nina Finley,0,0,0,0,0,0,0,0,1,0,0,9.37702,-1.9176185,-9.178847,0.39615384,0.68465906,0.6442308,0.70383525
9/26/23 22:16,5,1,11 Nina Finley,29 Oscar Kohut,0,0,0,0,0,0,0,0,0,0,0,5.6599855,1.4204562,-5.478845,0.6442308,0.70383525,0.7923077,0.6896307
9/26/23 22:16,5,1,29 Oscar Kohut,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,1,17.454502,16.122162,-6.6884627,0.7923077,0.6896307,0.97307694,0.52840906
9/26/23 22:16,5,1,11 Nina Finley,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,1,1,14.947998,14.914769,-0.99615324,0.97307694,0.52840906,1,0.37926137
9/26/23 22:16,5,1,24 Jolie Krebs,11 Nina Finley,0,0,0,0,0,0,0,0,1,1,0,10.939866,-2.0596595,10.74423,1,0.37926137,0.7096154,0.39985797
9/26/23 22:17,5,1,11 Nina Finley,29 Oscar Kohut,0,0,0,0,0,1,0,1,0,0,0,18.568878,5.326706,17.788464,0.7096154,0.39985797,0.22884615,0.3465909
9/26/23 22:17,5,1,29 Oscar Kohut,24 Jolie Krebs,0,0,0,1,1,0,0,0,0,0,1,23.022047,22.798296,3.2019227,0.22884615,0.3465909,0.1423077,0.11860795
9/26/23 22:20,6,1,,27 Griffin Kao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74615383,0.4431818,0.74615383,0.4431818
9/26/23 22:20,6,1,07 Luisa Neves,66 Janine Hlavaty,0,0,0,0,0,1,0,0,0,0,1,9.1229725,5.9659095,-6.901923,0.6923077,0.4346591,0.87884617,0.375
9/26/23 22:20,6,1,66 Janine Hlavaty,74 Sam Harris,0,0,0,1,1,0,0,0,0,1,0,30.968544,30.894888,2.1346169,0.87884617,0.375,0.8211538,0.06605113
9/26/23 22:22,7,1,07 Luisa Neves,74 Sam Harris,0,0,0,0,0,0,0,0,0,0,0,14.287031,11.292612,-8.751924,0.17884615,0.81392044,0.41538462,0.7009943
9/26/23 22:23,7,1,74 Sam Harris,52 Connor Russell,0,0,0,0,0,0,0,0,0,0,0,18.500967,18.465906,1.1384615,0.41538462,0.7009943,0.3846154,0.51633525
9/26/23 22:23,7,1,52 Connor Russell,03 Abby Cheng,1,1,0,1,0,0,1,0,0,0,0,41.72546,41.051136,-7.471153,0.3846154,0.51633525,0.58653843,0.10582387
9/26/23 22:24,7,2,07 Luisa Neves,74 Sam Harris,0,0,0,0,0,0,0,0,0,0,0,18.330395,16.832388,7.2576923,0.5,0.83096594,0.30384615,0.66264206
9/26/23 22:24,7,2,74 Sam Harris,52 Connor Russell,0,0,0,0,0,0,0,0,0,0,0,9.47305,0.42613745,-9.463461,0.30384615,0.66264206,0.5596154,0.6583807
9/26/23 22:24,7,2,52 Connor Russell,07 Luisa Neves,0,0,0,0,0,0,0,0,1,0,0,5.753371,-3.6931813,-4.41154,0.5596154,0.6583807,0.6788462,0.6953125
9/26/23 22:25,7,2,07 Luisa Neves,52 Connor Russell,0,0,0,0,0,0,0,0,0,0,1,10.417701,3.4801126,-9.819231,0.6788462,0.6953125,0.9442308,0.6605114
9/26/23 22:25,7,2,52 Connor Russell,46 Ben Levy,0,0,0,0,0,0,0,1,0,1,0,17.532066,-0.9943187,17.503847,0.9442308,0.6605114,0.47115386,0.67045456
9/26/23 22:25,7,2,46 Ben Levy,52 Connor Russell,0,0,0,0,0,0,0,0,0,0,0,6.3453465,2.1306813,-5.976924,0.47115386,0.67045456,0.63269234,0.64914775
9/26/23 22:25,7,2,52 Connor Russell,06 Ryan Drost,0,0,0,0,0,0,0,0,0,0,1,10.036193,1.7045498,-9.890383,0.63269234,0.64914775,0.9,0.63210225
9/26/23 22:26,7,2,06 Ryan Drost,46 Ben Levy,0,0,0,0,0,0,0,1,0,1,0,11.899871,-0.6392062,11.882691,0.9,0.63210225,0.57884616,0.6384943
9/26/23 22:26,7,2,46 Ben Levy,52 Connor Russell,0,0,0,0,0,0,0,0,0,0,0,7.9869857,2.6278377,7.542308,0.57884616,0.6384943,0.375,0.61221594
9/26/23 22:26,7,2,52 Connor Russell,46 Ben Levy,0,0,0,0,0,0,0,0,1,0,0,9.608432,-2.8409064,-9.178846,0.375,0.61221594,0.6230769,0.640625
9/26/23 22:26,7,2,46 Ben Levy,07 Luisa Neves,0,0,0,0,0,1,0,0,0,0,0,9.513278,9.161931,-2.5615394,0.6230769,0.640625,0.6923077,0.5490057
9/26/23 22:26,7,2,07 Luisa Neves,74 Sam Harris,0,0,0,1,1,0,1,0,0,0,0,39.98385,39.84375,-3.3442302,0.6923077,0.5490057,0.7826923,0.15056819
9/26/23 22:29,8,1,16 Elias Levey-Swain,27 Griffin Kao,0,0,0,0,0,0,0,0,0,1,1,12.972393,12.571025,-3.2019231,0.059615385,0.43892047,0.14615385,0.31321022
9/26/23 22:29,8,1,27 Griffin Kao,16 Elias Levey-Swain,1,1,0,0,0,0,0,1,0,1,0,16.191128,-7.173297,-14.515385,0.14615385,0.31321022,0.53846157,0.3849432
9/26/23 22:31,9,1,17 Oliver Chartock,29 Oscar Kohut,0,0,0,0,0,0,0,1,0,1,0,17.30374,-5.8238626,16.294231,1,0.82670456,0.5596154,0.8849432
9/26/23 22:31,9,1,29 Oscar Kohut,12 Matt LeMar,0,0,0,0,0,0,0,0,0,0,1,21.152699,11.221594,17.930769,0.5596154,0.8849432,0.075,0.77272725
9/26/23 22:32,9,1,12 Matt LeMar,17 Oliver Chartock,0,0,0,0,0,0,0,0,1,1,0,6.507992,-5.539775,-3.4153843,0.075,0.77272725,0.16730769,0.828125
9/26/23 22:32,9,1,17 Oliver Chartock,12 Matt LeMar,0,0,0,0,0,0,0,1,0,0,0,11.5222435,1.7755687,-11.384615,0.16730769,0.828125,0.475,0.8103693
9/26/23 22:32,9,1,12 Matt LeMar,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,0,13.552948,8.167612,10.815384,0.475,0.8103693,0.1826923,0.7286932
9/26/23 22:32,9,1,08 Mike Drost,29 Oscar Kohut,0,0,0,0,0,0,0,0,0,0,0,7.3694263,1.2784123,-7.257693,0.1826923,0.7286932,0.37884617,0.71590906
9/26/23 22:32,9,1,29 Oscar Kohut,56 Leila Denniston,0,0,0,0,0,0,0,1,0,0,0,11.614642,2.6278377,-11.31346,0.37884617,0.71590906,0.6846154,0.6896307
9/26/23 22:33,9,1,56 Leila Denniston,29 Oscar Kohut,0,0,0,0,0,0,0,0,0,0,1,8.5939045,4.119319,-7.542308,0.6846154,0.6896307,0.88846153,0.6484375
9/26/23 22:34,9,1,29 Oscar Kohut,56 Leila Denniston,1,1,0,0,0,0,0,0,0,1,0,22.547504,18.75,12.523076,0.88846153,0.6484375,0.55,0.4609375
9/26/23 22:37,10,1,11 Nina Finley,17 Oliver Chartock,0,0,0,0,0,0,0,0,1,0,0,8.204642,-1.6335189,8.040384,0.5,0.5276989,0.2826923,0.54403406
9/26/23 22:37,10,1,17 Oliver Chartock,11 Nina Finley,0,0,0,0,0,0,0,0,1,0,0,7.7721424,-1.5625,-7.613461,0.2826923,0.54403406,0.48846152,0.55965906
9/26/23 22:37,10,1,11 Nina Finley,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,0,0,10.246385,1.2073815,-10.175,0.48846152,0.55965906,0.76346153,0.54758525
9/26/23 22:37,10,1,24 Jolie Krebs,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,5.5587387,5.468753,0.99615324,0.76346153,0.54758525,0.73653847,0.49289772
9/26/23 22:37,10,1,11 Nina Finley,17 Oliver Chartock,0,0,0,0,0,0,0,0,0,0,0,9.915853,-0.7102281,9.890385,0.73653847,0.49289772,0.46923077,0.5
9/26/23 22:37,10,1,17 Oliver Chartock,11 Nina Finley,0,0,0,0,0,0,0,1,0,0,0,13.496003,1.1363626,-13.448077,0.46923077,0.5,0.8326923,0.48863637
9/26/23 22:38,10,1,11 Nina Finley,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,1,11.234257,10.582388,-3.7711527,0.8326923,0.48863637,0.9346154,0.3828125
9/26/23 22:38,10,1,08 Mike Drost,24 Jolie Krebs,0,0,0,0,0,0,0,0,1,1,0,10.899061,-9.801138,4.767308,0.9346154,0.3828125,0.8057692,0.48082387
9/26/23 22:38,10,1,24 Jolie Krebs,17 Oliver Chartock,0,0,0,0,0,0,0,0,0,0,0,9.760746,0.49715936,9.748076,0.8057692,0.48082387,0.5423077,0.47585228
9/26/23 22:38,10,1,17 Oliver Chartock,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,0,0,5.1250205,1.2073874,4.980768,0.5423077,0.47585228,0.4076923,0.4637784
9/26/23 22:38,10,1,24 Jolie Krebs,17 Oliver Chartock,0,0,0,0,0,0,0,0,0,0,0,4.45653,1.2784094,4.2692304,0.4076923,0.4637784,0.2923077,0.4509943
9/26/23 22:39,10,1,17 Oliver Chartock,11 Nina Finley,0,0,0,0,0,0,0,1,0,0,0,15.11407,-2.6988654,-14.871155,0.2923077,0.4509943,0.6942308,0.47798297
9/26/23 22:39,10,1,11 Nina Finley,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,0,0,6.267982,-0.28409064,6.2615404,0.6942308,0.47798297,0.525,0.48082387
9/26/23 22:39,10,1,24 Jolie Krebs,17 Oliver Chartock,0,0,0,0,0,0,0,0,0,0,0,3.766895,3.7642062,0.14230603,0.525,0.48082387,0.52115387,0.4431818
9/26/23 22:39,10,1,17 Oliver Chartock,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,0,0,3.9516823,0.9232938,-3.8423069,0.52115387,0.4431818,0.625,0.43394887
9/26/23 22:39,10,1,24 Jolie Krebs,17 Oliver Chartock,0,0,0,0,0,0,0,0,0,0,0,3.7444625,-0.9232938,-3.6288466,0.625,0.43394887,0.72307694,0.4431818
9/26/23 22:40,10,1,17 Oliver Chartock,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,0,0,9.036539,0,9.036539,0.72307694,0.4431818,0.47884616,0.4431818
9/26/23 22:40,10,1,24 Jolie Krebs,17 Oliver Chartock,0,0,0,0,0,0,0,0,1,0,0,4.740099,-2.0596595,4.269232,0.47884616,0.4431818,0.36346152,0.4637784
9/26/23 22:40,10,1,17 Oliver Chartock,11 Nina Finley,0,0,0,0,0,0,0,1,0,0,0,16.466587,-0.9943187,-16.436539,0.36346152,0.4637784,0.8076923,0.4737216
9/26/23 22:40,10,1,11 Nina Finley,17 Oliver Chartock,0,0,0,0,0,0,0,0,0,0,0,9.412181,9.303978,1.4230757,0.8076923,0.4737216,0.7692308,0.3806818
9/26/23 22:40,10,1,17 Oliver Chartock,56 Leila Denniston,0,0,0,0,0,0,0,0,0,0,1,9.263686,7.670453,-5.1942306,0.7692308,0.3806818,0.9096154,0.30397728
9/26/23 22:41,10,1,56 Leila Denniston,17 Oliver Chartock,0,0,0,0,0,0,0,0,1,1,1,4.638617,-4.545453,-0.9249991,0.9096154,0.30397728,0.9346154,0.3494318
9/26/23 22:41,10,1,17 Oliver Chartock,11 Nina Finley,0,0,0,0,0,0,0,0,0,1,1,8.831449,8.664772,-1.7076921,0.9346154,0.3494318,0.9807692,0.2627841
9/26/23 22:41,10,1,11 Nina Finley,56 Leila Denniston,0,0,0,0,0,0,0,0,1,1,0,10.872619,-4.1903405,10.032691,0.9807692,0.2627841,0.7096154,0.3046875
9/26/23 22:41,10,1,56 Leila Denniston,24 Jolie Krebs,0,0,0,0,0,0,0,1,0,0,0,11.787123,3.053978,11.384616,0.7096154,0.3046875,0.4019231,0.27414772
9/26/23 22:41,10,1,24 Jolie Krebs,36 Matt Wiener,0,0,0,0,0,0,0,1,0,0,1,13.382108,2.769886,13.092308,0.4019231,0.27414772,0.048076924,0.24644886
9/26/23 22:42,10,1,36 Matt Wiener,11 Nina Finley,0,0,0,0,0,0,0,0,1,1,0,11.00609,-4.971592,-9.819231,0.048076924,0.24644886,0.31346154,0.29616478
9/26/23 22:42,10,1,11 Nina Finley,08 Mike Drost,0,0,0,0,0,0,0,1,0,0,0,19.934237,7.599433,-18.428846,0.31346154,0.29616478,0.81153846,0.22017045
9/26/23 22:42,10,1,08 Mike Drost,56 Leila Denniston,0,0,0,0,0,0,0,0,1,0,0,5.2576094,-5.255683,0.14230824,0.81153846,0.22017045,0.8076923,0.27272728
9/26/23 22:42,10,1,56 Leila Denniston,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,0,7.881317,6.1079545,4.980768,0.8076923,0.27272728,0.6730769,0.21164773
9/26/23 22:43,10,1,08 Mike Drost,11 Nina Finley,0,0,0,0,0,0,0,0,1,0,0,10.025874,-2.34375,9.748076,0.6730769,0.21164773,0.4096154,0.23508523
9/26/23 22:43,10,1,11 Nina Finley,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,0,8.0377445,4.119319,6.9019237,0.4096154,0.23508523,0.22307692,0.19389205
9/26/23 22:43,10,1,08 Mike Drost,11 Nina Finley,0,0,0,0,0,0,0,0,1,0,0,10.055311,-4.261364,-9.107693,0.22307692,0.19389205,0.46923077,0.23650569
9/26/23 22:43,10,1,11 Nina Finley,17 Oliver Chartock,0,0,0,0,0,0,0,0,1,0,0,6.0711265,-1.0653406,-5.976924,0.46923077,0.23650569,0.63076925,0.2471591
9/26/23 22:43,10,1,17 Oliver Chartock,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,4.8819137,3.6221595,3.2730784,0.63076925,0.2471591,0.5423077,0.2109375
9/26/23 22:44,10,1,11 Nina Finley,08 Mike Drost,0,0,0,0,0,0,0,0,1,0,0,7.69449,-2.34375,-7.328848,0.5423077,0.2109375,0.74038464,0.234375
9/26/23 22:44,10,1,08 Mike Drost,17 Oliver Chartock,0,0,0,0,0,0,0,0,0,0,1,4.1567593,-0.49715936,-4.126921,0.74038464,0.234375,0.85192305,0.2393466
9/26/23 22:44,10,1,17 Oliver Chartock,56 Leila Denniston,0,0,0,0,0,0,0,0,0,1,1,4.6255455,-0.071021914,-4.625,0.85192305,0.2393466,0.97692305,0.24005681
9/26/23 22:44,10,1,56 Leila Denniston,17 Oliver Chartock,0,0,0,0,0,1,0,0,0,1,1,4.976171,4.9715905,0.21346015,0.97692305,0.24005681,0.97115386,0.1903409
9/26/23 22:44,10,1,17 Oliver Chartock,08 Mike Drost,0,0,0,1,1,0,0,0,0,1,1,6.128229,6.1079545,0.49807662,0.97115386,0.1903409,0.9576923,0.12926136
9/26/23 22:46,11,1,07 Luisa Neves,52 Connor Russell,0,0,0,0,0,0,0,0,0,0,0,10.891431,3.6931813,10.246155,0.6442308,0.8224432,0.3673077,0.7855114
9/26/23 22:46,11,1,52 Connor Russell,07 Luisa Neves,0,0,0,0,0,0,0,1,0,0,0,12.375821,-1.2784064,-12.309615,0.3673077,0.7855114,0.7,0.79829544
9/26/23 22:46,11,1,07 Luisa Neves,66 Janine Hlavaty,0,0,0,0,0,0,0,0,0,0,0,9.41643,9.019888,2.7038455,0.7,0.79829544,0.6269231,0.70809656
9/26/23 22:47,11,1,66 Janine Hlavaty,52 Connor Russell,1,0,1,0,0,0,0,1,0,0,1,14.345904,3.90625,-13.803846,0.6269231,0.70809656,1,0.66903406
9/26/23 22:49,11,2,52 Connor Russell,07 Luisa Neves,0,0,0,0,0,0,0,1,0,0,0,12.823633,0.6392062,-12.807693,0.15384616,0.8245739,0.5,0.8181818
9/26/23 22:50,11,2,07 Luisa Neves,03 Abby Cheng,1,1,0,0,0,0,0,0,0,0,0,18.588743,16.548294,8.467308,0.5,0.8181818,0.27115384,0.6526989
9/26/23 22:51,12,1,12 Matt LeMar,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,10.5883665,10.582388,-0.3557695,0.38076922,0.796875,0.3903846,0.6910511
9/26/23 22:52,12,1,11 Nina Finley,12 Matt LeMar,0,0,0,0,0,0,0,0,1,0,0,8.930855,-7.315344,-5.1230764,0.3903846,0.6910511,0.52884614,0.76420456
9/26/23 22:52,12,1,12 Matt LeMar,11 Nina Finley,1,1,0,0,0,0,0,0,0,0,0,16.588121,11.71875,-11.740385,0.52884614,0.76420456,0.84615386,0.64701706
