Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal,wind_direction
6/26/23 18:22,1,0,0,0,1,1,5,0,0,0,0,1,26 Cara Sieber,30 Josue Alorro,56 Leila Denniston,
6/26/23 18:25,2,1,0,0,0,0,0,0,0,0,0,0,,,,
6/26/23 18:27,3,1,1,1,1,1,2,0,0,0,0,0,12 Matt LeMar,08 Mike Drost,56 Leila Denniston,
6/26/23 18:28,4,2,1,0,1,2,19,1,0,1,1,1,19 Eliot Bemis,30 Josue Alorro,10 Tricia Smit,
6/26/23 18:33,5,3,1,0,1,2,3,1,0,1,1,1,17 Oliver Chartock,19 Eliot Bemis,74 Sam Harris,
6/26/23 18:37,6,4,1,0,1,2,10,1,1,0,1,1,30 Josue Alorro,03 Abby Cheng,08 Mike Drost,
6/26/23 18:46,7,5,1,0,1,1,4,0,0,0,1,0,56 Leila Denniston,00 Genny De Jesus,56 Leila Denniston,
6/26/23 18:49,8,6,1,0,1,1,2,0,0,0,0,1,30 Josue Alorro,88 Nikki Hair,80 Hannah Garfield,
6/26/23 18:52,9,7,1,0,1,1,10,0,0,0,1,0,26 Cara Sieber,17 Oliver Chartock,19 Eliot Bemis,
6/26/23 18:55,10,8,1,1,1,1,5,0,0,0,0,0,,,,
6/26/23 19:02,11,9,1,0,1,1,1,0,0,0,0,1,,26 Cara Sieber,88 Nikki Hair,
6/26/23 19:04,12,10,1,0,0,1,2,1,1,0,0,1,,,,
6/26/23 19:07,13,10,2,1,1,1,7,0,0,0,0,0,00 Genny De Jesus,33 Emily Barrett,00 Genny De Jesus,
6/26/23 19:09,14,11,2,0,1,3,6,2,2,0,2,1,27 Griffin Kao,46 Ben Levy,88 Nikki Hair,
6/26/23 19:14,15,12,2,0,1,1,10,0,0,0,0,1,03 Abby Cheng,19 Eliot Bemis,10 Tricia Smit,
6/26/23 19:18,16,13,2,0,1,1,7,0,0,0,0,1,11 Nina Finley,00 Genny De Jesus,12 Matt LeMar,
6/26/23 19:21,17,14,2,0,1,1,4,0,0,0,0,1,30 Josue Alorro,26 Cara Sieber,56 Leila Denniston,
6/26/23 19:23,18,15,2,0,0,0,0,0,0,0,0,0,,,,
