Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2023-06-26 18:24:47,1,1,0,1,0.06538462,0.28764203,26 Cara Sieber,5,26 Cara Sieber,30 Josue Alorro,56 Leila Denniston,,,
2023-06-26 18:27:41,3,1,1,1,0.4846154,0.7265625,12 Matt LeMar,2,12 Matt LeMar,08 Mike Drost,56 Leila Denniston,,,
2023-06-26 18:29:49,4,1,0,0,0.046153847,0.49360797,30 Josue Alorro,5,,,,,10 Tricia Smit,
2023-06-26 18:31:42,4,2,0,1,0.03269231,0.83096594,26 Cara Sieber,14,19 Eliot Bemis,30 Josue Alorro,10 Tricia Smit,,,
2023-06-26 18:36:15,5,1,0,0,0.5692308,0.60227275,80 Hannah Garfield,1,,,,,74 Sam Harris,
2023-06-26 18:37:07,5,2,0,1,0.8442308,0.42613637,17 Oliver Chartock,2,17 Oliver Chartock,19 Eliot Bemis,74 Sam Harris,,,
2023-06-26 18:43:07,6,1,0,0,0.34615386,0.82173294,30 Josue Alorro,8,,,,03 Abby Cheng,,
2023-06-26 18:46:12,6,2,0,1,0.91923076,0.67045456,30 Josue Alorro,2,30 Josue Alorro,03 Abby Cheng,08 Mike Drost,,,
2023-06-26 18:48:24,7,1,0,1,0.4576923,0.8245739,00 Genny De Jesus,4,56 Leila Denniston,00 Genny De Jesus,56 Leila Denniston,,,
2023-06-26 18:52:10,8,1,0,1,0.11923077,0.3025568,30 Josue Alorro,2,30 Josue Alorro,88 Nikki Hair,80 Hannah Garfield,,,
2023-06-26 18:54:01,9,1,0,1,0.50384617,0.2911932,26 Cara Sieber,10,26 Cara Sieber,17 Oliver Chartock,19 Eliot Bemis,,,
2023-06-26 19:02:32,10,1,1,1,0.5538462,0.64914775,,5,,,,,,
2023-06-26 19:03:58,11,1,0,1,0.86923075,0.28764203,26 Cara Sieber,1,,26 Cara Sieber,88 Nikki Hair,,,
2023-06-26 19:06:33,12,1,0,0,0.17115384,0.8238636,80 Hannah Garfield,2,,,,03 Abby Cheng,,
2023-06-26 19:08:09,13,1,1,1,0.49807692,0.63778406,11 Nina Finley,7,00 Genny De Jesus,33 Emily Barrett,00 Genny De Jesus,,,
2023-06-26 19:10:35,14,1,0,0,0.5326923,0.8302557,46 Ben Levy,2,,,,74 Sam Harris,,
2023-06-26 19:11:46,14,2,0,0,0.6596154,0.82173294,26 Cara Sieber,2,,,,30 Josue Alorro,,
2023-06-26 19:12:48,14,3,0,1,0.71153843,0.57528406,27 Griffin Kao,2,27 Griffin Kao,46 Ben Levy,88 Nikki Hair,,,
2023-06-26 19:16:42,15,1,0,1,0.7673077,0.61221594,30 Josue Alorro,10,03 Abby Cheng,19 Eliot Bemis,10 Tricia Smit,,,
2023-06-26 19:19:54,16,1,0,1,0.05576923,0.8181818,11 Nina Finley,7,11 Nina Finley,00 Genny De Jesus,12 Matt LeMar,,,
2023-06-26 19:23:07,17,1,0,1,0.375,0.32173297,30 Josue Alorro,4,30 Josue Alorro,26 Cara Sieber,56 Leila Denniston,,,
