Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
11 Nina Finley,11,"1,3,5,6,9,10,13,16,19,24,26",11,0,8,0,17,9,17,14,3,0,2,0,2,2,0,1,0,0,155.84,47.30,10.39,3.15,228.18,134.45,16.30,9.60
00 Genny De Jesus,11,"1,3,5,6,9,10,13,16,19,24,26",11,0,8,0,12,6,10,12,0,0,2,2,1,1,0,0,0,0,99.60,78.34,11.07,8.70,141.46,89.63,11.79,7.47
30 Josue Alorro,10,"4,7,12,15,17,20,21,22,23,25",0,10,0,5,17,8,17,10,7,3,0,0,0,0,0,2,0,0,246.47,145.67,16.43,9.71,85.94,-24.64,8.59,-2.46
08 Mike Drost,10,"1,3,5,6,9,13,16,19,24,26",10,0,8,0,9,6,9,9,0,2,2,0,1,1,0,0,0,0,83.11,44.46,10.39,5.56,106.26,93.89,11.81,10.43
12 Matt LeMar,10,"1,5,6,9,10,13,16,19,24,26",10,0,7,0,22,10,21,17,5,3,0,1,0,0,0,0,0,0,280.55,159.87,13.36,7.61,180.01,65.98,10.59,3.88
24 Jolie Krebs,10,"1,3,5,6,9,10,16,19,24,26",10,0,7,0,17,10,15,15,2,0,1,2,0,0,0,0,0,0,159.35,85.65,10.62,5.71,208.18,64.84,13.88,4.32
26 Cara Sieber,9,"2,7,11,14,15,18,20,22,25",1,8,1,3,8,4,8,6,2,3,0,0,0,0,0,0,0,0,117.32,64.49,14.67,8.06,55.25,7.60,9.21,1.27
19 Eliot Bemis,8,"4,8,11,12,14,18,21,23",1,7,1,1,4,3,4,4,0,0,0,0,0,0,0,1,0,0,46.29,7.17,11.57,1.79,57.81,25.50,14.45,6.37
17 Oliver Chartock,8,"1,3,6,10,13,19,24,26",8,0,7,0,22,7,22,19,3,1,0,0,0,0,0,0,0,0,284.56,124.57,12.93,5.66,178.45,46.45,9.39,2.44
06 Ryan Drost,8,"2,7,11,15,17,20,22,25",1,7,1,4,5,5,3,5,0,0,0,2,2,2,0,0,0,0,4.96,2.13,4.96,2.13,46.50,30.26,9.30,6.05
07 Luisa Neves,8,"2,7,11,14,15,18,21,23",1,7,1,2,5,4,5,3,2,0,1,0,0,0,0,0,0,0,67.80,26.49,13.56,5.30,28.99,2.06,9.66,0.69
03 Abby Cheng,8,"2,7,11,14,15,18,21,23",1,7,1,2,3,2,3,3,0,0,1,0,0,0,0,0,0,0,22.07,-1.78,7.36,-0.59,39.81,28.41,13.27,9.47
46 Ben Levy,8,"4,8,11,14,17,20,23,25",1,7,1,2,7,4,7,7,0,0,1,0,1,1,0,0,0,0,57.42,6.82,9.57,1.14,49.90,-19.03,7.13,-2.72
45 Colton Doering,7,"4,8,15,17,20,22,25",0,7,0,3,3,2,3,3,0,0,0,0,0,0,0,0,0,0,19.62,9.23,6.54,3.08,36.21,15.62,12.07,5.21
80 Hannah Garfield,7,"4,8,12,17,20,22,25",0,7,0,3,4,4,3,3,1,0,1,1,1,0,1,1,0,0,35.45,0.99,11.82,0.33,39.03,10.65,13.01,3.55
56 Leila Denniston,7,"4,8,11,15,18,21,23",1,6,1,1,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,62.98,46.59,31.49,23.30
29 Oscar Kohut,6,"1,5,9,10,13,16",6,0,3,0,7,6,6,7,0,1,0,1,1,1,0,0,0,0,94.55,50.43,18.91,10.09,82.01,66.41,11.72,9.49
74 Sam Harris,6,"2,12,17,20,22,23",0,6,0,3,6,4,6,6,0,0,1,0,0,0,0,0,0,0,47.39,-6.53,7.90,-1.09,101.07,86.36,16.84,14.39
88 Nikki Hair,6,"4,8,12,17,22,25",0,6,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10.07,8.66,10.07,8.66,13.48,9.87,13.48,9.87
66 Janine Hlavaty,6,"3,6,10,13,19,26",6,0,5,0,5,3,3,5,0,0,0,2,0,0,0,0,0,0,33.03,7.39,11.01,2.46,85.80,79.76,17.16,15.95
36 Matt Wiener,5,"3,5,9,16,24",5,0,3,0,2,2,2,2,0,1,1,0,0,0,0,0,0,0,49.37,48.65,24.69,24.33,29.61,5.26,14.81,2.63
42 Daniel Thornton,4,"7,12,18,21",0,4,0,2,3,2,2,2,1,0,0,1,1,1,0,1,0,0,8.22,8.10,8.22,8.10,60.08,59.94,30.04,29.97
16 Elias Levey-Swain,4,"2,8,12,18",0,4,0,0,2,2,2,2,0,0,0,0,1,1,0,0,0,0,20.26,20.24,20.26,20.24,26.28,12.50,13.14,6.25
27 Griffin Kao,3,"2,14,21",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10 Tricia Smit,2,"7,14",0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
