Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal,wind_direction
3/25/24 10:21,1,0,0,1,1,1,7,0,0,0,0,0,24 Jolie Krebs,08 Mike Drost,29 Oscar Kohut,
3/25/24 10:23,2,1,0,0,0,0,0,0,0,0,0,0,,,,
3/25/24 10:24,3,1,1,1,1,1,3,0,0,0,0,0,11 Nina Finley,36 Matt Wiener,66 Janine Hlavaty,
3/25/24 10:25,4,2,1,0,0,0,0,0,0,0,0,0,,,,
3/25/24 10:26,5,2,2,1,0,1,6,1,1,0,0,0,,,,
3/25/24 10:28,6,2,3,1,1,1,8,0,0,0,0,0,00 Genny De Jesus,12 Matt LeMar,24 Jolie Krebs,
3/25/24 10:30,7,3,3,0,1,3,5,2,1,1,1,2,,30 Josue Alorro,42 Daniel Thornton,
3/25/24 10:37,8,4,3,0,0,0,0,0,0,0,0,0,,,,
3/25/24 10:39,9,4,4,1,0,2,9,2,2,0,0,1,,,,
3/25/24 10:42,10,4,5,1,0,1,15,1,1,0,0,0,,,,
3/25/24 10:49,11,4,6,1,1,1,13,0,0,0,0,0,03 Abby Cheng,26 Cara Sieber,56 Leila Denniston,
3/25/24 10:53,12,5,6,0,0,2,7,2,1,1,1,1,,,,
3/25/24 10:58,13,5,7,1,1,2,12,1,1,0,1,0,11 Nina Finley,29 Oscar Kohut,12 Matt LeMar,
3/25/24 11:02,14,6,7,0,0,0,0,0,0,0,0,0,,,,
3/25/24 11:03,15,6,8,0,0,0,0,0,0,0,0,0,,,,
3/25/24 11:04,16,6,9,1,1,1,15,0,0,0,0,0,00 Genny De Jesus,12 Matt LeMar,00 Genny De Jesus,
3/25/24 11:07,17,7,9,0,1,1,6,0,0,0,1,0,46 Ben Levy,30 Josue Alorro,80 Hannah Garfield,
3/25/24 11:10,18,8,9,0,0,1,2,1,1,0,1,0,,,,
3/25/24 11:13,19,8,10,1,1,1,11,0,0,0,0,0,08 Mike Drost,17 Oliver Chartock,66 Janine Hlavaty,
3/25/24 11:15,20,9,10,0,1,1,10,0,0,0,0,1,74 Sam Harris,26 Cara Sieber,06 Ryan Drost,
3/25/24 11:19,21,10,10,0,1,1,2,0,0,0,0,1,07 Luisa Neves,30 Josue Alorro,56 Leila Denniston,
3/25/24 11:21,22,11,10,0,1,1,7,0,0,0,1,0,80 Hannah Garfield,26 Cara Sieber,06 Ryan Drost,
3/25/24 11:24,23,12,10,0,0,1,8,1,1,0,0,1,,,,
3/25/24 11:27,24,12,11,1,1,1,7,0,0,0,0,0,36 Matt Wiener,08 Mike Drost,24 Jolie Krebs,
3/25/24 11:29,25,13,11,0,0,1,4,1,1,0,0,1,,,,
3/25/24 11:32,26,13,12,1,1,1,12,0,0,0,0,0,08 Mike Drost,12 Matt LeMar,00 Genny De Jesus,
3/25/24 11:34,27,14,12,0,0,0,0,0,0,0,0,0,,,,
