Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
9/14/23 14:59,1,1,16 Elias Levey-Swain,66 Janine Hlavaty,0,0,0,0,0,0,0,0,0,0,1,24.330069,19.886362,-14.017306,0.5673077,0.8004261,0.9461538,0.6015625
9/14/23 14:59,1,1,66 Janine Hlavaty,07 Luisa Neves,1,1,0,0,0,0,0,0,1,1,0,10.053721,-7.173294,7.044229,0.9461538,0.6015625,0.75576925,0.67329544
9/14/23 15:01,2,1,17 Oliver Chartock,29 Oscar Kohut,0,0,0,0,0,0,0,0,0,0,0,13.823433,9.801138,-9.748076,0.48076922,0.68110794,0.74423075,0.58309656
9/14/23 15:01,2,1,29 Oscar Kohut,12 Matt LeMar,0,0,0,0,0,0,0,0,1,0,0,11.965539,-11.150569,4.3403835,0.74423075,0.58309656,0.6269231,0.69460225
9/14/23 15:02,2,1,12 Matt LeMar,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,1,20.67892,8.948862,18.642307,0.6269231,0.69460225,0.12307692,0.6051136
9/14/23 15:02,2,1,11 Nina Finley,08 Mike Drost,0,0,0,0,0,0,0,0,0,1,1,13.373183,13.28125,1.5653845,0.12307692,0.6051136,0.08076923,0.47230113
9/14/23 15:02,2,1,08 Mike Drost,11 Nina Finley,0,0,0,0,0,0,0,0,1,1,0,8.187687,-6.6051126,-4.8384614,0.08076923,0.47230113,0.21153846,0.53835225
9/14/23 15:02,2,1,11 Nina Finley,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,0,10.819116,0.28408766,-10.815385,0.21153846,0.53835225,0.50384617,0.5355114
9/14/23 15:03,2,1,08 Mike Drost,29 Oscar Kohut,0,0,0,0,0,0,0,0,0,0,0,18.663635,14.84375,-11.31346,0.50384617,0.5355114,0.8096154,0.38707387
9/14/23 15:04,2,1,29 Oscar Kohut,11 Nina Finley,0,0,0,0,0,0,0,0,1,0,0,11.063424,-9.730112,5.2653847,0.8096154,0.38707387,0.6673077,0.484375
9/14/23 15:05,2,1,11 Nina Finley,12 Matt LeMar,0,0,0,0,0,0,0,0,0,0,0,10.083335,1.5625,9.961538,0.6673077,0.484375,0.39807692,0.46875
9/14/23 15:05,2,1,12 Matt LeMar,29 Oscar Kohut,0,0,0,0,0,1,0,0,0,0,1,15.396506,11.363638,10.388461,0.39807692,0.46875,0.11730769,0.35511363
9/14/23 15:05,2,1,29 Oscar Kohut,17 Oliver Chartock,0,0,0,1,1,0,0,0,0,1,1,36.989998,22.088068,-29.671152,0.11730769,0.35511363,0.91923076,0.13423295
9/14/23 15:08,4,1,11 Nina Finley,24 Jolie Krebs,0,0,0,0,0,0,0,1,0,0,0,13.661537,0,13.661537,0.6961538,0.59872156,0.32692307,0.59872156
9/14/23 15:08,4,1,24 Jolie Krebs,11 Nina Finley,0,0,0,0,0,0,0,0,1,0,0,5.580954,-1.6335249,-5.336539,0.32692307,0.59872156,0.47115386,0.6150568
9/14/23 15:08,4,1,11 Nina Finley,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,0,0,5.918734,0.9943187,5.8346157,0.47115386,0.6150568,0.31346154,0.6051136
9/14/23 15:09,4,1,24 Jolie Krebs,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,6.481229,0.28408766,-6.4749994,0.31346154,0.6051136,0.48846152,0.60227275
9/14/23 15:09,4,1,11 Nina Finley,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,0,0,4.457606,0.6392062,4.4115376,0.48846152,0.60227275,0.36923078,0.5958807
9/14/23 15:09,4,1,24 Jolie Krebs,17 Oliver Chartock,0,0,0,0,0,0,0,1,0,0,0,13.151438,-1.8465877,-13.021153,0.36923078,0.5958807,0.72115386,0.61434656
9/14/23 15:09,4,1,17 Oliver Chartock,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,0,0,7.857092,2.2017002,7.542308,0.72115386,0.61434656,0.5173077,0.59232956
9/14/23 15:09,4,1,24 Jolie Krebs,17 Oliver Chartock,0,0,0,0,0,0,0,0,1,0,0,7.744101,-5.3267,-5.6211534,0.5173077,0.59232956,0.66923076,0.64559656
9/14/23 15:09,4,1,17 Oliver Chartock,11 Nina Finley,0,0,0,0,0,0,0,1,0,0,0,16.535564,5.1136312,15.725,0.66923076,0.64559656,0.24423076,0.59446025
9/14/23 15:10,4,1,11 Nina Finley,17 Oliver Chartock,0,0,0,0,0,0,0,0,1,0,0,7.4524703,-7.3153377,1.4230769,0.24423076,0.59446025,0.20576923,0.6676136
9/14/23 15:10,4,1,17 Oliver Chartock,56 Leila Denniston,1,1,0,0,0,0,0,0,0,0,0,23.453049,23.4375,0.8538461,0.20576923,0.6676136,0.1826923,0.43323863
9/14/23 15:12,4,2,17 Oliver Chartock,11 Nina Finley,0,0,0,0,0,0,0,1,0,1,0,14.110107,-0.78125,-14.088463,0.04423077,0.7776989,0.425,0.7855114
9/14/23 15:12,4,2,11 Nina Finley,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,0,13.437153,8.522731,-10.388461,0.425,0.7855114,0.70576924,0.70028406
9/14/23 15:12,4,2,08 Mike Drost,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,0,0,10.686637,3.2670438,10.175,0.70576924,0.70028406,0.43076923,0.6676136
9/14/23 15:12,4,2,00 Genny De Jesus,11 Nina Finley,0,0,0,0,0,0,0,0,1,0,0,4.8756304,-1.9176126,4.4826927,0.43076923,0.6676136,0.30961537,0.68678975
9/14/23 15:12,4,2,11 Nina Finley,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,0,9.97065,-0.42613745,-9.961539,0.30961537,0.68678975,0.57884616,0.6910511
9/14/23 15:12,4,2,08 Mike Drost,17 Oliver Chartock,0,0,0,0,0,1,1,0,0,0,0,47.292625,46.30682,9.605769,0.57884616,0.6910511,0.31923077,0.22798295
9/14/23 15:13,4,2,17 Oliver Chartock,00 Genny De Jesus,0,0,0,1,1,0,0,0,0,0,1,13.822868,12.286932,6.332692,0.31923077,0.22798295,0.14807692,0.10511363
9/14/23 15:17,5,1,80 Hannah Garfield,46 Ben Levy,0,0,0,0,0,0,0,0,0,0,0,6.8753004,0.78125,-6.8307686,0.2653846,0.64346594,0.45,0.63565344
9/14/23 15:17,5,1,46 Ben Levy,52 Connor Russell,0,0,0,0,0,1,0,1,0,0,0,15.05958,7.315344,-13.163461,0.45,0.63565344,0.8057692,0.5625
9/14/23 15:17,5,1,52 Connor Russell,74 Sam Harris,0,0,0,1,1,0,1,0,0,0,1,50.561695,50.426136,-3.7000008,0.8057692,0.5625,0.9057692,0.058238637
9/14/23 15:20,7,1,24 Jolie Krebs,12 Matt LeMar,0,0,0,0,0,0,0,0,0,0,0,10.183377,2.6988626,-9.819232,0.3480769,0.8082386,0.61346155,0.78125
9/14/23 15:20,7,1,12 Matt LeMar,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,0,0,8.912362,0.5681813,8.894232,0.61346155,0.78125,0.37307692,0.7755682
9/14/23 15:20,7,1,24 Jolie Krebs,29 Oscar Kohut,0,0,0,0,0,0,0,0,0,0,0,10.926297,8.167612,7.257692,0.37307692,0.7755682,0.17692308,0.69389206
9/14/23 15:20,7,1,29 Oscar Kohut,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,0,0,8.175357,8.167612,0.3557695,0.17692308,0.69389206,0.16730769,0.61221594
9/14/23 15:21,7,1,00 Genny De Jesus,24 Jolie Krebs,0,0,0,0,0,0,0,0,1,0,0,10.153637,-1.5625,-10.032693,0.16730769,0.61221594,0.43846154,0.62784094
9/14/23 15:21,7,1,24 Jolie Krebs,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,12.221249,6.321025,-10.459616,0.43846154,0.62784094,0.72115386,0.5646307
9/14/23 15:21,7,1,11 Nina Finley,24 Jolie Krebs,0,0,0,0,0,0,0,1,0,0,0,12.258532,-1.9886374,12.096153,0.72115386,0.5646307,0.39423078,0.58451706
