Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal,wind_direction
9/14/23 14:53,1,0,0,0,0,1,2,1,1,0,0,1,,,,u
9/14/23 15:00,2,0,1,1,1,1,11,0,0,0,0,0,12 Matt LeMar,29 Oscar Kohut,17 Oliver Chartock,d
9/14/23 15:05,3,1,1,0,0,0,0,0,0,0,0,0,,,,u
9/14/23 15:07,4,1,2,1,1,2,18,1,1,0,0,1,08 Mike Drost,17 Oliver Chartock,00 Genny De Jesus,d
9/14/23 15:13,5,2,2,0,1,1,3,0,0,0,0,1,46 Ben Levy,52 Connor Russell,74 Sam Harris,u
9/14/23 15:17,6,3,2,0,0,0,0,0,0,0,0,0,,,,d
9/14/23 15:19,7,3,3,1,1,1,10,0,0,0,0,0,12 Matt LeMar,29 Oscar Kohut,36 Matt Wiener,u
9/14/23 15:22,8,4,3,0,0,1,1,1,1,0,0,1,,,,d
9/14/23 15:27,9,4,4,1,1,1,6,0,0,0,0,0,00 Genny De Jesus,56 Leila Denniston,00 Genny De Jesus,u
9/14/23 15:30,10,5,4,0,1,3,19,2,1,1,2,1,45 Colton Doering,06 Ryan Drost,46 Ben Levy,d
9/14/23 15:37,11,6,4,0,0,0,0,0,0,0,0,0,,,,u
9/14/23 15:39,12,6,5,1,0,1,19,1,1,0,0,0,,,,d
9/14/23 15:48,13,6,6,1,1,2,22,1,1,0,1,0,17 Oliver Chartock,00 Genny De Jesus,36 Matt Wiener,u
9/14/23 15:55,14,7,6,1,1,2,18,1,1,0,1,0,56 Leila Denniston,00 Genny De Jesus,29 Oscar Kohut,d
9/15/23 15:27,15,8,6,0,1,4,32,3,3,0,1,3,27 Griffin Kao,46 Ben Levy,06 Ryan Drost,u
9/15/23 15:42,16,9,6,0,1,1,3,0,0,0,0,1,42 Daniel Thornton,74 Sam Harris,03 Abby Cheng,d
9/15/23 15:45,17,10,6,0,0,0,0,0,0,0,0,0,,,,u
9/15/23 15:47,18,10,7,1,1,1,16,0,0,0,0,0,00 Genny De Jesus,08 Mike Drost,17 Oliver Chartock,d
9/15/23 15:51,19,11,7,0,0,1,5,1,1,0,1,0,,,,u
9/15/23 15:55,20,11,8,1,1,2,18,1,1,0,0,1,08 Mike Drost,56 Leila Denniston,29 Oscar Kohut,d
9/15/23 16:01,21,12,8,0,1,1,5,0,0,0,0,1,80 Hannah Garfield,52 Connor Russell,06 Ryan Drost,u
9/15/23 16:05,22,13,8,0,0,0,0,0,0,0,0,0,,,,d
9/15/23 16:08,23,13,9,1,1,1,7,0,0,0,0,0,56 Leila Denniston,29 Oscar Kohut,11 Nina Finley,u
9/15/23 16:11,24,14,9,0,0,0,0,0,0,0,0,0,,,,
