Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2023-09-14 14:58:30,1,1,0,0,0.5673077,0.8004261,16 Elias Levey-Swain,2,,,,66 Janine Hlavaty,,
2023-09-14 15:01:12,2,1,1,1,0.48076922,0.68110794,17 Oliver Chartock,11,12 Matt LeMar,29 Oscar Kohut,17 Oliver Chartock,,,
2023-09-14 15:08:26,4,1,1,0,0.6961538,0.59872156,11 Nina Finley,11,,,,17 Oliver Chartock,,
2023-09-14 15:11:59,4,2,1,1,0.04423077,0.7776989,17 Oliver Chartock,7,08 Mike Drost,17 Oliver Chartock,00 Genny De Jesus,,,
2023-09-14 15:17:32,5,1,0,1,0.2653846,0.64346594,80 Hannah Garfield,3,46 Ben Levy,52 Connor Russell,74 Sam Harris,,,
2023-09-14 15:20:02,7,1,1,1,0.3480769,0.8082386,24 Jolie Krebs,10,12 Matt LeMar,29 Oscar Kohut,36 Matt Wiener,,,
2023-09-14 15:25:39,8,1,0,0,0.99230766,0.70596594,52 Connor Russell,1,,,,52 Connor Russell,,
2023-09-14 15:28:27,9,1,1,1,0.63653845,0.6541193,12 Matt LeMar,6,00 Genny De Jesus,56 Leila Denniston,00 Genny De Jesus,,,
2023-09-14 15:32:00,10,1,0,0,0.7519231,0.75142044,06 Ryan Drost,12,,,,46 Ben Levy,,
2023-09-14 15:35:40,10,2,0,0,0.9519231,0.61221594,46 Ben Levy,2,,,,,52 Connor Russell,
2023-09-14 15:36:41,10,3,0,1,0.20961538,0.67897725,46 Ben Levy,5,45 Colton Doering,06 Ryan Drost,46 Ben Levy,,,
2023-09-14 15:40:43,12,1,1,0,0.58653843,0.51704544,29 Oscar Kohut,19,,,,29 Oscar Kohut,,
2023-09-14 15:49:09,13,1,1,0,0.47115386,0.74289775,11 Nina Finley,14,,,,11 Nina Finley,,
2023-09-14 15:53:13,13,2,1,1,0.73653847,0.79403406,17 Oliver Chartock,8,17 Oliver Chartock,00 Genny De Jesus,36 Matt Wiener,,,
2023-09-15 15:21:58,14,1,1,0,0.75769234,0.61221594,12 Matt LeMar,10,,,,29 Oscar Kohut,,
2023-09-15 15:25:26,14,2,1,1,0.8211538,0.72940344,17 Oliver Chartock,8,56 Leila Denniston,00 Genny De Jesus,29 Oscar Kohut,,,
2023-09-15 15:29:39,15,1,0,0,0.98653847,0.81392044,07 Luisa Neves,11,,,,46 Ben Levy,,
2023-09-15 15:34:34,15,2,0,0,0.21730769,0.81960225,07 Luisa Neves,2,,,,88 Nikki Hair,,
2023-09-15 15:36:28,15,3,0,0,0.48653847,0.61079544,80 Hannah Garfield,6,,,,52 Connor Russell,,
2023-09-15 15:38:27,15,4,0,1,0.775,0.56107956,07 Luisa Neves,13,27 Griffin Kao,46 Ben Levy,06 Ryan Drost,,,
2023-09-15 15:44:39,16,1,0,1,0.5538462,0.4950284,07 Luisa Neves,3,42 Daniel Thornton,74 Sam Harris,03 Abby Cheng,,,
2023-09-15 15:47:45,18,1,1,1,0.5903846,0.7933239,11 Nina Finley,16,00 Genny De Jesus,08 Mike Drost,17 Oliver Chartock,,,
2023-09-15 15:52:48,19,1,0,0,0.63653845,0.82173294,07 Luisa Neves,5,,,,74 Sam Harris,,
2023-09-15 15:56:16,20,1,1,0,0.17692308,0.4943182,17 Oliver Chartock,12,,,,24 Jolie Krebs,,
2023-09-15 16:00:21,20,2,1,1,0.10192308,0.54971594,17 Oliver Chartock,6,08 Mike Drost,56 Leila Denniston,29 Oscar Kohut,,,
2023-09-15 16:04:13,21,1,0,1,0.7653846,0.82102275,46 Ben Levy,5,80 Hannah Garfield,52 Connor Russell,06 Ryan Drost,,,
2023-09-15 16:09:01,23,1,1,1,0.29038462,0.82315344,36 Matt Wiener,7,56 Leila Denniston,29 Oscar Kohut,11 Nina Finley,,,
