Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
52 Connor Russell,9,"1,3,5,8,12,14,15,17,18",1,8,0,4,34,6,34,31,3,4,0,0,3,2,1,1,0,0,470.61,243.82,15.18,7.87,308.42,17.19,9.95,0.55
00 Genny De Jesus,8,"4,6,7,8,9,11,13,19",8,0,5,0,14,5,14,14,0,0,0,0,2,2,0,0,0,0,140.55,32.88,11.71,2.74,137.77,25.60,9.84,1.83
66 Janine Hlavaty,8,"1,3,5,8,12,14,16,18",1,7,0,3,4,3,4,4,0,0,0,0,1,0,1,0,0,0,37.11,3.76,9.28,0.94,50.23,23.22,12.56,5.81
46 Ben Levy,7,"2,5,8,10,14,16,18",1,6,0,3,31,6,31,25,6,1,0,0,3,3,0,2,0,0,304.64,166.83,11.28,6.18,189.69,-82.81,7.59,-3.31
07 Luisa Neves,7,"1,3,5,8,14,16,18",1,6,0,3,20,4,20,16,4,0,1,0,0,0,0,1,0,0,208.35,26.21,10.97,1.38,175.70,9.02,10.98,0.56
10 Tricia Smit,7,"1,3,10,12,14,16,18",0,7,0,3,11,4,10,11,0,0,1,1,1,1,0,0,0,0,64.34,-33.95,8.04,-4.24,135.14,63.35,12.29,5.76
11 Nina Finley,7,"4,6,7,9,11,13,19",7,0,5,0,15,4,15,10,5,0,1,0,2,1,1,0,0,0,159.32,42.12,11.38,3.01,104.18,-12.50,10.42,-1.25
16 Elias Levey-Swain,6,"2,3,10,12,15,17",0,6,0,3,9,5,9,5,4,0,0,0,1,1,0,2,0,0,107.99,58.66,18.00,9.78,50.48,7.17,10.10,1.43
74 Sam Harris,6,"1,2,5,10,15,17",0,6,0,4,6,4,6,6,0,0,3,0,1,0,1,0,0,0,58.62,-5.04,9.77,-0.84,116.18,93.32,19.36,15.55
24 Jolie Krebs,6,"4,6,9,11,13,17",5,1,4,1,10,5,9,7,3,1,2,1,1,1,0,0,0,0,123.16,91.26,15.39,11.41,77.27,52.70,11.04,7.53
03 Abby Cheng,6,"2,5,8,12,15,17",1,5,0,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0,28.37,-3.84,9.46,-1.28,39.65,21.45,13.22,7.15
08 Mike Drost,6,"4,6,7,9,11,15",5,1,3,1,11,4,10,11,0,0,1,1,1,1,0,0,0,0,82.60,9.16,10.32,1.15,147.80,126.28,13.44,11.48
42 Daniel Thornton,6,"2,5,8,12,15,18",1,5,0,2,8,3,7,8,0,0,0,1,2,0,2,1,0,0,61.91,-9.37,8.84,-1.34,145.01,88.64,18.13,11.08
17 Oliver Chartock,6,"4,6,9,11,16,19",5,1,4,1,10,5,10,6,4,2,0,0,0,0,0,0,0,0,136.42,76.66,13.64,7.67,70.47,30.89,11.75,5.15
29 Oscar Kohut,6,"4,7,9,11,13,19",6,0,5,0,11,6,10,11,0,2,0,1,2,2,0,0,0,0,160.48,93.39,20.06,11.67,175.26,101.14,15.93,9.19
56 Leila Denniston,6,"4,7,9,13,16,19",5,1,4,1,9,5,6,9,0,0,0,3,1,1,0,0,0,0,47.28,15.55,9.46,3.11,179.10,114.49,19.90,12.72
12 Matt LeMar,5,"6,7,11,13,19",5,0,3,0,7,5,7,5,2,0,1,0,1,0,1,1,0,0,89.32,29.69,12.76,4.24,52.40,-17.19,10.48,-3.44
80 Hannah Garfield,5,"2,10,12,15,17",0,5,0,3,6,5,5,5,1,0,0,1,0,0,0,0,0,0,46.09,18.75,9.22,3.75,47.96,3.13,9.59,0.63
45 Colton Doering,5,"1,3,14,16,18",0,5,0,3,10,4,10,8,2,0,1,0,0,0,0,1,0,0,92.81,11.72,9.28,1.17,146.90,115.20,18.36,14.40
36 Matt Wiener,4,"6,7,13,19",4,0,2,0,4,2,4,4,0,0,0,0,0,0,0,0,0,0,20.99,9.73,7.00,3.24,46.97,27.06,11.74,6.76
27 Griffin Kao,4,"2,10,14,17",0,4,0,3,2,1,1,2,0,0,0,1,1,0,1,0,0,0,4.91,-3.84,4.91,-3.84,28.83,24.57,14.42,12.29
06 Ryan Drost,3,"1,3,10",0,3,0,1,2,2,1,2,0,0,0,1,0,0,0,0,0,0,10.60,-10.44,10.60,-10.44,30.39,27.91,15.19,13.96
