Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
00 Genny De Jesus,12,"4,5,8,10,12,13,15,17,19,21,23,26",12,0,10,0,14,9,11,14,0,0,2,3,1,1,0,0,0,0,123.63,64.42,12.36,6.44,187.42,112.00,13.39,8.00
11 Nina Finley,12,"4,5,8,10,12,13,15,17,19,21,23,26",12,0,10,0,21,9,20,18,3,2,2,1,1,1,0,0,0,0,290.55,171.38,16.14,9.52,216.42,84.16,12.02,4.68
24 Jolie Krebs,12,"4,5,8,10,12,13,15,17,19,21,23,26",12,0,10,0,22,9,21,18,4,3,1,1,1,1,0,1,0,0,258.99,174.01,12.95,8.70,214.28,87.14,11.90,4.84
08 Mike Drost,9,"4,8,10,12,15,17,21,23,26",9,0,7,0,10,8,8,10,0,1,2,2,1,0,1,1,0,0,90.60,23.01,11.33,2.88,193.39,137.14,19.34,13.71
17 Oliver Chartock,9,"4,5,10,13,15,17,19,23,26",9,0,8,0,20,9,20,12,8,3,1,0,0,0,0,0,0,0,226.81,128.20,11.94,6.75,144.91,34.80,12.08,2.90
12 Matt LeMar,9,"5,8,12,13,15,19,21,23,26",9,0,8,0,20,9,19,18,2,0,1,1,0,0,0,0,0,0,218.26,84.30,11.49,4.44,167.77,66.26,9.32,3.68
26 Cara Sieber,8,"1,3,7,11,14,18,22,24",0,8,0,3,10,4,10,9,1,1,1,0,0,0,0,0,0,0,127.65,50.50,12.77,5.05,107.15,13.64,11.91,1.52
03 Abby Cheng,8,"1,3,5,9,13,18,20,24",2,6,2,2,8,4,6,8,0,0,0,2,1,1,0,0,0,0,59.34,-7.95,11.87,-1.59,116.44,92.68,14.55,11.59
66 Janine Hlavaty,8,"4,6,8,12,17,20,21,25",5,3,3,1,4,4,4,4,0,1,1,0,1,1,0,0,0,0,44.83,32.03,14.94,10.68,88.25,73.37,22.06,18.34
30 Josue Alorro,8,"1,3,7,11,14,18,22,25",0,8,0,2,8,3,8,5,3,0,0,0,2,1,1,0,0,0,120.82,63.64,17.26,9.09,59.81,1.21,11.96,0.24
19 Eliot Bemis,7,"2,7,11,14,16,20,24",0,7,0,3,8,3,8,8,0,0,0,0,0,0,0,1,0,0,80.02,14.28,10.00,1.78,126.27,94.67,15.78,11.83
06 Ryan Drost,7,"1,6,9,14,18,22,25",0,7,0,3,4,3,4,3,1,1,2,0,0,0,0,0,0,0,91.74,87.14,22.94,21.79,42.06,23.72,14.02,7.91
29 Oscar Kohut,7,"5,8,10,12,15,19,23",7,0,6,0,5,4,5,5,0,1,0,0,1,1,0,0,0,0,82.96,38.14,20.74,9.53,78.33,53.27,15.67,10.65
07 Luisa Neves,7,"1,6,9,14,16,20,24",0,7,0,4,6,2,6,4,2,0,1,0,0,0,0,0,0,0,80.37,46.38,13.39,7.73,50.44,36.65,12.61,9.16
88 Nikki Hair,7,"1,3,7,9,16,20,25",0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36 Matt Wiener,7,"4,10,13,17,19,21,26",7,0,6,0,5,4,3,5,0,0,0,2,1,0,1,0,0,0,35.48,6.89,11.83,2.30,104.15,76.78,20.83,15.36
27 Griffin Kao,6,"1,3,7,11,20,22",0,6,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,12.26,12.22,12.26,12.22,11.38,11.36,11.38,11.36
10 Tricia Smit,6,"2,7,11,18,22,25",0,6,0,1,2,2,2,1,1,0,0,0,0,0,0,1,0,0,21.22,0.43,10.61,0.21,15.34,15.13,15.34,15.13
74 Sam Harris,6,"2,6,11,14,16,24",0,6,0,4,5,4,3,5,0,1,1,2,0,0,0,2,0,0,18.49,8.10,9.25,4.05,58.48,32.39,11.70,6.48
46 Ben Levy,6,"2,6,9,16,20,22",0,6,0,2,3,1,3,3,0,1,0,0,0,0,0,0,0,0,32.94,21.09,10.98,7.03,21.77,-10.87,7.26,-3.62
16 Elias Levey-Swain,6,"2,3,7,11,18,24",0,6,0,2,5,3,5,5,0,0,0,0,0,0,0,0,0,0,67.04,42.26,13.41,8.45,58.95,7.17,11.79,1.43
42 Daniel Thornton,5,"2,6,9,16,24",0,5,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,19.51,7.46,9.76,3.73,24.65,13.14,12.32,6.57
45 Colton Doering,5,"3,6,14,18,25",0,5,0,2,2,1,1,2,0,0,0,1,0,0,0,0,0,0,6.27,5.11,6.27,5.11,22.15,17.19,11.08,8.59
80 Hannah Garfield,5,"2,9,16,22,25",0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
