Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2024-01-21 09:21:22,1,1,0,1,0.45,0.82102275,26 Cara Sieber,10,26 Cara Sieber,06 Ryan Drost,03 Abby Cheng,,,
2024-01-21 09:25:01,2,1,0,1,0.5826923,0.40625,10 Tricia Smit,11,74 Sam Harris,46 Ben Levy,74 Sam Harris,,,
2024-01-21 09:29:35,4,1,1,0,0.62115383,0.7400568,17 Oliver Chartock,12,,,,,08 Mike Drost,
2024-01-21 09:34:22,4,2,1,0,0.72884613,0.82173294,11 Nina Finley,4,,,,66 Janine Hlavaty,,
2024-01-21 09:43:27,5,1,1,1,0.62884617,0.6775568,11 Nina Finley,5,11 Nina Finley,17 Oliver Chartock,00 Genny De Jesus,,,
2024-01-21 09:45:43,6,1,0,1,0.72115386,0.734375,06 Ryan Drost,2,06 Ryan Drost,66 Janine Hlavaty,74 Sam Harris,,,
2024-01-21 09:48:05,8,1,1,1,0.49423078,0.71875,24 Jolie Krebs,7,66 Janine Hlavaty,24 Jolie Krebs,00 Genny De Jesus,,,
2024-01-21 11:30:25,10,1,1,0,0.33076924,0.8181818,24 Jolie Krebs,2,,,,,36 Matt Wiener,
2024-01-21 11:31:33,10,2,1,1,0.7480769,0.8167614,17 Oliver Chartock,8,17 Oliver Chartock,29 Oscar Kohut,36 Matt Wiener,,,
2024-01-21 11:35:47,11,1,0,0,0.009615385,0.49928978,30 Josue Alorro,7,,,,30 Josue Alorro,,
2024-01-21 11:38:48,12,1,1,0,0.53846157,0.6754261,12 Matt LeMar,4,,,,11 Nina Finley,,
2024-01-21 11:41:16,13,1,1,0,0.70576924,0.75710225,17 Oliver Chartock,7,,,,24 Jolie Krebs,,
2024-01-21 11:43:54,13,2,1,1,0.87115383,0.8181818,12 Matt LeMar,9,00 Genny De Jesus,24 Jolie Krebs,36 Matt Wiener,,,
2024-01-21 11:46:44,14,1,0,0,0.7192308,0.82315344,30 Josue Alorro,6,,,,,30 Josue Alorro,
2024-01-21 11:49:01,14,2,0,1,0.6903846,0.8203125,30 Josue Alorro,4,06 Ryan Drost,26 Cara Sieber,45 Colton Doering,,,
2024-01-21 11:51:15,15,1,1,0,0.63846153,0.83664775,17 Oliver Chartock,17,,,,00 Genny De Jesus,,
2024-01-21 11:56:31,15,2,1,1,0.5326923,0.43821022,11 Nina Finley,5,12 Matt LeMar,08 Mike Drost,12 Matt LeMar,,,
2024-01-21 12:01:10,17,1,1,1,0.49807692,0.47727272,17 Oliver Chartock,11,08 Mike Drost,17 Oliver Chartock,11 Nina Finley,,,
2024-01-21 12:05:00,19,1,1,1,0.36153847,0.84375,17 Oliver Chartock,5,11 Nina Finley,24 Jolie Krebs,00 Genny De Jesus,,,
2024-01-21 12:09:00,21,1,1,1,0.5,0.6150568,24 Jolie Krebs,4,24 Jolie Krebs,11 Nina Finley,08 Mike Drost,,,
2024-01-21 12:12:56,23,1,1,0,0.6230769,0.8536932,24 Jolie Krebs,5,,,,29 Oscar Kohut,,
2024-01-21 12:15:06,23,2,1,1,0.59615386,0.2556818,17 Oliver Chartock,3,08 Mike Drost,17 Oliver Chartock,24 Jolie Krebs,,,
2024-01-21 12:18:25,24,1,0,0,0.79423076,0.82173294,07 Luisa Neves,4,,,,03 Abby Cheng,,
2024-01-21 12:20:14,24,2,0,1,0.6076923,0.81107956,07 Luisa Neves,13,07 Luisa Neves,74 Sam Harris,03 Abby Cheng,,,
2024-01-21 12:25:35,26,1,1,1,0.45576924,0.8004261,17 Oliver Chartock,5,00 Genny De Jesus,11 Nina Finley,08 Mike Drost,,,
