Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
8/10/23 22:28,1,1,26 Cara Sieber,06 Ryan Drost,1,1,0,0,0,0,0,0,0,0,0,17.30515,15.838069,6.9730763,0.3576923,0.81889206,0.16923077,0.6605114
8/10/23 22:30,2,1,17 Oliver Chartock,12 Matt LeMar,0,0,0,0,0,0,0,0,0,0,0,8.715741,7.102269,5.0519223,0.60192305,0.85085225,0.4653846,0.77982956
8/10/23 22:30,2,1,12 Matt LeMar,17 Oliver Chartock,0,0,0,0,0,0,0,0,0,0,0,8.450803,5.752844,6.190384,0.4653846,0.77982956,0.29807693,0.7223011
8/10/23 22:30,2,1,17 Oliver Chartock,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,16.456167,16.40625,1.2807697,0.29807693,0.7223011,0.26346153,0.5582386
8/10/23 22:31,2,1,11 Nina Finley,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,0,0,9.964297,9.872159,1.3519228,0.26346153,0.5582386,0.22692308,0.45951703
8/10/23 22:31,2,1,00 Genny De Jesus,17 Oliver Chartock,1,1,0,0,0,0,0,0,0,0,0,10.230619,1.0653406,-10.175,0.22692308,0.45951703,0.5019231,0.44886363
8/10/23 22:33,3,1,12 Matt LeMar,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,0,0,17.358154,17.329546,-0.99615544,0.50961536,0.61576706,0.5365385,0.4424716
8/10/23 22:33,3,1,24 Jolie Krebs,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,0,0,11.201584,8.877841,6.83077,0.5365385,0.4424716,0.35192308,0.3536932
8/10/23 22:33,3,1,00 Genny De Jesus,17 Oliver Chartock,0,0,0,0,0,0,0,0,1,0,0,7.3396754,-1.4914781,7.186538,0.35192308,0.3536932,0.15769231,0.36860797
8/10/23 22:34,3,1,17 Oliver Chartock,00 Genny De Jesus,0,0,0,0,0,0,0,1,0,0,0,13.464164,6.463069,-11.811539,0.15769231,0.36860797,0.47692308,0.30397728
8/10/23 22:34,3,1,00 Genny De Jesus,11 Nina Finley,0,0,0,0,0,0,0,1,0,0,0,12.670362,-0.35511255,-12.665385,0.47692308,0.30397728,0.8192308,0.3075284
8/10/23 22:34,3,1,11 Nina Finley,12 Matt LeMar,0,0,0,0,0,1,0,0,0,0,1,11.24101,11.150567,-1.4230757,0.8192308,0.3075284,0.8576923,0.19602273
8/10/23 22:34,3,1,12 Matt LeMar,24 Jolie Krebs,0,0,0,1,1,0,0,0,0,1,0,8.519023,6.463069,5.549999,0.8576923,0.19602273,0.7076923,0.13139205
8/10/23 22:36,5,1,12 Matt LeMar,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,11.700162,9.232956,-7.186538,0.25192308,0.8259943,0.44615385,0.73366475
8/10/23 22:36,5,1,11 Nina Finley,29 Oscar Kohut,0,0,0,0,0,0,0,0,0,0,1,19.526793,11.5767,-15.724999,0.44615385,0.73366475,0.87115383,0.61789775
