Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2023-08-10 22:28:07,1,1,0,0,0.3576923,0.81889206,26 Cara Sieber,1,,,,26 Cara Sieber,,
2023-08-10 22:30:16,2,1,1,0,0.60192305,0.85085225,17 Oliver Chartock,5,,,,00 Genny De Jesus,,
2023-08-10 22:32:58,3,1,1,1,0.50961536,0.61576706,12 Matt LeMar,7,11 Nina Finley,12 Matt LeMar,24 Jolie Krebs,,,
2023-08-10 22:36:02,5,1,1,1,0.25192308,0.8259943,12 Matt LeMar,8,08 Mike Drost,29 Oscar Kohut,17 Oliver Chartock,,,
2023-08-10 22:39:40,6,1,0,0,0.03269231,0.82741475,07 Luisa Neves,7,,,,03 Abby Cheng,,
2023-08-10 22:42:47,7,1,1,0,0.50961536,0.64559656,12 Matt LeMar,3,,,,11 Nina Finley,,
2023-08-10 22:44:25,7,2,1,1,0.74038464,0.4659091,36 Matt Wiener,4,56 Leila Denniston,08 Mike Drost,24 Jolie Krebs,,,
2023-08-10 22:47:19,8,1,0,1,0.9403846,0.57741475,30 Josue Alorro,5,30 Josue Alorro,42 Daniel Thornton,10 Tricia Smit,,,
2023-08-10 22:51:26,10,1,1,1,0.17884615,0.7464489,12 Matt LeMar,15,12 Matt LeMar,56 Leila Denniston,00 Genny De Jesus,,,
2023-08-10 22:56:50,11,1,0,0,0.9596154,0.8203125,30 Josue Alorro,2,,,,74 Sam Harris,,
2023-08-10 22:59:46,11,2,0,0,0.0,0.8181818,07 Luisa Neves,1,,,,07 Luisa Neves,,
2023-08-10 23:00:40,11,3,0,1,0.7153846,0.81960225,74 Sam Harris,7,10 Tricia Smit,16 Elias Levey-Swain,74 Sam Harris,,,
2023-08-11 00:08:48,12,1,0,0,0.56153846,0.8203125,80 Hannah Garfield,4,,,,19 Eliot Bemis,,
2023-08-11 00:10:31,12,2,0,0,0.30384615,0.828125,19 Eliot Bemis,10,,,,99 Toby Paperno,,
2023-08-11 00:14:02,12,3,0,1,0.5903846,0.81960225,26 Cara Sieber,13,19 Eliot Bemis,46 Ben Levy,26 Cara Sieber,,,
2023-08-11 00:18:58,14,1,1,1,0.33653846,0.6931818,29 Oscar Kohut,8,00 Genny De Jesus,29 Oscar Kohut,00 Genny De Jesus,,,
2023-08-11 00:21:50,15,1,1,0,0.30769232,0.7223011,17 Oliver Chartock,6,,,,11 Nina Finley,,
2023-08-11 00:24:13,15,2,1,0,0.7096154,0.82173294,17 Oliver Chartock,7,,,,24 Jolie Krebs,,
2023-08-11 00:26:42,15,3,1,1,0.03269231,0.52982956,00 Genny De Jesus,4,24 Jolie Krebs,17 Oliver Chartock,00 Genny De Jesus,,,
2023-08-11 00:29:01,16,1,0,0,0.9807692,0.54971594,30 Josue Alorro,5,,,,26 Cara Sieber,,
2023-08-11 00:32:08,17,1,1,0,0.6788462,0.79829544,11 Nina Finley,7,,,,00 Genny De Jesus,,
2023-08-11 00:35:28,18,1,1,1,0.72115386,0.875,12 Matt LeMar,9,11 Nina Finley,12 Matt LeMar,08 Mike Drost,,,
2023-08-11 00:39:08,19,1,0,0,0.19038461,0.60653406,26 Cara Sieber,3,,,,99 Toby Paperno,,
2023-08-11 00:41:53,20,1,1,0,0.49615383,0.6370739,12 Matt LeMar,5,,,,36 Matt Wiener,,
2023-08-11 00:44:11,20,2,1,1,0.9980769,0.8203125,12 Matt LeMar,5,11 Nina Finley,08 Mike Drost,12 Matt LeMar,,,
2023-08-11 00:49:07,22,1,1,1,0.81346154,0.87571025,29 Oscar Kohut,14,29 Oscar Kohut,00 Genny De Jesus,12 Matt LeMar,,,
2023-08-11 00:58:21,24,1,1,0,0.5673077,0.82315344,12 Matt LeMar,3,,,,,17 Oliver Chartock,
2023-08-11 00:59:52,24,2,1,1,0.56346154,0.8181818,11 Nina Finley,6,00 Genny De Jesus,11 Nina Finley,08 Mike Drost,,,
