Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
10/3/23 14:26,1,1,11 Nina Finley,12 Matt LeMar,0,0,0,0,0,0,0,1,0,0,0,14.926741,3.4801126,-14.515385,0.18461539,0.7713068,0.5769231,0.7365057
10/3/23 14:26,1,1,12 Matt LeMar,21 Anne Worth,0,0,0,0,0,0,0,0,0,0,0,16.246576,12.997162,-9.748076,0.5769231,0.7365057,0.8403846,0.60653406
10/3/23 14:26,1,1,21 Anne Worth,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,1,12.470974,12.286928,-2.1346169,0.8403846,0.60653406,0.89807695,0.48366478
10/3/23 14:26,1,1,08 Mike Drost,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,1,1,10.546726,10.440341,-1.4942298,0.89807695,0.48366478,0.93846154,0.37926137
10/3/23 14:26,1,1,24 Jolie Krebs,36 Matt Wiener,0,0,0,0,0,0,0,1,0,1,0,15.488398,-1.9176126,15.36923,0.93846154,0.37926137,0.52307695,0.3984375
10/3/23 14:27,1,1,36 Matt Wiener,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,6.068475,0.49715936,-6.0480757,0.52307695,0.3984375,0.68653846,0.3934659
10/3/23 14:27,1,1,11 Nina Finley,12 Matt LeMar,0,0,0,0,0,0,0,0,0,0,0,11.523507,3.977272,10.815384,0.68653846,0.3934659,0.39423078,0.3536932
10/3/23 14:27,1,1,12 Matt LeMar,24 Jolie Krebs,0,0,0,0,0,1,0,0,0,0,1,19.13418,16.548296,9.605769,0.39423078,0.3536932,0.13461539,0.18821023
10/3/23 14:27,1,1,24 Jolie Krebs,21 Anne Worth,0,0,0,1,1,0,0,0,0,1,0,9.114101,6.818183,-6.0480766,0.13461539,0.18821023,0.29807693,0.12002841
10/3/23 14:29,2,1,30 Josue Alorro,88 Nikki Hair,0,0,0,0,0,0,0,0,0,0,0,14.227952,14.133519,-1.636538,0.68653846,0.79403406,0.7307692,0.6526989
10/3/23 14:29,2,1,88 Nikki Hair,46 Ben Levy,1,0,1,0,0,0,0,0,0,0,1,16.150986,12.713069,-9.961539,0.7307692,0.6526989,1,0.5255682
10/3/23 14:31,2,2,,46 Ben Levy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.4424716,0.45,0.4424716
