Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal,wind_direction
10/3/23 14:22,1,0,0,1,1,1,9,0,0,0,0,0,12 Matt LeMar,24 Jolie Krebs,21 Anne Worth,
10/3/23 14:27,2,1,0,0,1,2,7,1,0,1,1,1,07 Luisa Neves,30 Josue Alorro,06 Ryan Drost,
10/3/23 14:32,3,2,0,0,0,0,0,0,0,0,0,0,,,,
10/3/23 14:34,4,2,1,1,1,2,15,1,1,0,0,1,11 Nina Finley,17 Oliver Chartock,24 Jolie Krebs,
10/3/23 14:39,5,3,1,0,0,0,0,0,0,0,0,0,,,,
10/3/23 14:40,6,3,2,1,1,1,12,0,0,0,0,0,17 Oliver Chartock,12 Matt LeMar,00 Genny De Jesus,
10/3/23 14:44,7,4,2,0,0,0,0,0,0,0,0,0,,,,
10/3/23 14:55,8,4,3,1,1,1,16,0,0,0,0,0,11 Nina Finley,21 Anne Worth,00 Genny De Jesus,
10/3/23 14:59,9,5,3,0,1,1,3,0,0,0,0,1,66 Janine Hlavaty,06 Ryan Drost,56 Leila Denniston,
10/3/23 15:01,10,6,3,0,0,0,0,0,0,0,0,0,,,,
10/3/23 15:03,11,6,4,1,0,1,4,1,1,0,0,0,,,,
10/3/23 15:05,12,6,5,1,1,2,20,1,1,0,1,0,36 Matt Wiener,12 Matt LeMar,24 Jolie Krebs,
10/3/23 15:11,13,7,5,0,1,1,7,0,0,0,1,0,07 Luisa Neves,30 Josue Alorro,42 Daniel Thornton,
10/3/23 15:14,14,8,5,0,1,1,4,0,0,0,0,1,46 Ben Levy,03 Abby Cheng,26 Cara Sieber,
10/3/23 15:16,15,9,5,0,0,1,5,1,1,0,0,1,,,,
10/3/23 15:22,16,9,6,1,1,2,6,1,1,0,1,0,,17 Oliver Chartock,00 Genny De Jesus,
10/3/23 15:24,17,10,6,0,1,2,9,1,0,1,1,1,88 Nikki Hair,74 Sam Harris,46 Ben Levy,
10/3/23 15:28,18,11,6,0,0,1,2,1,1,0,1,0,,,,
10/3/23 15:31,19,11,7,1,1,1,17,0,0,0,0,0,21 Anne Worth,00 Genny De Jesus,21 Anne Worth,
10/3/23 15:35,20,12,7,0,1,1,10,0,0,0,0,1,26 Cara Sieber,03 Abby Cheng,16 Elias Levey-Swain,
10/3/23 15:37,21,13,7,0,0,0,0,0,0,0,0,0,,,,
