Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
8/10/23 15:04,2,1,12 Matt LeMar,29 Oscar Kohut,0,0,0,0,0,0,0,0,0,0,1,11.225973,6.463069,-9.178846,0.6442308,0.8125,0.8923077,0.7478693
8/10/23 15:05,2,1,29 Oscar Kohut,36 Matt Wiener,0,0,0,0,0,0,1,0,0,1,1,58.854134,48.721592,33.015385,0.8923077,0.7478693,0,0.2606534
8/10/23 15:05,2,1,36 Matt Wiener,00 Genny De Jesus,0,0,0,0,0,0,0,0,1,1,1,6.283673,-4.4034095,-4.4826922,0,0.2606534,0.12115385,0.3046875
8/10/23 15:05,2,1,00 Genny De Jesus,24 Jolie Krebs,1,1,0,0,0,0,0,0,0,1,1,11.61168,11.505681,1.5653845,0.12115385,0.3046875,0.07884616,0.18963069
8/10/23 15:06,2,2,24 Jolie Krebs,11 Nina Finley,0,0,0,0,0,0,0,1,0,1,0,17.226406,0.49716234,-17.21923,0,0.7933239,0.4653846,0.78835225
8/10/23 15:06,2,2,11 Nina Finley,29 Oscar Kohut,0,0,0,0,0,0,0,0,0,0,1,20.653286,13.636362,-15.5115385,0.4653846,0.78835225,0.88461536,0.6519886
8/10/23 15:07,2,2,29 Oscar Kohut,11 Nina Finley,0,0,0,0,0,0,0,1,0,1,0,14.230768,0,14.230768,0.88461536,0.6519886,0.5,0.6519886
8/10/23 15:07,2,2,11 Nina Finley,36 Matt Wiener,0,0,0,0,0,0,0,0,0,0,0,9.246307,2.9829562,8.751924,0.5,0.6519886,0.26346153,0.62215906
8/10/23 15:07,2,2,36 Matt Wiener,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,0,0,9.772394,9.23295,3.2019227,0.26346153,0.62215906,0.17692308,0.52982956
8/10/23 15:07,2,2,00 Genny De Jesus,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,11.613683,11.008525,-3.7000003,0.17692308,0.52982956,0.2769231,0.4197443
8/10/23 15:07,2,2,11 Nina Finley,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,0,1,14.969783,12.144884,8.751924,0.2769231,0.4197443,0.040384617,0.29829547
8/10/23 15:08,2,2,24 Jolie Krebs,29 Oscar Kohut,1,1,0,1,0,0,0,0,0,1,0,26.56455,20.525568,-16.86346,0.040384617,0.29829547,0.49615383,0.09303977
8/10/23 15:08,2,3,,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10769231,0.56107956,0.10769231,0.56107956
8/10/23 15:09,2,3,12 Matt LeMar,08 Mike Drost,0,0,0,0,0,0,0,0,0,1,0,17.848671,10.866478,-14.1596155,0,0.5667614,0.3826923,0.4580966
8/10/23 15:09,2,3,08 Mike Drost,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,0,0,9.862967,5.610797,8.111539,0.3826923,0.4580966,0.16346154,0.40198863
8/10/23 15:09,2,3,00 Genny De Jesus,36 Matt Wiener,0,0,0,0,0,0,0,0,0,0,0,11.954884,9.659091,-7.0442314,0.16346154,0.40198863,0.35384616,0.30539772
8/10/23 15:10,2,3,36 Matt Wiener,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,0,0,7.5608215,2.5568187,7.1153846,0.35384616,0.30539772,0.16153847,0.27982953
8/10/23 15:10,2,3,00 Genny De Jesus,24 Jolie Krebs,0,0,0,0,0,1,0,0,0,0,1,5.406421,5.326703,0.9250002,0.16153847,0.27982953,0.13653846,0.2265625
