Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal,wind_direction
8/10/23 15:01,1,0,0,0,0,0,0,0,0,0,0,0,,,,u
8/10/23 15:04,2,0,1,1,1,3,18,2,2,0,1,1,00 Genny De Jesus,24 Jolie Krebs,00 Genny De Jesus,d
8/10/23 15:10,3,1,1,0,0,0,0,0,0,0,0,0,,,,u
8/10/23 15:11,4,1,2,1,1,1,4,0,0,0,0,0,11 Nina Finley,29 Oscar Kohut,00 Genny De Jesus,d
8/10/23 15:13,5,2,2,0,0,0,0,0,0,0,0,0,,,,u
8/10/23 15:15,6,2,3,1,1,1,10,0,0,0,0,0,29 Oscar Kohut,24 Jolie Krebs,00 Genny De Jesus,d
8/10/23 15:19,7,3,3,0,0,1,5,1,1,0,0,1,,,,u
8/10/23 15:22,8,3,4,1,1,2,9,1,1,0,0,1,00 Genny De Jesus,24 Jolie Krebs,56 Leila Denniston,d
8/10/23 15:26,9,4,4,0,0,0,0,0,0,0,0,0,,,,u
8/10/23 15:29,10,4,5,1,0,2,12,2,1,1,0,1,,,,d
8/10/23 15:35,11,4,6,1,0,1,4,1,1,0,0,0,,,,u
8/10/23 15:39,12,4,7,1,1,1,4,0,0,0,0,0,03 Abby Cheng,74 Sam Harris,06 Ryan Drost,d
8/10/23 15:40,13,5,7,0,1,1,5,0,0,0,1,0,03 Abby Cheng,30 Josue Alorro,80 Hannah Garfield,u
8/10/23 15:44,14,6,7,0,0,0,0,0,0,0,0,0,,,,d
8/10/23 15:45,15,6,8,1,1,1,10,0,0,0,0,0,08 Mike Drost,29 Oscar Kohut,24 Jolie Krebs,d
8/10/23 15:48,16,7,8,0,0,1,1,1,1,0,1,0,,,,u
8/10/23 15:50,17,7,9,1,1,1,9,0,0,0,0,0,24 Jolie Krebs,56 Leila Denniston,12 Matt LeMar,d
8/10/23 15:53,18,8,9,0,0,1,9,1,1,0,1,0,,,,u
8/10/23 15:58,19,8,10,1,0,1,9,1,1,0,0,0,,,,d
8/10/23 16:02,20,8,11,1,1,1,13,0,0,0,0,0,12 Matt LeMar,24 Jolie Krebs,56 Leila Denniston,u
8/10/23 16:06,21,9,11,0,0,0,0,0,0,0,0,0,,,,d
8/10/23 16:08,22,9,12,1,1,2,18,1,1,0,0,1,00 Genny De Jesus,11 Nina Finley,12 Matt LeMar,u
8/10/23 16:14,23,10,12,0,0,0,0,0,0,0,0,0,,,,d
8/10/23 16:16,24,10,13,1,0,1,3,1,1,0,0,0,,,,u
8/10/23 16:18,25,10,14,1,1,1,14,0,0,0,0,0,42 Daniel Thornton,46 Ben Levy,00 Genny De Jesus,d
8/10/23 16:22,26,11,14,0,0,0,0,0,0,0,0,0,,,,u
8/10/23 16:23,27,11,15,1,0,0,0,0,0,0,0,0,,,,
