Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2023-06-27 12:21:02,2,27 Griffin Kao,0,0,0,0,0.3596154,0.74076706
2023-06-27 12:21:47,2,45 Colton Doering,1,0,0,0,0.5192308,0.9744318
2023-06-27 12:30:36,5,30 Josue Alorro,1,0,0,0,0.48653847,0.92684656
2023-06-27 12:38:41,8,12 Matt LeMar,0,0,0,0,0.9288462,0.74147725
2023-06-27 12:43:51,10,00 Genny De Jesus,0,0,0,0,0.75576925,0.4005682
2023-06-27 12:51:29,12,88 Nikki Hair,1,0,0,0,1.0,0.8238636
2023-06-27 12:58:32,14,10 Tricia Smit,0,0,0,0,0.7,0.31676137
2023-06-27 13:07:01,17,19 Eliot Bemis,1,0,0,0,0.7826923,0.8238636
2023-06-27 13:08:29,17,46 Ben Levy,0,0,0,0,0.87115383,0.3380682
2023-06-27 13:10:05,18,27 Griffin Kao,0,0,0,0,0.14423077,0.3700284
2023-06-27 13:11:17,18,19 Eliot Bemis,0,0,0,0,0.22307692,0.34801137
