Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2023-06-27 12:19:48,1,1,0,1,0.22307692,0.34730113,,2,,,,,,
2023-06-27 12:21:05,2,1,0,0,0.3596154,0.74076706,27 Griffin Kao,3,,,,30 Josue Alorro,,
2023-06-27 12:22:07,2,2,0,1,0.6730769,0.81321025,30 Josue Alorro,5,26 Cara Sieber,19 Eliot Bemis,10 Tricia Smit,,,
2023-06-27 12:25:04,3,1,0,1,0.5519231,0.6463068,11 Nina Finley,3,08 Mike Drost,36 Matt Wiener,33 Emily Barrett,,,
2023-06-27 12:27:13,4,1,0,0,0.22692308,0.42329547,30 Josue Alorro,3,,,,19 Eliot Bemis,,
2023-06-27 12:28:11,4,2,0,1,0.71153843,0.765625,46 Ben Levy,7,56 Leila Denniston,03 Abby Cheng,30 Josue Alorro,,,
2023-06-27 12:30:45,5,1,0,1,0.25576922,0.82670456,30 Josue Alorro,4,10 Tricia Smit,30 Josue Alorro,88 Nikki Hair,,,
2023-06-27 12:32:59,6,1,0,1,0.65192306,0.81889206,17 Oliver Chartock,10,33 Emily Barrett,00 Genny De Jesus,08 Mike Drost,,,
2023-06-27 12:37:21,8,1,1,0,0.52307695,0.7109375,17 Oliver Chartock,3,,,,17 Oliver Chartock,,
2023-06-27 12:38:44,8,2,1,1,0.9288462,0.74147725,12 Matt LeMar,9,17 Oliver Chartock,12 Matt LeMar,11 Nina Finley,,,
2023-06-27 12:42:15,10,1,1,0,0.33461538,0.8416193,17 Oliver Chartock,6,,,,00 Genny De Jesus,,
2023-06-27 12:43:54,10,2,1,1,0.75576925,0.4005682,00 Genny De Jesus,3,11 Nina Finley,12 Matt LeMar,00 Genny De Jesus,,,
2023-06-27 12:47:28,11,1,1,1,0.35,0.8046875,17 Oliver Chartock,11,00 Genny De Jesus,17 Oliver Chartock,33 Emily Barrett,,,
2023-06-27 12:51:32,12,1,0,0,1.0,0.8238636,88 Nikki Hair,3,,,,,27 Griffin Kao,
2023-06-27 12:55:40,13,1,1,0,0.4846154,0.6598011,11 Nina Finley,5,,,,11 Nina Finley,,
2023-06-27 12:56:41,13,2,1,1,0.86730766,0.40696022,11 Nina Finley,4,00 Genny De Jesus,11 Nina Finley,00 Genny De Jesus,,,
2023-06-27 12:58:43,14,1,0,1,0.6961538,0.30326703,30 Josue Alorro,1,,30 Josue Alorro,45 Colton Doering,,,
2023-06-27 13:00:51,15,1,0,1,0.1826923,0.30539772,46 Ben Levy,5,56 Leila Denniston,46 Ben Levy,27 Griffin Kao,,,
2023-06-27 13:03:28,16,1,0,1,0.8019231,0.4708807,17 Oliver Chartock,2,17 Oliver Chartock,00 Genny De Jesus,56 Leila Denniston,,,
2023-06-27 13:07:03,17,1,0,0,0.7826923,0.8238636,19 Eliot Bemis,3,,,,30 Josue Alorro,,
2023-06-27 13:08:39,17,2,0,1,0.7980769,0.35298297,30 Josue Alorro,1,,30 Josue Alorro,80 Hannah Garfield,,,
2023-06-27 13:10:06,18,1,0,0,0.14423077,0.3700284,27 Griffin Kao,4,,,,56 Leila Denniston,,
2023-06-27 13:11:28,18,2,0,1,0.04423077,0.4034091,30 Josue Alorro,3,26 Cara Sieber,27 Griffin Kao,56 Leila Denniston,,,
