Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2023-06-27 10:28:55,1,1,0,1,0.61923075,0.6036932,26 Cara Sieber,5,30 Josue Alorro,19 Eliot Bemis,03 Abby Cheng,,,
2023-06-27 10:31:35,3,1,1,1,0.61923075,0.72940344,12 Matt LeMar,11,33 Emily Barrett,17 Oliver Chartock,00 Genny De Jesus,,,
2023-06-27 10:34:51,4,1,0,1,0.2769231,0.5816761,26 Cara Sieber,5,30 Josue Alorro,46 Ben Levy,26 Cara Sieber,,,
2023-06-27 10:37:56,6,1,1,1,0.6269231,0.79048294,12 Matt LeMar,10,33 Emily Barrett,17 Oliver Chartock,56 Leila Denniston,,,
2023-06-27 10:41:25,7,1,0,1,1.0,0.8224432,26 Cara Sieber,7,26 Cara Sieber,19 Eliot Bemis,74 Sam Harris,,,
2023-06-27 10:44:45,9,1,1,1,0.63653845,0.81747156,17 Oliver Chartock,10,00 Genny De Jesus,17 Oliver Chartock,33 Emily Barrett,,,
2023-06-27 10:47:53,10,1,0,0,0.43269232,0.8146307,30 Josue Alorro,1,,,,30 Josue Alorro,,
2023-06-27 11:29:58,11,1,1,0,0.68653846,0.7457386,12 Matt LeMar,4,,,,11 Nina Finley,,
2023-06-27 11:31:50,12,1,1,1,0.74038464,0.8146307,12 Matt LeMar,10,17 Oliver Chartock,12 Matt LeMar,00 Genny De Jesus,,,
2023-06-27 11:35:33,13,1,0,1,0.6096154,0.22798295,46 Ben Levy,5,30 Josue Alorro,26 Cara Sieber,19 Eliot Bemis,,,
2023-06-27 11:45:47,14,1,1,0,0.63653845,0.3622159,11 Nina Finley,2,,,,12 Matt LeMar,,
2023-06-27 11:46:43,14,2,1,0,0.3326923,0.30113637,11 Nina Finley,2,,,,00 Genny De Jesus,,
2023-06-27 11:48:27,15,1,1,1,0.3480769,0.85795456,11 Nina Finley,4,08 Mike Drost,17 Oliver Chartock,12 Matt LeMar,,,
2023-06-27 11:50:33,16,1,0,1,0.08461539,0.44105113,19 Eliot Bemis,5,03 Abby Cheng,30 Josue Alorro,46 Ben Levy,,,
2023-06-27 11:54:44,17,1,0,1,0.52307695,0.68465906,30 Josue Alorro,2,30 Josue Alorro,19 Eliot Bemis,88 Nikki Hair,,,
2023-06-27 11:56:45,18,1,0,1,0.66923076,0.19105114,08 Mike Drost,1,,08 Mike Drost,56 Leila Denniston,,,
2023-06-27 12:00:04,20,1,1,1,0.8442308,0.7791193,11 Nina Finley,4,11 Nina Finley,08 Mike Drost,00 Genny De Jesus,,,
2023-06-27 12:03:33,22,1,1,1,0.54615384,0.73721594,12 Matt LeMar,9,17 Oliver Chartock,56 Leila Denniston,36 Matt Wiener,,,
2023-06-27 12:07:22,23,1,0,1,0.6653846,0.82315344,30 Josue Alorro,6,30 Josue Alorro,26 Cara Sieber,80 Hannah Garfield,,,
