Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
00 Genny De Jesus,12,"1,2,5,7,10,12,13,18,19,21,24,25",12,0,6,0,11,7,11,11,0,0,0,0,1,1,0,0,0,0,120.93,19.03,12.09,1.90,131.17,77.49,11.92,7.04
08 Mike Drost,11,"1,2,7,10,12,18,19,21,24,25,27",10,1,4,0,12,6,10,10,2,0,0,2,2,2,0,2,0,0,80.00,35.16,10.00,4.39,199.38,168.04,19.94,16.80
30 Josue Alorro,11,"3,6,8,9,14,16,17,20,22,26,27",2,9,2,4,27,6,27,21,6,3,0,0,0,0,0,0,0,0,437.76,234.45,16.21,8.68,234.69,-5.04,11.18,-0.24
11 Nina Finley,11,"1,2,5,7,10,12,13,18,19,21,24",11,0,5,0,8,5,8,6,2,0,2,0,1,1,0,0,0,0,93.46,67.54,13.35,9.65,90.14,44.53,15.02,7.42
06 Ryan Drost,10,"3,6,8,9,11,14,17,20,22,26",2,8,2,3,10,3,10,10,0,1,1,0,2,2,0,0,0,0,111.73,45.53,13.97,5.69,141.58,49.36,14.16,4.94
12 Matt LeMar,10,"1,5,7,12,13,18,19,21,24,25",10,0,5,0,18,8,18,13,5,0,1,0,0,0,0,0,0,0,253.53,159.73,14.08,8.87,147.55,22.80,11.35,1.75
24 Jolie Krebs,9,"1,2,7,10,12,18,19,21,24",9,0,3,0,8,4,8,7,1,0,1,0,0,0,0,0,0,0,110.01,69.67,13.75,8.71,79.41,-4.76,11.34,-0.68
29 Oscar Kohut,9,"2,5,10,13,18,19,21,24,25",9,0,5,0,8,7,8,8,0,4,0,0,1,1,0,0,0,0,217.69,170.10,36.28,28.35,103.81,71.59,12.98,8.95
26 Cara Sieber,8,"4,6,11,14,16,20,23,27",0,8,0,2,3,2,3,3,0,0,1,0,0,0,0,1,0,0,30.18,13.07,10.06,4.36,36.27,15.70,12.09,5.23
17 Oliver Chartock,8,"1,2,5,10,12,20,23,25",6,2,3,0,12,6,12,7,5,1,1,0,1,1,0,0,0,0,162.92,97.94,14.81,8.90,71.01,25.28,10.14,3.61
07 Luisa Neves,8,"3,4,8,9,14,17,22,26",2,6,2,3,9,5,9,6,3,0,1,0,1,1,0,0,0,0,95.98,26.70,12.00,3.34,57.82,-14.91,9.64,-2.49
56 Leila Denniston,8,"3,5,13,15,20,23,25,27",4,4,4,0,6,5,4,6,0,0,0,2,1,1,0,1,0,0,33.31,19.67,11.10,6.56,154.01,92.76,25.67,15.46
74 Sam Harris,7,"3,6,14,16,22,26,27",2,5,2,3,6,4,4,6,0,1,1,2,0,0,0,0,0,0,45.29,11.93,11.32,2.98,128.95,108.74,21.49,18.12
66 Janine Hlavaty,7,"3,11,14,16,20,22,27",2,5,2,2,7,4,7,7,0,0,1,1,0,0,0,1,0,0,95.38,2.20,13.63,0.31,96.38,36.08,13.77,5.15
27 Griffin Kao,7,"4,8,9,14,16,20,26",0,7,0,4,1,1,1,1,0,0,0,0,0,0,0,2,0,0,13.75,0.78,13.75,0.78,21.92,18.82,21.92,18.82
36 Matt Wiener,7,"1,5,7,12,13,21,24",7,0,3,0,3,2,2,3,0,0,0,1,1,0,1,0,0,0,23.10,4.90,11.55,2.45,81.92,54.26,27.31,18.09
46 Ben Levy,6,"3,8,9,13,15,16",2,4,2,2,4,3,4,4,0,0,0,0,1,1,0,0,0,0,47.09,5.11,15.70,1.70,50.25,1.42,12.56,0.36
42 Daniel Thornton,6,"4,11,15,17,22,27",1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
03 Abby Cheng,6,"4,11,15,17,22,26",1,5,1,1,5,2,4,5,0,0,0,1,0,0,0,0,0,0,44.23,-19.11,11.06,-4.78,71.72,58.81,14.34,11.76
21 Anne Worth,6,"2,7,10,18,19,25",6,0,4,0,10,3,8,10,0,1,1,2,2,2,0,1,0,0,64.24,4.55,10.71,0.76,160.46,123.08,16.05,12.31
16 Elias Levey-Swain,5,"4,11,15,17,23",0,5,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,10.25,7.24,10.25,7.24,0.00,0.00,0.00,0.00
88 Nikki Hair,5,"6,8,9,17,26",0,5,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,26.77,26.56,26.77,26.56
80 Hannah Garfield,4,"6,11,15,23",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10 Tricia Smit,4,"8,9,15,23",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45 Colton Doering,4,"4,6,16,23",0,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9.90,-5.68,9.90,-5.68,15.51,-0.07,15.51,-0.07
