Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal,wind_direction
10/6/23 10:26,1,0,0,1,0,1,3,1,1,0,0,0,,,,
10/6/23 10:28,2,0,1,1,0,1,3,1,1,0,0,0,,,,
10/6/23 10:30,3,0,2,1,1,1,7,0,0,0,0,0,66 Janine Hlavaty,30 Josue Alorro,56 Leila Denniston,
10/6/23 10:34,4,1,2,0,0,0,0,0,0,0,0,0,,,,
10/6/23 10:35,5,1,3,1,1,1,2,0,0,0,0,0,17 Oliver Chartock,29 Oscar Kohut,56 Leila Denniston,
10/6/23 10:36,6,2,3,0,0,0,0,0,0,0,0,0,,,,
10/6/23 10:37,7,2,4,1,1,1,17,0,0,0,0,0,12 Matt LeMar,21 Anne Worth,08 Mike Drost,
10/6/23 10:43,8,3,4,0,1,1,6,0,0,0,1,0,07 Luisa Neves,30 Josue Alorro,88 Nikki Hair,
10/6/23 10:45,9,4,4,0,0,0,0,0,0,0,0,0,,,,
10/6/23 10:47,10,4,5,1,1,3,19,2,2,0,2,0,11 Nina Finley,29 Oscar Kohut,21 Anne Worth,
10/6/23 10:54,11,5,5,0,0,0,0,0,0,0,0,0,,,,
10/6/23 10:54,12,5,6,1,0,1,4,1,1,0,0,0,,,,
10/6/23 10:56,13,5,7,1,1,1,7,0,0,0,0,0,11 Nina Finley,29 Oscar Kohut,36 Matt Wiener,
10/6/23 10:59,14,6,7,0,1,2,24,2,2,0,2,1,,,,
10/6/23 11:10,15,7,7,0,0,1,6,1,1,0,1,0,,,,
10/6/23 12:08,16,7,8,0,1,2,10,1,1,0,1,1,26 Cara Sieber,30 Josue Alorro,74 Sam Harris,
10/6/23 12:15,17,8,8,0,0,0,0,0,0,0,0,0,,,,
10/6/23 12:17,18,8,9,1,0,1,1,1,1,0,0,0,,,,
10/6/23 12:18,19,8,10,1,1,1,3,0,0,0,0,0,24 Jolie Krebs,29 Oscar Kohut,08 Mike Drost,
10/6/23 12:20,20,9,10,0,0,0,0,0,0,0,0,0,,,,
10/6/23 12:22,21,9,11,1,0,2,5,2,1,1,1,0,,,,
10/6/23 12:27,22,9,12,1,1,1,15,0,0,0,0,0,06 Ryan Drost,74 Sam Harris,03 Abby Cheng,
10/6/23 12:32,23,10,12,0,0,0,0,0,0,0,0,0,,,,
10/6/23 12:33,24,10,13,1,0,1,13,1,1,0,0,0,,,,
10/6/23 12:38,25,10,14,1,1,1,11,0,0,0,0,0,21 Anne Worth,17 Oliver Chartock,21 Anne Worth,
10/6/23 12:41,26,11,14,0,1,2,4,1,1,0,0,2,74 Sam Harris,06 Ryan Drost,74 Sam Harris,
10/6/23 12:44,27,12,14,0,0,0,0,0,0,0,0,0,,,,
10/6/23 12:46,28,12,15,1,0,0,0,0,0,0,0,0,,,,
