Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
6/26/23 19:44,1,1,11 Nina Finley,12 Matt LeMar,0,0,0,0,0,0,0,0,1,0,0,8.102168,-2.34375,-7.75577,0.34423077,0.6683239,0.5538462,0.6917614
6/26/23 19:45,1,1,12 Matt LeMar,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,1,15.799979,9.446025,-12.665384,0.5538462,0.6917614,0.89615387,0.5973011
6/26/23 19:45,1,1,08 Mike Drost,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,1,1,13.338331,12.855112,-3.5576904,0.89615387,0.5973011,0.99230766,0.46875
6/26/23 19:45,1,1,00 Genny De Jesus,56 Leila Denniston,0,0,0,0,0,0,0,0,0,1,1,12.148223,12.144888,0.28461426,0.99230766,0.46875,0.9846154,0.34730113
6/26/23 19:45,1,1,56 Leila Denniston,33 Emily Barrett,0,0,0,0,0,0,0,0,0,1,1,13.644594,13.210227,3.4153843,0.9846154,0.34730113,0.8923077,0.21519886
6/26/23 19:45,1,1,33 Emily Barrett,11 Nina Finley,0,0,0,0,0,1,0,0,1,1,0,11.032015,-1.2784094,10.957692,0.8923077,0.21519886,0.59615386,0.22798295
6/26/23 19:45,1,1,11 Nina Finley,00 Genny De Jesus,0,0,0,1,1,0,0,0,0,0,0,12.0327835,8.025569,8.9653845,0.59615386,0.22798295,0.35384616,0.14772727
6/26/23 19:47,2,1,46 Ben Levy,26 Cara Sieber,0,0,0,0,0,0,0,1,0,1,0,15.209591,-1.2784064,15.155769,0.925,0.56889206,0.5153846,0.5816761
6/26/23 19:47,2,1,26 Cara Sieber,30 Josue Alorro,0,0,0,0,0,0,0,0,0,0,0,11.716243,6.6051126,9.676923,0.5153846,0.5816761,0.25384617,0.515625
6/26/23 19:47,2,1,30 Josue Alorro,19 Eliot Bemis,0,0,0,0,0,0,0,0,0,0,1,13.088165,12.073862,5.0519238,0.25384617,0.515625,0.11730769,0.39488637
6/26/23 19:48,2,1,19 Eliot Bemis,03 Abby Cheng,0,0,0,0,0,0,0,0,0,1,1,16.465355,16.12216,3.344231,0.11730769,0.39488637,0.026923077,0.23366477
6/26/23 19:48,2,1,03 Abby Cheng,30 Josue Alorro,0,0,0,0,0,1,0,1,0,1,0,16.149652,-6.4630704,-14.799999,0.026923077,0.23366477,0.42692307,0.29829547
6/26/23 19:48,2,1,30 Josue Alorro,19 Eliot Bemis,0,0,0,1,1,0,0,0,0,0,0,18.518717,13.707388,-12.451923,0.42692307,0.29829547,0.76346153,0.1612216
6/26/23 19:51,4,1,17 Oliver Chartock,12 Matt LeMar,0,0,0,0,0,0,0,0,0,0,0,15.814868,9.375,12.736539,0.84807694,0.82883525,0.50384617,0.73508525
6/26/23 19:51,4,1,12 Matt LeMar,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,0,19.351196,14.630681,-12.665384,0.50384617,0.73508525,0.84615386,0.58877844
6/26/23 19:51,4,1,08 Mike Drost,33 Emily Barrett,0,0,0,0,0,0,0,0,0,0,1,13.417053,12.855116,-3.8423069,0.84615386,0.58877844,0.95,0.46022728
6/26/23 19:52,4,1,33 Emily Barrett,00 Genny De Jesus,0,0,0,0,0,0,0,0,1,1,0,9.551076,-6.818178,6.6884604,0.95,0.46022728,0.7692308,0.52840906
6/26/23 19:52,4,1,00 Genny De Jesus,17 Oliver Chartock,0,0,0,0,0,0,0,0,0,0,0,9.931857,1.4914751,9.819231,0.7692308,0.52840906,0.50384617,0.5134943
6/26/23 19:52,4,1,17 Oliver Chartock,11 Nina Finley,0,0,0,0,0,0,0,1,0,0,0,14.361317,7.741478,-12.096153,0.50384617,0.5134943,0.83076924,0.43607953
6/26/23 19:52,4,1,11 Nina Finley,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,0,14.447254,14.417612,0.9250013,0.83076924,0.43607953,0.8057692,0.2919034
