Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
46 Ben Levy,11,"2,3,5,7,10,11,13,15,19,21,23",0,11,0,4,7,4,7,5,2,0,0,0,1,1,0,1,0,0,75.29,4.97,12.55,0.83,54.70,6.04,10.94,1.21
08 Mike Drost,11,"1,4,6,9,11,12,14,16,18,22,24",10,1,10,0,12,7,11,10,2,1,2,1,0,0,0,0,0,0,160.49,100.57,14.59,9.14,134.81,60.09,13.48,6.01
17 Oliver Chartock,10,"1,4,6,8,12,14,16,18,22,24",9,1,9,0,13,8,12,8,5,1,1,1,1,1,0,1,0,0,177.58,115.20,16.14,10.47,95.43,34.52,11.93,4.31
56 Leila Denniston,10,"1,4,7,9,11,12,15,16,20,24",6,4,6,2,4,3,3,4,0,0,0,1,0,0,0,0,0,0,34.24,11.15,11.41,3.72,81.34,78.20,20.34,19.55
33 Emily Barrett,10,"1,4,6,9,12,14,16,18,22,24",10,0,10,0,13,9,12,13,0,3,2,1,0,0,0,0,0,0,180.04,106.32,15.00,8.86,232.46,188.71,17.88,14.52
00 Genny De Jesus,10,"1,4,6,9,12,14,16,18,22,24",10,0,10,0,14,8,9,14,0,1,1,5,0,0,0,0,0,0,176.63,99.79,19.63,11.09,207.34,123.44,14.81,8.82
26 Cara Sieber,10,"2,5,7,10,13,15,17,19,21,23",0,10,0,4,10,4,10,6,4,0,0,0,0,0,0,1,0,0,116.76,53.55,11.68,5.36,78.93,24.08,13.16,4.01
11 Nina Finley,10,"1,4,6,9,12,14,16,18,22,24",10,0,10,0,15,8,14,10,5,2,4,1,1,1,0,0,0,0,148.95,113.71,11.46,8.75,164.99,71.24,16.50,7.12
30 Josue Alorro,10,"2,3,7,10,15,17,19,20,21,23",0,10,0,5,19,6,19,14,5,3,1,0,3,2,1,1,0,0,259.28,177.98,16.21,11.12,165.16,11.43,11.80,0.82
12 Matt LeMar,9,"1,4,6,8,9,14,16,18,22",8,1,8,0,7,5,7,7,0,1,0,0,0,0,0,0,0,0,164.78,113.99,23.54,16.28,69.73,22.59,9.96,3.23
03 Abby Cheng,8,"2,5,8,10,13,17,20,21",0,8,0,3,5,3,5,5,0,1,2,0,0,0,0,0,0,0,90.98,51.07,18.20,10.21,83.30,50.78,16.66,10.16
88 Nikki Hair,8,"2,5,8,10,13,19,21,23",0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19 Eliot Bemis,8,"2,5,8,10,13,17,20,23",0,8,0,3,5,2,4,5,0,0,0,1,0,0,0,0,0,0,48.76,4.05,12.19,1.01,69.37,59.45,13.87,11.89
36 Matt Wiener,7,"6,9,12,14,18,22,24",7,0,7,0,4,4,4,4,0,1,0,0,0,0,0,0,0,0,55.41,8.17,13.85,2.04,112.03,90.13,28.01,22.53
80 Hannah Garfield,7,"3,5,8,11,13,17,20",0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42 Daniel Thornton,7,"3,5,10,13,17,20,23",0,7,0,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,69.75,62.14,34.87,31.07
27 Griffin Kao,6,"3,7,11,15,19,21",0,6,0,2,4,2,3,4,0,0,1,1,1,1,0,0,0,0,12.93,11.58,12.93,11.58,65.55,39.49,16.39,9.87
74 Sam Harris,6,"3,7,11,15,19,21",0,6,0,2,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0.00,0.00,0.00,0.00,22.30,22.30,22.30,22.30
99 Toby Paperno,5,"2,7,11,15,19",0,5,0,3,3,2,3,3,0,1,1,0,0,0,0,1,0,0,46.33,11.43,15.44,3.81,41.28,38.92,13.76,12.97
10 Tricia Smit,5,"3,8,17,20,23",0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
