Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2023-06-26 19:44:50,1,1,1,1,0.34423077,0.6683239,11 Nina Finley,7,33 Emily Barrett,11 Nina Finley,00 Genny De Jesus,,,
2023-06-26 19:47:27,2,1,0,1,0.925,0.56889206,46 Ben Levy,6,03 Abby Cheng,30 Josue Alorro,19 Eliot Bemis,,,
2023-06-26 19:51:25,4,1,1,1,0.84807694,0.82883525,17 Oliver Chartock,12,11 Nina Finley,33 Emily Barrett,00 Genny De Jesus,,,
2023-06-26 19:56:30,6,1,1,1,0.6769231,0.9744318,11 Nina Finley,7,08 Mike Drost,11 Nina Finley,00 Genny De Jesus,,,
2023-06-26 20:01:22,7,1,0,0,0.1826923,0.43110797,30 Josue Alorro,6,,,,27 Griffin Kao,,
2023-06-26 20:03:27,7,2,0,0,0.63076925,0.82315344,30 Josue Alorro,3,,,,,30 Josue Alorro,
2023-06-26 20:04:49,7,3,0,0,0.82884616,0.8238636,26 Cara Sieber,2,,,,30 Josue Alorro,,
2023-06-26 20:06:02,7,4,0,1,0.51346153,0.39701703,46 Ben Levy,4,99 Toby Paperno,30 Josue Alorro,27 Griffin Kao,,,
2023-06-26 20:10:28,9,1,1,1,0.6057692,0.76633525,11 Nina Finley,6,11 Nina Finley,08 Mike Drost,00 Genny De Jesus,,,
2023-06-26 20:13:25,10,1,0,0,0.25192308,0.51491475,26 Cara Sieber,8,,,,46 Ben Levy,,
2023-06-26 20:15:37,10,2,0,1,0.72307694,0.8238636,26 Cara Sieber,13,03 Abby Cheng,30 Josue Alorro,42 Daniel Thornton,,,
2023-06-26 20:20:26,12,1,1,0,0.5576923,0.81889206,08 Mike Drost,8,,,,11 Nina Finley,,
2023-06-26 20:22:31,12,2,1,1,0.50576925,0.79190344,17 Oliver Chartock,4,00 Genny De Jesus,36 Matt Wiener,17 Oliver Chartock,,,
2023-06-27 13:20:05,13,1,0,0,0.67115384,0.68039775,,2,,,,,,
2023-06-27 13:20:52,14,1,1,1,0.6769231,0.81534094,17 Oliver Chartock,10,11 Nina Finley,17 Oliver Chartock,00 Genny De Jesus,,,
2023-06-27 13:23:54,15,1,0,0,0.8057692,0.6853693,30 Josue Alorro,3,,,,,74 Sam Harris,
2023-06-27 13:25:12,16,1,1,0,0.5596154,0.6896307,11 Nina Finley,2,,,,17 Oliver Chartock,,
2023-06-27 13:26:00,16,2,1,1,0.046153847,0.4090909,11 Nina Finley,2,11 Nina Finley,33 Emily Barrett,08 Mike Drost,,,
2023-06-27 13:28:19,18,1,1,1,0.5153846,0.6463068,17 Oliver Chartock,3,33 Emily Barrett,00 Genny De Jesus,11 Nina Finley,,,
2023-06-27 13:30:48,19,1,0,1,0.44615385,0.59375,26 Cara Sieber,3,27 Griffin Kao,99 Toby Paperno,74 Sam Harris,,,
2023-06-27 13:33:08,20,1,0,1,0.6826923,0.63920456,30 Josue Alorro,2,30 Josue Alorro,03 Abby Cheng,42 Daniel Thornton,,,
2023-06-27 13:34:19,21,1,0,0,0.8038462,0.390625,30 Josue Alorro,1,,,,30 Josue Alorro,,
2023-06-27 13:35:33,22,1,1,1,0.32884616,0.8636364,17 Oliver Chartock,2,17 Oliver Chartock,12 Matt LeMar,33 Emily Barrett,,,
2023-06-27 13:37:48,24,1,1,1,0.19615385,0.68110794,08 Mike Drost,9,08 Mike Drost,33 Emily Barrett,56 Leila Denniston,,,
