Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal,wind_direction
10/6/23 12:49,1,0,0,0,1,1,6,0,0,0,0,1,30 Josue Alorro,66 Janine Hlavaty,03 Abby Cheng,
10/6/23 12:53,2,1,0,0,0,0,0,0,0,0,0,0,,,,
10/6/23 12:54,3,1,1,1,1,1,24,0,0,0,0,0,24 Jolie Krebs,21 Anne Worth,08 Mike Drost,
10/6/23 13:02,4,2,1,0,1,1,1,0,0,0,1,0,,56 Leila Denniston,06 Ryan Drost,
10/6/23 13:04,5,3,1,0,0,0,0,0,0,0,0,0,,,,
10/6/23 14:11,6,3,2,1,0,1,10,1,1,0,0,0,,,,
10/6/23 14:15,7,3,3,1,1,1,2,0,0,0,0,0,17 Oliver Chartock,12 Matt LeMar,56 Leila Denniston,
10/6/23 14:16,8,4,3,0,0,0,0,0,0,0,0,0,,,,
10/6/23 14:18,9,4,4,1,0,1,8,1,1,0,0,0,,,,
10/6/23 14:22,10,4,5,0,0,0,0,0,0,0,0,0,,,,
10/6/23 14:23,11,4,6,1,1,3,43,2,2,0,2,0,11 Nina Finley,56 Leila Denniston,36 Matt Wiener,
10/6/23 14:47,12,5,6,0,1,1,3,0,0,0,1,0,30 Josue Alorro,07 Luisa Neves,30 Josue Alorro,
10/6/23 14:50,13,6,6,0,0,0,0,0,0,0,0,0,,,,
10/6/23 14:51,14,6,7,1,1,1,9,0,0,0,0,0,24 Jolie Krebs,21 Anne Worth,29 Oscar Kohut,
10/6/23 14:54,15,7,7,0,0,0,0,0,0,0,0,0,,,,
10/6/23 14:55,16,7,8,1,0,2,19,2,2,0,1,0,,,,
10/6/23 15:03,17,7,9,1,0,1,5,1,1,0,0,0,,,,
10/6/23 15:06,18,7,10,1,1,1,6,0,0,0,0,0,08 Mike Drost,11 Nina Finley,24 Jolie Krebs,
10/6/23 15:09,19,8,10,0,1,1,6,0,0,0,1,0,03 Abby Cheng,07 Luisa Neves,06 Ryan Drost,
10/6/23 15:12,20,9,10,0,0,0,0,0,0,0,0,0,,,,
10/6/23 15:14,21,9,11,1,0,1,5,1,1,0,0,0,,,,
10/6/23 15:17,22,9,12,1,0,0,0,0,0,0,0,0,,,,
