Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
10/6/23 15:26,2,1,24 Jolie Krebs,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,8.475431,7.102275,-4.625,0.37115383,0.7634943,0.49615383,0.69247156
10/6/23 15:27,2,1,11 Nina Finley,08 Mike Drost,0,0,0,0,0,0,1,0,0,0,0,48.595646,48.082382,-7.0442314,0.49615383,0.69247156,0.68653846,0.21164773
10/6/23 15:27,2,1,08 Mike Drost,21 Anne Worth,0,0,0,0,0,1,0,0,0,0,1,6.342641,-0.35511255,-6.332692,0.68653846,0.21164773,0.8576923,0.21519886
10/6/23 15:27,2,1,21 Anne Worth,08 Mike Drost,0,0,0,1,1,0,0,0,0,1,1,5.729423,5.3977265,-1.9211545,0.8576923,0.21519886,0.9096154,0.1612216
10/6/23 15:37,4,1,17 Oliver Chartock,12 Matt LeMar,0,0,0,0,0,0,0,0,0,0,0,17.668114,15.696025,8.111539,0.77307695,0.93039775,0.5538462,0.7734375
10/6/23 15:37,4,1,12 Matt LeMar,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,0,14.771382,12.002844,-8.609615,0.5538462,0.7734375,0.7865385,0.65340906
10/6/23 15:37,4,1,08 Mike Drost,12 Matt LeMar,0,0,0,0,0,0,0,0,1,0,0,18.506824,-9.872162,15.653848,0.7865385,0.65340906,0.36346152,0.7521307
10/6/23 15:38,4,1,12 Matt LeMar,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,0,0,18.515333,18.465912,1.3519228,0.36346152,0.7521307,0.32692307,0.56747156
10/6/23 15:38,4,1,24 Jolie Krebs,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,0,0,9.020291,6.818178,5.9057693,0.32692307,0.56747156,0.16730769,0.49928978
10/6/23 15:38,4,1,00 Genny De Jesus,17 Oliver Chartock,0,0,0,0,0,0,0,0,0,0,0,15.285276,13.565341,-7.0442305,0.16730769,0.49928978,0.3576923,0.36363637
