Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
16 Elias Levey-Swain,10,"1,6,7,9,11,13,15,17,19,21",0,10,0,6,16,6,16,10,6,2,1,0,2,2,0,3,0,0,208.97,104.62,14.93,7.47,122.85,19.53,12.29,1.95
27 Griffin Kao,10,"3,6,10,11,13,15,17,18,20,21",0,10,0,7,7,4,7,7,0,2,1,0,0,0,0,0,0,0,93.97,48.86,13.42,6.98,90.49,75.64,12.93,10.81
17 Oliver Chartock,8,"4,8,10,12,14,16,18,20",5,3,4,3,19,8,18,16,3,1,1,1,2,2,0,1,0,0,150.94,58.17,9.43,3.64,182.22,113.85,11.39,7.12
45 Colton Doering,8,"3,7,9,10,13,18,20,21",0,8,0,6,9,4,8,8,1,0,0,1,0,0,0,0,0,0,100.91,41.48,12.61,5.18,87.67,13.71,10.96,1.71
30 Josue Alorro,7,"1,3,7,9,11,17,19",0,7,0,3,4,3,4,2,2,0,1,0,1,1,0,0,0,0,42.42,-0.85,14.14,-0.28,21.73,6.18,10.86,3.09
11 Nina Finley,7,"2,4,5,8,12,14,16",7,0,6,0,13,5,12,12,1,0,0,1,0,0,0,0,0,0,149.04,95.03,12.42,7.92,143.69,53.98,11.97,4.50
08 Mike Drost,7,"2,4,5,8,14,16,19",6,1,5,1,9,5,7,9,0,1,1,2,0,0,0,0,0,0,71.00,-1.35,10.14,-0.19,136.52,100.64,15.17,11.18
00 Genny De Jesus,7,"2,4,5,8,12,14,16",7,0,6,0,14,6,12,14,0,0,4,2,0,0,0,0,0,0,154.47,56.39,12.87,4.70,133.02,74.29,9.50,5.31
12 Matt LeMar,7,"2,4,5,8,12,16,21",6,1,5,1,14,6,14,11,3,0,1,0,0,0,0,0,0,0,210.66,154.69,15.05,11.05,116.67,0.99,10.61,0.09
07 Luisa Neves,6,"3,6,10,13,18,20",0,6,0,5,24,5,22,18,6,0,2,2,0,0,0,0,0,0,283.02,163.85,12.86,7.45,243.99,5.33,13.55,0.30
24 Jolie Krebs,6,"2,4,5,12,14,16",6,0,5,0,8,5,8,7,1,1,0,0,1,1,0,0,0,0,74.63,46.31,10.66,6.62,106.09,67.68,15.16,9.67
80 Hannah Garfield,6,"6,9,11,15,18,20",0,6,0,4,2,2,2,1,1,0,1,0,0,0,0,0,0,0,22.45,11.79,11.22,5.89,13.34,6.46,13.34,6.46
66 Janine Hlavaty,6,"3,7,9,13,18,21",0,6,0,4,5,4,3,5,0,1,0,2,0,0,0,0,0,0,25.48,-3.20,8.49,-1.07,99.30,86.65,19.86,17.33
10 Tricia Smit,6,"6,10,13,17,19,21",0,6,0,6,1,1,1,1,0,0,0,0,0,0,0,1,0,0,18.64,-1.63,18.64,-1.63,14.08,12.50,14.08,12.50
88 Nikki Hair,6,"1,7,11,15,18,20",0,6,0,2,2,1,2,2,0,0,0,0,1,1,0,0,0,0,13.57,13.42,13.57,13.42,26.20,17.40,13.10,8.70
06 Ryan Drost,6,"1,6,9,13,15,17",0,6,0,4,9,3,9,9,0,0,1,0,1,1,0,1,0,0,99.54,-4.05,12.44,-0.51,155.37,69.67,17.26,7.74
29 Oscar Kohut,6,"2,5,8,12,16,20",5,1,5,1,10,5,9,10,0,2,0,1,1,1,0,0,0,0,158.96,103.05,19.87,12.88,108.24,77.27,10.82,7.73
74 Sam Harris,5,"1,6,11,17,21",0,5,0,3,3,3,2,3,0,1,0,1,0,0,0,0,0,0,25.06,24.72,12.53,12.36,30.09,16.83,10.03,5.61
56 Leila Denniston,5,"3,7,10,15,19",0,5,0,2,2,1,2,2,0,1,0,0,0,0,0,0,0,0,29.25,10.01,14.63,5.01,31.01,29.47,15.50,14.74
26 Cara Sieber,5,"1,7,10,15,19",0,5,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,7.95,4.40,7.95,4.40,8.86,4.97,8.86,4.97
03 Abby Cheng,5,"3,9,11,17,19",0,5,0,3,5,2,3,5,0,0,1,2,1,1,0,2,0,0,15.56,3.34,7.78,1.67,50.75,41.41,10.15,8.28
36 Matt Wiener,3,"4,12,14",3,0,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,21.80,21.16,10.90,10.58,26.98,9.09,13.49,4.55
21 Anne Worth,3,"2,8,14",3,0,3,0,8,3,8,8,0,2,0,0,0,0,0,0,0,0,61.98,25.78,7.75,3.22,89.65,57.32,11.21,7.16
42 Daniel Thornton,2,"1,5",1,1,1,0,2,1,2,1,1,0,0,0,0,0,0,1,0,0,15.56,-7.74,7.78,-3.87,17.05,7.39,17.05,7.39
