Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal,wind_direction
10/6/23 15:24,1,0,0,0,0,0,0,0,0,0,0,0,,,,
10/6/23 15:26,2,0,1,1,1,1,4,0,0,0,0,0,08 Mike Drost,21 Anne Worth,08 Mike Drost,
10/6/23 15:27,3,1,1,0,0,0,0,0,0,0,0,0,,,,
10/6/23 15:36,4,1,2,1,0,2,10,2,2,0,1,0,,,,
10/6/23 15:42,5,1,3,1,1,2,15,1,1,0,1,0,00 Genny De Jesus,24 Jolie Krebs,08 Mike Drost,
10/6/23 15:49,6,2,3,0,1,1,14,0,0,0,1,0,80 Hannah Garfield,27 Griffin Kao,07 Luisa Neves,
10/6/23 15:55,7,3,3,0,0,0,0,0,0,0,0,0,,,,
10/6/23 15:57,8,3,4,1,1,1,31,0,0,0,0,0,00 Genny De Jesus,08 Mike Drost,00 Genny De Jesus,
10/6/23 16:03,9,4,4,0,1,1,2,0,0,0,1,0,30 Josue Alorro,16 Elias Levey-Swain,66 Janine Hlavaty,
10/6/23 16:05,10,5,4,0,1,1,11,0,0,0,0,1,27 Griffin Kao,56 Leila Denniston,45 Colton Doering,
10/6/23 16:09,11,6,4,0,0,0,0,0,0,0,0,0,,,,
10/6/23 16:10,12,6,5,1,1,1,9,0,0,0,0,0,00 Genny De Jesus,29 Oscar Kohut,17 Oliver Chartock,
10/6/23 16:13,13,7,5,0,1,2,20,1,1,0,2,0,06 Ryan Drost,16 Elias Levey-Swain,07 Luisa Neves,
10/6/23 16:22,14,8,5,1,1,1,7,0,0,0,0,0,17 Oliver Chartock,21 Anne Worth,00 Genny De Jesus,
10/6/23 16:25,15,9,5,0,0,0,0,0,0,0,0,0,,,,
10/6/23 16:26,16,9,6,1,1,1,6,0,0,0,0,0,00 Genny De Jesus,29 Oscar Kohut,11 Nina Finley,
10/6/23 16:28,17,10,6,0,1,2,13,1,1,0,1,1,03 Abby Cheng,74 Sam Harris,03 Abby Cheng,
10/6/23 16:37,18,11,6,0,1,2,13,1,1,0,0,2,07 Luisa Neves,17 Oliver Chartock,66 Janine Hlavaty,
10/6/23 16:42,19,12,6,0,1,4,8,3,3,0,2,2,16 Elias Levey-Swain,26 Cara Sieber,03 Abby Cheng,
10/6/23 16:47,20,13,6,0,1,2,7,1,1,0,0,2,07 Luisa Neves,27 Griffin Kao,29 Oscar Kohut,
10/6/23 16:50,21,14,6,0,1,1,4,0,0,0,0,1,12 Matt LeMar,66 Janine Hlavaty,74 Sam Harris,
10/6/23 16:52,22,15,6,0,0,0,0,0,0,0,0,0,,,,
