Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
9/26/23 17:28,1,1,17 Oliver Chartock,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,15.835115,11.07955,11.313463,0.77115387,0.73721594,0.4653846,0.62642044
9/26/23 17:28,1,1,11 Nina Finley,29 Oscar Kohut,0,0,0,0,0,0,0,0,0,0,0,15.907747,12.286931,-10.1038475,0.4653846,0.62642044,0.73846155,0.5035511
9/26/23 17:28,1,1,29 Oscar Kohut,11 Nina Finley,0,0,0,0,0,0,0,1,0,0,0,13.064792,-6.534094,11.313461,0.73846155,0.5035511,0.43269232,0.56889206
9/26/23 17:29,1,1,11 Nina Finley,56 Leila Denniston,0,0,0,0,0,0,0,1,0,0,1,16.644888,6.036931,-15.511537,0.43269232,0.56889206,0.85192305,0.50852275
9/26/23 17:29,1,1,56 Leila Denniston,12 Matt LeMar,0,0,0,0,0,1,0,0,0,1,1,20.190556,19.957388,-3.059616,0.85192305,0.50852275,0.9346154,0.30894887
9/26/23 17:29,1,1,12 Matt LeMar,17 Oliver Chartock,0,0,0,1,1,0,0,0,0,1,0,35.361275,25.923296,24.05,0.9346154,0.30894887,0.2846154,0.04971591
9/26/23 17:31,2,1,07 Luisa Neves,74 Sam Harris,0,0,0,0,0,0,0,0,0,0,0,15.339075,14.9858,-3.273076,0.75,0.82315344,0.8384615,0.67329544
9/26/23 17:31,2,1,74 Sam Harris,07 Luisa Neves,1,0,1,0,0,0,0,0,1,0,0,8.413804,-5.539775,6.332692,0.8384615,0.67329544,0.6673077,0.7286932
9/26/23 17:32,2,2,07 Luisa Neves,46 Ben Levy,0,0,0,0,0,0,0,1,0,0,0,13.535976,-2.4857938,13.305769,0.8096154,0.8245739,0.45,0.8494318
9/26/23 17:32,2,2,46 Ben Levy,07 Luisa Neves,0,0,0,0,0,0,0,0,0,0,0,9.683436,0.35511255,-9.676923,0.45,0.8494318,0.71153843,0.8458807
9/26/23 17:32,2,2,07 Luisa Neves,46 Ben Levy,0,0,0,0,0,0,0,0,0,0,0,6.6637187,4.2613626,-5.123079,0.71153843,0.8458807,0.85,0.80326706
9/26/23 17:32,2,2,46 Ben Levy,27 Griffin Kao,0,0,0,0,0,0,0,1,0,0,0,16.159573,-0.49715638,16.151924,0.85,0.80326706,0.41346154,0.8082386
9/26/23 17:32,2,2,27 Griffin Kao,16 Elias Levey-Swain,0,0,0,0,0,0,0,0,0,0,0,11.196945,4.9715877,-10.032692,0.41346154,0.8082386,0.6846154,0.75852275
9/26/23 17:32,2,2,16 Elias Levey-Swain,46 Ben Levy,0,0,0,0,0,0,0,0,0,0,0,9.791704,0.9232998,9.748076,0.6846154,0.75852275,0.42115384,0.74928975
9/26/23 17:33,2,2,46 Ben Levy,66 Janine Hlavaty,0,0,0,0,0,0,0,0,0,0,0,9.938246,3.977269,-9.107692,0.42115384,0.74928975,0.6673077,0.70951706
9/26/23 17:33,2,2,66 Janine Hlavaty,27 Griffin Kao,0,0,0,0,0,0,0,0,0,0,1,12.165234,5.9659123,-10.601924,0.6673077,0.70951706,0.95384616,0.64985794
9/26/23 17:33,2,2,27 Griffin Kao,16 Elias Levey-Swain,0,0,0,0,0,0,0,0,0,1,0,7.208404,5.46875,4.696154,0.95384616,0.64985794,0.8269231,0.59517044
9/26/23 17:33,2,2,16 Elias Levey-Swain,46 Ben Levy,0,0,0,0,0,0,0,0,1,0,0,6.492579,-5.9659123,2.5615373,0.8269231,0.59517044,0.75769234,0.65482956
9/26/23 17:33,2,2,46 Ben Levy,16 Elias Levey-Swain,0,0,0,0,0,0,0,0,0,0,0,10.1235075,3.196025,9.60577,0.75769234,0.65482956,0.49807692,0.6228693
9/26/23 17:34,2,2,16 Elias Levey-Swain,66 Janine Hlavaty,1,1,0,0,0,0,0,0,0,0,1,24.409245,18.963068,15.36923,0.49807692,0.6228693,0.08269231,0.43323863
9/26/23 17:34,2,3,07 Luisa Neves,46 Ben Levy,0,0,0,0,0,0,0,0,0,1,1,7.30138,6.960225,2.2057688,1,0.82528406,0.9403846,0.7556818
9/26/23 17:35,2,3,46 Ben Levy,16 Elias Levey-Swain,0,0,0,0,0,0,0,0,0,1,0,17.691906,10.511362,14.23077,0.9403846,0.7556818,0.5557692,0.6505682
9/26/23 17:35,2,3,16 Elias Levey-Swain,42 Daniel Thornton,0,0,0,0,0,0,0,0,0,0,1,16.68246,10.15625,-13.234617,0.5557692,0.6505682,0.91346157,0.5490057
9/26/23 17:35,2,3,42 Daniel Thornton,74 Sam Harris,1,1,0,1,0,0,1,0,0,1,0,43.465343,42.116478,10.744232,0.91346157,0.5490057,0.6230769,0.1278409
9/26/23 17:37,3,1,24 Jolie Krebs,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,0,12.713443,9.730116,-8.182693,0.48653847,0.5333807,0.7076923,0.43607953
9/26/23 17:37,3,1,08 Mike Drost,56 Leila Denniston,0,0,0,0,0,0,0,0,0,0,0,14.936166,14.488634,-3.6288445,0.7076923,0.43607953,0.8057692,0.2911932
9/26/23 17:37,3,1,56 Leila Denniston,17 Oliver Chartock,0,0,0,0,0,1,0,0,0,0,0,11.250265,6.8892045,8.89423,0.8057692,0.2911932,0.5653846,0.22230114
9/26/23 17:38,3,1,17 Oliver Chartock,11 Nina Finley,0,0,0,1,1,0,0,0,0,0,0,11.790609,10.440341,-5.478845,0.5653846,0.22230114,0.7134615,0.11789773
9/26/23 17:41,5,1,24 Jolie Krebs,29 Oscar Kohut,0,0,0,0,0,0,0,0,0,0,0,12.050079,10.582388,5.763462,0.4019231,0.6306818,0.24615385,0.52485794
9/26/23 17:41,5,1,29 Oscar Kohut,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,0,7.687569,0.21306872,-7.6846156,0.24615385,0.52485794,0.45384616,0.52272725
9/26/23 17:41,5,1,08 Mike Drost,11 Nina Finley,0,0,0,0,0,0,0,1,0,0,1,14.888105,-0.71023107,14.871155,0.45384616,0.52272725,0.051923078,0.52982956
9/26/23 17:42,5,1,11 Nina Finley,08 Mike Drost,0,0,0,0,0,0,0,0,0,1,1,13.790162,13.778409,0.56923074,0.051923078,0.52982956,0.036538463,0.39204547
9/26/23 17:42,5,1,08 Mike Drost,36 Matt Wiener,0,0,0,0,0,0,0,0,0,1,0,22.196468,21.164774,-6.6884613,0.036538463,0.39204547,0.21730769,0.18039773
9/26/23 17:42,5,1,36 Matt Wiener,00 Genny De Jesus,0,0,0,0,0,1,0,0,1,0,0,5.640364,-5.3977265,1.636538,0.21730769,0.18039773,0.17307693,0.234375
9/26/23 17:42,5,1,00 Genny De Jesus,24 Jolie Krebs,0,0,0,1,1,0,0,0,0,0,1,7.826297,6.818181,3.8423078,0.17307693,0.234375,0.06923077,0.16619319
9/26/23 17:43,6,1,,27 Griffin Kao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25384617,0.92471594,0.25384617,0.92471594
9/26/23 17:44,6,1,52 Connor Russell,07 Luisa Neves,0,0,0,0,0,0,0,0,0,0,0,9.547568,-0.49716234,-9.5346155,0.22692308,0.82528406,0.4846154,0.8302557
9/26/23 17:44,6,1,07 Luisa Neves,06 Ryan Drost,0,0,0,0,0,0,0,0,0,0,0,11.058942,4.3323874,-10.174999,0.4846154,0.8302557,0.75961536,0.7869318
9/26/23 17:44,6,1,06 Ryan Drost,52 Connor Russell,0,0,0,0,0,0,0,0,0,0,1,7.171237,5.539775,-4.5538483,0.75961536,0.7869318,0.88269234,0.73153406
9/26/23 17:44,6,1,52 Connor Russell,46 Ben Levy,0,0,0,0,0,0,0,0,0,1,1,6.369509,5.184656,-3.6999986,0.88269234,0.73153406,0.9826923,0.6796875
