Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
11 Nina Finley,10,"1,3,5,10,11,12,14,15,19,20",10,0,7,0,23,9,22,16,7,1,1,1,1,1,0,0,0,0,246.73,116.69,11.75,5.56,163.01,65.34,10.19,4.08
00 Genny De Jesus,10,"1,3,5,10,11,12,14,15,19,20",10,0,7,0,5,4,5,5,0,2,1,0,1,1,0,0,0,0,39.78,23.30,9.94,5.82,54.07,22.51,10.81,4.50
56 Leila Denniston,9,"1,3,8,11,12,14,15,19,20",8,1,6,1,12,8,9,12,0,1,2,3,0,0,0,0,0,0,120.23,73.15,13.36,8.13,212.82,147.51,17.74,12.29
29 Oscar Kohut,8,"1,5,10,11,12,14,15,19",8,0,5,0,10,7,10,10,0,1,0,0,3,3,0,0,0,0,120.82,62.14,17.26,8.88,116.15,67.26,11.62,6.73
24 Jolie Krebs,8,"3,5,10,11,12,15,19,20",8,0,6,0,15,6,14,13,2,0,0,1,2,2,0,0,0,0,112.93,48.72,9.41,4.06,129.96,41.34,10.00,3.18
08 Mike Drost,8,"1,3,5,10,11,14,15,19",8,0,5,0,8,6,8,6,2,0,2,0,1,1,0,1,0,0,85.94,52.77,12.28,7.54,71.03,34.45,11.84,5.74
07 Luisa Neves,8,"2,4,6,7,8,13,16,17",0,8,0,5,19,6,19,13,6,1,1,0,3,0,3,0,0,0,212.83,120.95,11.20,6.37,147.95,7.67,11.38,0.59
17 Oliver Chartock,7,"1,3,10,11,14,15,20",7,0,5,0,11,6,10,5,6,1,0,1,0,0,0,0,0,0,108.23,68.96,10.82,6.90,69.43,42.54,13.89,8.51
66 Janine Hlavaty,7,"2,4,6,8,13,16,18",0,7,0,3,5,4,4,5,0,0,0,1,0,0,0,1,0,0,64.63,53.48,21.54,17.83,62.86,43.18,12.57,8.64
12 Matt LeMar,7,"1,5,10,12,14,19,20",7,0,4,0,9,4,9,9,0,1,0,0,1,1,0,1,0,0,118.39,48.58,14.80,6.07,90.77,27.27,10.09,3.03
42 Daniel Thornton,6,"2,7,9,13,17,18",0,6,0,2,5,2,5,4,1,0,0,0,1,1,0,2,0,0,41.96,5.26,10.49,1.31,68.63,56.18,17.16,14.04
74 Sam Harris,6,"2,4,7,9,16,18",0,6,0,2,5,4,5,5,0,0,1,0,2,2,0,0,0,0,10.80,10.58,10.80,10.58,107.41,93.61,21.48,18.72
46 Ben Levy,5,"2,6,8,13,17",0,5,0,3,18,5,18,15,3,2,0,0,1,1,0,0,0,0,190.24,74.08,11.89,4.63,126.47,28.62,8.43,1.91
52 Connor Russell,5,"4,6,8,13,17",0,5,0,3,6,2,6,3,3,1,0,0,0,0,0,0,0,0,84.19,47.87,16.84,9.57,34.19,19.03,11.40,6.34
06 Ryan Drost,5,"4,6,8,13,17",0,5,0,3,10,4,8,10,0,0,2,2,2,1,1,0,0,0,60.93,15.84,8.70,2.26,97.82,62.78,9.78,6.28
45 Colton Doering,5,"4,7,9,16,18",0,5,0,2,5,2,5,3,2,0,1,0,1,1,0,0,0,0,35.21,18.82,8.80,4.71,21.73,3.91,7.24,1.30
80 Hannah Garfield,5,"4,7,9,16,18",0,5,0,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.00,0.00,0.00,0.00,8.23,4.69,8.23,4.69
27 Griffin Kao,5,"2,6,9,16,18",0,5,0,2,3,2,2,3,0,0,0,1,0,0,0,1,0,0,18.41,10.44,9.20,5.22,73.02,49.86,24.34,16.62
16 Elias Levey-Swain,5,"2,7,9,16,18",0,5,0,2,10,4,10,7,3,1,0,0,3,2,1,0,0,0,112.96,56.61,14.12,7.08,75.92,47.59,10.85,6.80
36 Matt Wiener,4,"3,5,12,20",4,0,4,0,3,2,2,3,0,0,1,1,1,1,0,0,0,0,5.64,-5.40,5.64,-5.40,51.73,36.72,17.24,12.24
03 Abby Cheng,4,"6,8,13,17",0,4,0,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,18.11,13.49,9.05,6.75,25.76,14.28,12.88,7.14
10 Tricia Smit,3,"7,9,17",0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
