Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
10/3/23 15:50,1,1,08 Mike Drost,12 Matt LeMar,0,0,0,0,0,0,0,0,0,0,0,8.221769,4.119319,7.115385,0.6923077,0.83735794,0.5,0.79616475
10/3/23 15:50,1,1,12 Matt LeMar,24 Jolie Krebs,0,0,0,0,0,0,0,0,0,0,0,12.984455,12.35795,3.984615,0.5,0.79616475,0.3923077,0.67258525
10/3/23 15:50,1,1,24 Jolie Krebs,56 Leila Denniston,0,0,0,0,0,0,0,0,0,0,0,14.223589,14.0625,2.134616,0.3923077,0.67258525,0.33461538,0.53196025
10/3/23 15:50,1,1,56 Leila Denniston,29 Oscar Kohut,0,0,0,0,0,1,0,1,0,0,0,12.630638,4.4744344,-11.811539,0.33461538,0.53196025,0.65384614,0.4872159
10/3/23 15:51,1,1,29 Oscar Kohut,24 Jolie Krebs,0,0,0,1,1,0,1,0,0,0,0,38.513287,37.144886,10.174999,0.65384614,0.4872159,0.37884617,0.11576705
10/3/23 15:53,2,1,16 Elias Levey-Swain,03 Abby Cheng,0,0,0,0,0,0,0,0,0,0,0,14.798419,14.346591,-3.6288445,0.6788462,0.4112216,0.77692306,0.2677557
10/3/23 15:53,2,1,03 Abby Cheng,42 Daniel Thornton,0,0,0,0,0,0,0,0,0,0,1,10.009976,6.818183,-7.328848,0.77692306,0.2677557,0.975,0.19957386
10/3/23 15:53,2,1,42 Daniel Thornton,16 Elias Levey-Swain,0,0,0,0,0,0,0,0,1,1,0,16.02109,-12.073864,10.530769,0.975,0.19957386,0.6903846,0.3203125
10/3/23 15:53,2,1,16 Elias Levey-Swain,26 Cara Sieber,0,0,0,0,0,0,0,0,0,0,0,11.2562275,9.872159,-5.407691,0.6903846,0.3203125,0.83653843,0.2215909
10/3/23 15:53,2,1,26 Cara Sieber,07 Luisa Neves,0,0,0,0,0,0,0,1,0,0,0,12.150035,-4.048297,11.455769,0.83653843,0.2215909,0.52692306,0.26207387
10/3/23 15:54,2,1,07 Luisa Neves,03 Abby Cheng,0,0,0,0,0,1,0,0,0,0,0,11.511353,8.096592,8.182692,0.52692306,0.26207387,0.30576923,0.18110795
10/3/23 15:54,2,1,03 Abby Cheng,42 Daniel Thornton,0,0,0,1,1,0,0,0,0,0,0,11.13267,0.8522719,-11.099999,0.30576923,0.18110795,0.6057692,0.17258523
10/3/23 15:57,4,1,17 Oliver Chartock,12 Matt LeMar,0,0,0,0,0,0,0,0,0,0,0,14.044234,11.150569,-8.538461,0.3923077,0.8203125,0.6230769,0.7088068
10/3/23 15:57,4,1,12 Matt LeMar,29 Oscar Kohut,0,0,0,0,0,0,0,0,0,0,0,11.86302,8.380681,-8.396155,0.6230769,0.7088068,0.85,0.625
10/3/23 15:57,4,1,29 Oscar Kohut,00 Genny De Jesus,1,1,0,1,0,0,1,0,0,0,1,56.963066,56.960224,-0.56923074,0.85,0.625,0.86538464,0.055397727
10/3/23 15:57,4,2,,36 Matt Wiener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8403846,0.43039772,0.8403846,0.43039772
10/3/23 15:58,4,2,36 Matt Wiener,17 Oliver Chartock,0,0,0,0,0,0,0,0,0,1,1,10.827684,10.298294,-3.3442326,0.85192305,0.39701703,0.9423077,0.2940341
10/3/23 15:58,4,2,17 Oliver Chartock,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,1,0,6.0870395,4.474433,4.1269236,0.9423077,0.2940341,0.83076924,0.24928977
10/3/23 15:58,4,2,00 Genny De Jesus,12 Matt LeMar,0,0,0,0,0,0,0,1,0,0,0,15.138691,-1.2784109,15.084616,0.83076924,0.24928977,0.42307693,0.26207387
10/3/23 15:58,4,2,12 Matt LeMar,21 Anne Worth,0,0,0,0,0,0,0,1,0,0,1,12.940351,3.7642062,12.380769,0.42307693,0.26207387,0.08846154,0.22443181
10/3/23 15:58,4,2,21 Anne Worth,12 Matt LeMar,0,0,0,0,0,0,0,0,1,1,0,10.274245,-9.872159,-2.846154,0.08846154,0.22443181,0.16538462,0.3231534
10/3/23 15:59,4,2,12 Matt LeMar,21 Anne Worth,0,0,0,0,0,0,0,0,0,0,0,10.638829,5.255681,-9.25,0.16538462,0.3231534,0.41538462,0.2705966
10/3/23 15:59,4,2,21 Anne Worth,00 Genny De Jesus,0,0,0,0,0,1,0,1,0,0,0,15.598545,7.5284095,-13.661539,0.41538462,0.2705966,0.7846154,0.1953125
10/3/23 15:59,4,2,00 Genny De Jesus,29 Oscar Kohut,0,0,0,1,1,0,0,0,0,0,0,18.36445,17.826704,4.41154,0.7846154,0.1953125,0.6653846,0.017045455
10/6/23 0:52,6,1,11 Nina Finley,12 Matt LeMar,0,0,0,0,0,0,0,1,0,0,0,12.4100685,0.8522749,-12.380769,0.15576923,0.71946025,0.4903846,0.7109375
10/6/23 0:52,6,1,12 Matt LeMar,17 Oliver Chartock,0,0,0,0,0,0,0,0,0,0,0,14.880771,10.369319,-10.673077,0.4903846,0.7109375,0.77884614,0.6072443
10/6/23 0:52,6,1,17 Oliver Chartock,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,1,21.836454,20.80966,-6.6173086,0.77884614,0.6072443,0.9576923,0.39914772
10/6/23 0:53,6,1,08 Mike Drost,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,1,1,14.026893,13.991475,-0.99615324,0.9576923,0.39914772,0.9846154,0.25923297
10/6/23 0:53,6,1,00 Genny De Jesus,11 Nina Finley,0,0,0,0,0,0,0,1,0,1,0,18.566916,-4.545453,18.001923,0.9846154,0.25923297,0.49807692,0.3046875
10/6/23 0:53,6,1,11 Nina Finley,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,0,0,9.568655,7.1732955,-6.332692,0.49807692,0.3046875,0.66923076,0.23295455
10/6/23 0:53,6,1,00 Genny De Jesus,17 Oliver Chartock,0,0,0,0,0,0,0,0,0,0,0,7.8943725,4.616478,-6.4038463,0.66923076,0.23295455,0.8423077,0.18678977
10/6/23 0:54,6,1,17 Oliver Chartock,00 Genny De Jesus,1,1,0,1,0,0,0,0,0,0,0,13.849298,13.636362,2.4192312,0.8423077,0.18678977,0.77692306,0.050426137
10/6/23 0:54,6,2,,08 Mike Drost,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.52307695,0.08806818,0.52307695,0.08806818
10/6/23 0:56,7,1,,74 Sam Harris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4096154,0.6832386,0.4096154,0.6832386
10/6/23 0:57,7,1,30 Josue Alorro,66 Janine Hlavaty,0,0,0,0,0,0,0,0,0,0,1,14.291121,13.139206,-5.6211553,0.72884613,0.5511364,0.88076925,0.4197443
10/6/23 0:57,7,1,66 Janine Hlavaty,03 Abby Cheng,1,1,0,1,0,0,1,0,0,1,0,39.113415,38.707386,5.6211553,0.88076925,0.4197443,0.72884613,0.032670453
10/6/23 0:58,8,1,17 Oliver Chartock,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,11.6818695,8.735794,-7.75577,0.29807693,0.8245739,0.50769234,0.73721594
10/6/23 0:58,8,1,11 Nina Finley,08 Mike Drost,0,0,0,0,0,0,0,0,0,0,0,19.05041,14.417619,-12.451922,0.50769234,0.73721594,0.8442308,0.59303975
10/6/23 0:59,8,1,08 Mike Drost,00 Genny De Jesus,0,0,0,0,0,0,0,0,0,0,0,12.246316,8.025569,9.25,0.8442308,0.59303975,0.5942308,0.51278406
10/6/23 0:59,8,1,00 Genny De Jesus,11 Nina Finley,0,0,0,0,0,0,0,0,1,0,0,8.482522,-1.2073874,8.396153,0.5942308,0.51278406,0.3673077,0.52485794
10/6/23 0:59,8,1,11 Nina Finley,21 Anne Worth,0,0,0,0,0,0,0,0,0,0,1,11.969568,8.735794,8.182693,0.3673077,0.52485794,0.14615385,0.4375
10/6/23 0:59,8,1,21 Anne Worth,11 Nina Finley,0,0,0,0,0,0,0,0,0,1,0,13.083862,13.068181,-0.6403843,0.14615385,0.4375,0.16346154,0.3068182
10/6/23 1:00,8,1,11 Nina Finley,00 Genny De Jesus,0,0,0,0,0,0,0,0,1,0,0,6.193709,-6.178978,-0.42692304,0.16346154,0.3068182,0.175,0.36860797
10/6/23 1:00,8,1,00 Genny De Jesus,11 Nina Finley,0,0,0,0,0,0,0,0,0,0,0,10.262325,2.9829562,-9.819231,0.175,0.36860797,0.44038463,0.3387784
10/6/23 1:00,8,1,11 Nina Finley,36 Matt Wiener,0,0,0,0,0,0,0,0,0,0,0,14.457191,8.025569,-12.025,0.44038463,0.3387784,0.7653846,0.25852272
10/6/23 1:00,8,1,36 Matt Wiener,11 Nina Finley,0,0,0,0,0,0,0,0,1,0,0,10.224587,-10.014206,2.0634606,0.7653846,0.25852272,0.7096154,0.35866478
10/6/23 1:01,8,1,11 Nina Finley,36 Matt Wiener,0,0,0,0,0,0,0,1,0,0,0,11.73531,2.2017062,11.526924,0.7096154,0.35866478,0.39807692,0.33664772
10/6/23 1:01,8,1,36 Matt Wiener,00 Genny De Jesus,0,0,0,0,0,1,0,0,0,0,1,19.213598,14.062498,13.092308,0.39807692,0.33664772,0.04423077,0.19602273
10/6/23 1:01,8,1,00 Genny De Jesus,12 Matt LeMar,0,0,0,1,1,0,0,0,0,1,0,9.461538,7.954546,-5.1230764,0.04423077,0.19602273,0.1826923,0.11647727
10/6/23 1:03,9,1,07 Luisa Neves,30 Josue Alorro,0,0,0,0,0,1,0,1,0,0,1,14.421297,7.741475,12.167308,0.44807693,0.8238636,0.11923077,0.7464489
10/6/23 1:03,9,1,30 Josue Alorro,45 Colton Doering,0,0,0,1,1,0,1,0,0,1,0,63.10355,62.144886,-10.957692,0.11923077,0.7464489,0.41538462,0.125
