Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal,wind_direction
10/3/23 15:41,1,0,0,1,1,1,5,0,0,0,0,0,56 Leila Denniston,29 Oscar Kohut,24 Jolie Krebs,
10/3/23 15:51,2,1,0,0,1,1,7,0,0,0,0,1,07 Luisa Neves,03 Abby Cheng,42 Daniel Thornton,
10/3/23 15:54,3,2,0,0,0,0,0,0,0,0,0,0,,,,
10/3/23 15:55,4,2,1,1,1,2,11,1,1,0,1,0,21 Anne Worth,00 Genny De Jesus,29 Oscar Kohut,
10/6/23 0:47,5,3,1,0,0,0,0,0,0,0,0,0,,,,
10/6/23 0:51,6,3,2,1,1,1,8,1,1,0,1,0,,,,
10/6/23 0:54,7,4,2,0,0,1,2,1,1,0,1,0,,,,
10/6/23 0:57,8,4,3,1,1,1,13,0,0,0,0,0,36 Matt Wiener,00 Genny De Jesus,12 Matt LeMar,
10/6/23 1:01,9,5,3,0,1,1,2,0,0,0,0,1,07 Luisa Neves,30 Josue Alorro,45 Colton Doering,
10/6/23 1:03,10,6,3,0,0,1,4,1,1,0,0,1,,,,
10/6/23 1:07,11,6,4,1,1,2,11,1,1,0,1,0,21 Anne Worth,08 Mike Drost,21 Anne Worth,
10/6/23 1:11,12,7,4,0,0,1,4,1,1,0,1,0,,,,
10/6/23 9:54,13,7,5,1,1,1,6,0,0,0,0,0,24 Jolie Krebs,29 Oscar Kohut,08 Mike Drost,
10/6/23 9:56,14,8,5,0,0,0,0,0,0,0,0,0,,,,
10/6/23 9:57,15,8,6,1,1,1,2,0,0,0,0,0,12 Matt LeMar,11 Nina Finley,21 Anne Worth,
10/6/23 10:00,16,9,6,0,0,0,0,0,0,0,0,0,,,,
10/6/23 10:01,17,9,7,1,1,1,10,0,0,0,0,0,24 Jolie Krebs,11 Nina Finley,24 Jolie Krebs,
10/6/23 10:05,18,10,7,0,1,1,7,0,0,0,0,1,06 Ryan Drost,30 Josue Alorro,66 Janine Hlavaty,
10/6/23 10:08,19,11,7,0,0,0,0,0,0,0,0,0,,,,
10/6/23 10:10,20,11,8,1,1,1,3,0,0,0,0,0,12 Matt LeMar,17 Oliver Chartock,36 Matt Wiener,
10/6/23 10:11,21,12,8,0,0,0,0,0,0,0,0,0,,,,
10/6/23 10:13,22,12,9,1,1,4,20,3,3,0,3,0,00 Genny De Jesus,24 Jolie Krebs,00 Genny De Jesus,
10/6/23 10:21,23,13,9,0,0,0,0,0,0,0,0,0,,,,
