Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2023-10-03 15:50:06,1,1,1,1,0.6923077,0.83735794,08 Mike Drost,5,56 Leila Denniston,29 Oscar Kohut,24 Jolie Krebs,,,
2023-10-03 15:52:53,2,1,0,1,0.6788462,0.4112216,16 Elias Levey-Swain,7,07 Luisa Neves,03 Abby Cheng,42 Daniel Thornton,,,
2023-10-03 15:56:59,4,1,1,0,0.3923077,0.8203125,17 Oliver Chartock,3,,,,29 Oscar Kohut,,
2023-10-03 15:58:06,4,2,1,1,0.85192305,0.39701703,36 Matt Wiener,8,21 Anne Worth,00 Genny De Jesus,29 Oscar Kohut,,,
2023-10-06 00:52:20,6,1,1,0,0.15576923,0.71946025,11 Nina Finley,8,,,,17 Oliver Chartock,,
2023-10-06 00:57:03,7,1,0,0,0.72884613,0.5511364,30 Josue Alorro,2,,,,66 Janine Hlavaty,,
2023-10-06 00:58:36,8,1,1,1,0.29807693,0.8245739,17 Oliver Chartock,13,36 Matt Wiener,00 Genny De Jesus,12 Matt LeMar,,,
2023-10-06 01:03:18,9,1,0,1,0.44807693,0.8238636,07 Luisa Neves,2,07 Luisa Neves,30 Josue Alorro,45 Colton Doering,,,
2023-10-06 01:05:25,10,1,0,0,0.60384613,0.82528406,26 Cara Sieber,4,,,,46 Ben Levy,,
2023-10-06 01:07:47,11,1,1,0,0.77884614,0.69673294,11 Nina Finley,7,,,,08 Mike Drost,,
2023-10-06 01:09:53,11,2,1,1,0.15769231,0.36789772,24 Jolie Krebs,4,21 Anne Worth,08 Mike Drost,21 Anne Worth,,,
2023-10-06 09:52:56,12,1,0,0,0.6403846,0.6150568,45 Colton Doering,4,,,,30 Josue Alorro,,
2023-10-06 09:54:53,13,1,1,1,0.42307693,0.9041193,12 Matt LeMar,6,24 Jolie Krebs,29 Oscar Kohut,08 Mike Drost,,,
2023-10-06 09:59:32,15,1,1,1,0.067307696,0.6541193,12 Matt LeMar,2,12 Matt LeMar,11 Nina Finley,21 Anne Worth,,,
2023-10-06 10:03:02,17,1,1,1,0.7,0.81107956,17 Oliver Chartock,10,24 Jolie Krebs,11 Nina Finley,24 Jolie Krebs,,,
2023-10-06 10:06:54,18,1,0,1,0.9442308,0.74715906,30 Josue Alorro,7,06 Ryan Drost,30 Josue Alorro,66 Janine Hlavaty,,,
2023-10-06 10:10:48,20,1,1,1,0.3480769,0.93678975,36 Matt Wiener,3,12 Matt LeMar,17 Oliver Chartock,36 Matt Wiener,,,
2023-10-06 10:14:21,22,1,1,0,0.57884616,0.65767044,11 Nina Finley,3,,,,00 Genny De Jesus,,
2023-10-06 10:16:19,22,2,1,0,0.10192308,0.82315344,08 Mike Drost,7,,,,17 Oliver Chartock,,
2023-10-06 10:18:38,22,3,1,0,0.06923077,0.7713068,11 Nina Finley,4,,,,11 Nina Finley,,
2023-10-06 10:20:37,22,4,1,1,0.8903846,0.34517047,11 Nina Finley,6,00 Genny De Jesus,24 Jolie Krebs,00 Genny De Jesus,,,
