Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
26 Cara Sieber,11,"1,2,3,5,7,10,12,14,15,18,19",0,11,0,8,13,6,11,10,3,0,0,2,1,1,0,0,0,0,183.57,46.95,18.36,4.69,164.64,92.61,16.46,9.26
46 Ben Levy,10,"1,2,3,5,7,10,12,14,15,19",0,10,0,7,18,6,18,15,3,0,2,0,2,2,0,2,0,0,217.67,100.92,13.60,6.31,177.18,23.58,11.81,1.57
12 Matt LeMar,9,"4,6,8,9,11,13,16,17,20",6,3,5,2,12,6,11,8,4,2,1,1,1,1,0,0,0,0,148.14,143.71,16.46,15.97,95.08,68.75,11.89,8.59
11 Nina Finley,9,"4,6,8,9,11,13,16,17,20",6,3,5,2,10,5,9,8,2,0,3,1,1,1,0,0,0,0,173.42,132.24,21.68,16.53,115.14,36.29,14.39,4.54
00 Genny De Jesus,9,"4,6,8,9,11,13,16,17,20",6,3,5,2,14,6,11,14,0,2,1,3,0,0,0,0,0,0,152.00,63.35,13.82,5.76,209.18,144.92,14.94,10.35
17 Oliver Chartock,9,"3,4,8,9,11,13,16,17,20",5,4,4,3,13,7,13,6,7,1,0,0,1,1,0,2,0,0,195.21,114.13,16.27,9.51,58.15,-14.13,9.69,-2.36
36 Matt Wiener,9,"4,6,8,9,11,13,16,17,20",6,3,5,2,11,6,10,11,0,0,1,1,1,1,0,0,0,0,109.57,41.34,12.17,4.59,211.43,125.71,19.22,11.43
08 Mike Drost,9,"4,6,8,9,11,13,16,17,20",6,3,5,2,10,5,10,9,1,1,0,0,0,0,0,0,0,0,122.16,15.70,12.22,1.57,159.76,59.02,17.75,6.56
30 Josue Alorro,8,"1,2,5,7,10,12,15,18",0,8,0,5,18,5,17,12,6,1,1,1,0,0,0,1,0,0,264.80,135.51,15.58,7.97,157.80,-7.32,13.15,-0.61
33 Emily Barrett,8,"4,6,8,11,13,16,17,20",5,3,4,2,9,5,8,9,0,1,0,1,1,0,1,0,0,0,91.70,15.13,11.46,1.89,118.03,102.84,13.11,11.43
19 Eliot Bemis,7,"1,3,5,10,14,18,19",0,7,0,5,10,5,9,9,1,1,0,1,1,1,0,1,0,0,112.81,39.28,14.10,4.91,130.64,111.72,14.52,12.41
74 Sam Harris,7,"2,3,5,10,12,15,19",0,7,0,5,4,3,3,4,0,1,2,1,0,0,0,1,0,0,76.42,72.80,25.47,24.27,64.27,57.95,16.07,14.49
03 Abby Cheng,7,"1,2,5,7,10,15,19",0,7,0,4,5,3,5,5,0,3,0,0,0,0,0,0,0,0,107.85,90.27,21.57,18.05,121.49,107.17,24.30,21.43
88 Nikki Hair,6,"1,3,7,12,15,19",0,6,0,5,6,3,4,6,0,1,0,2,0,0,0,1,0,0,54.70,30.75,13.67,7.69,126.19,110.16,21.03,18.36
45 Colton Doering,6,"2,5,10,12,14,18",0,6,0,4,7,3,7,5,2,0,1,0,1,1,0,1,0,0,89.30,79.40,14.88,13.23,122.46,75.57,24.49,15.11
27 Griffin Kao,5,"1,7,12,15,19",0,5,0,4,2,2,2,2,0,0,1,0,0,0,0,0,0,0,35.30,30.04,17.65,15.02,27.20,16.26,13.60,8.13
10 Tricia Smit,5,"2,3,7,14,18",0,5,0,4,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0.00,0.00,0.00,0.00,18.13,18.04,18.13,18.04
56 Leila Denniston,4,"6,9,14,18",2,2,2,2,7,3,7,7,0,1,1,0,2,2,0,1,0,0,51.03,50.07,12.76,12.52,100.23,63.99,14.32,9.14
80 Hannah Garfield,2,"14,18",0,2,0,2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.00,0.00,0.00,0.00,8.64,8.45,8.64,8.45
